"anio","geocodigoFundar","geonombreFundar","exp_vida_al_nacer"
"2025","MKD","Macedonia del Norte","77.6759"
"2025","PRT","Portugal","82.7165"
"2025","SMR","San Marino","85.9248"
"2025","SRB","Serbia","77.1387"
"2025","SVN","Eslovenia","81.9359"
"2025","ESP","España","83.9598"
"2025","AUT","Austria","82.2911"
"2025","BEL","Bélgica","82.4323"
"2025","FRA","Francia","83.5804"
"2025","DEU","Alemania","81.707"
"2025","LIE","Liechtenstein","83.928"
"2025","LUX","Luxemburgo","82.4941"
"2025","MCO","Mónaco","86.6107"
"2025","NLD","Países Bajos","82.4485"
"2025","CHE","Suiza","84.2293"
"2025","LCN","América Latina y el Caribe","76.0422"
"2025","AIA","Anguila","79.6697"
"2025","ATG","Antigua y Barbuda","77.9414"
"2025","ABW","Aruba","76.6415"
"2025","BHS","Bahamas","74.863"
"2025","BRB","Barbados","76.4917"
"2025","BES","Bonaire","77.782"
"2025","VGB","Islas Vírgenes Británicas","77.6061"
"2025","CYM","Islas Caimán","80.7174"
"2025","CUB","Cuba","78.4474"
"2025","CUW","Curazao","77.172"
"2025","DMA","Dominica","71.4512"
"2025","DOM","Rep. Dominicana","73.9898"
"2025","GRD","Granada","75.5184"
"2025","GLP","Guadalupe","82.403"
"2025","HTI","Haití","65.2979"
"2025","JAM","Jamaica","71.7296"
"2025","MTQ","Martinica","82.8924"
"2025","MSR","Montserrat","76.4891"
"2025","PRI","Puerto Rico","82.0843"
"2025","BLM","San Barthélemy","84.5153"
"2025","KNA","Saint Kitts y Nevis","72.4247"
"2025","LCA","Santa Lucía","72.9989"
"2025","MAF","San Martín (parte francesa)","80.6457"
"2025","VCT","San Vicente y las Granadinas","71.5134"
"2025","SXM","San Martín (parte holandesa)","76.6965"
"2025","TTO","Trinidad y Tobago","73.7474"
"2025","TCA","Islas Turcas y Caicos","78.339"
"2025","VIR","Islas Vírgenes de EEUU","75.9255"
"2025","BLZ","Belice","73.9035"
"2025","CRI","Costa Rica","81.1907"
"2025","SLV","El Salvador","72.5196"
"2025","GTM","Guatemala","72.8947"
"2025","HND","Honduras","73.2184"
"2025","MEX","México","75.4456"
"2025","NIC","Nicaragua","75.2674"
"2025","PAN","Panamá","79.9571"
"2025","ARG","Argentina","77.6894"
"2025","BOL","Bolivia","68.9049"
"2025","BRA","Brasil","76.1999"
"2025","CHL","Chile","81.5386"
"2025","COL","Colombia","78.0938"
"2025","ECU","Ecuador","77.7572"
"2025","FLK","Islas Malvinas","79.5874"
"2025","GUF","Guayana Francesa","77.3658"
"2025","GUY","Guyana","70.4468"
"2025","PRY","Paraguay","74.1107"
"2025","PER","Perú","78.1172"
"2025","SUR","Suriname","73.8986"
"2025","URY","Uruguay","78.4541"
"2025","VEN","Venezuela","72.8418"
"2025","BMU","Bermuda","82.6624"
"2025","CAN","Canadá","82.8834"
"2025","GRL","Groenlandia","70.3159"
"2025","SPM","San Pedro y Miquelón","77.1108"
"2025","USA","Estados Unidos","79.6135"
"2025","AUS","Australia","84.2135"
"2025","NZL","Nueva Zelanda","82.3882"
"2025","FJI","Fiji","67.619"
"2025","NCL","Nueva Caledonia","79.068"
"2025","PNG","Papúa Nueva Guinea","66.3853"
"2025","SLB","Islas Salomón","70.8342"
"2025","VUT","Vanuatu","71.8434"
"2025","GUM","Guam","77.6264"
"2025","KIR","Kiribati","66.7238"
"2025","MHL","Islas Marshall","67.2001"
"2025","FSM","Micronesia","67.5027"
"2025","NRU","Nauru","62.4424"
"2025","MNP","Islas Marianas","79.0881"
"2025","PLW","Palau","69.4935"
"2025","ASM","Samoa Americana","73.1256"
"2025","COK","Islas Cook","75.6537"
"2025","PYF","Polinesia Francesa","84.3117"
"2025","NIU","Niue","70.2223"
"2025","WSM","Samoa","71.9484"
"2025","TKL","Tokelau","77.288"
"2025","TON","Tonga","73.2256"
"2025","TUV","Tuvalu","67.4105"
"2025","WLF","Wallis y Futuna","78.8974"
