"anio","geocodigoFundar","metrica","fuente","valor"
"1823","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1824","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1825","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1826","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1827","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1828","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1829","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1830","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1831","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1832","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1833","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1834","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1835","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1836","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1837","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1838","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1839","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1840","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1841","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1842","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1843","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1844","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1845","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1846","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1847","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1848","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1849","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1850","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1851","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1852","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1853","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1854","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1855","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1856","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1857","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1858","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1859","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1860","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1861","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1862","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1863","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1864","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1865","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1866","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1867","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1868","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1869","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1870","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1871","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1872","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1873","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1874","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1875","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1876","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1877","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1878","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.344"
"1879","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.344"
"1880","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.344"
"1881","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.469"
"1882","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.596"
"1883","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.724"
"1884","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.851"
"1885","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.979"
"1886","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.596"
"1887","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1888","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.97"
"1889","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.595"
"1890","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.221"
"1891","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.346"
"1892","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.595"
"1893","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.72"
"1894","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.969"
"1895","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.09"
"1896","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","39.211"
"1897","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","38.346"
"1898","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","37.486"
"1899","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","36.63"
"1900","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","35.785"
"1901","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","35.061"
"1902","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","33.74"
"1903","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","32.469"
"1904","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","31.246"
"1905","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","30.069"
"1906","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","28.937"
"1907","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","27.847"
"1908","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","26.798"
"1909","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","25.788"
"1910","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","24.817"
"1911","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","23.882"
"1912","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","22.961"
"1913","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","20.535"
"1914","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","19.597"
"1915","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","19.409"
"1916","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","19.409"
"1917","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","20.161"
"1918","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","22.033"
"1919","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","21.285"
"1920","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","19.973"
"1921","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","17.905"
"1922","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","17.155"
"1923","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","17.155"
"1924","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","17.905"
"1925","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","18.845"
"1926","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","18.469"
"1927","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","19.785"
"1928","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","17.343"
"1929","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","16.222"
"1930","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","14.927"
"1931","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","14.927"
"1932","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","14.016"
"1933","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","12.589"
"1934","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","14.379"
"1935","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","16.037"
"1936","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","14.379"
"1937","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","14.016"
"1938","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","15.48"
"1939","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","13.119"
"1940","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","13.119"
"1941","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","12.237"
"1942","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","12.413"
"1943","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","11.371"
"1944","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","11.543"
"1945","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","11.716"
"1946","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","10.353"
"1947","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","11.029"
"1948","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","9.524"
"1949","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","9.199"
"1950","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","9.36"
"1951","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","9.199"
"1952","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","8.879"
"1953","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","8.573"
"1954","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","8.122"
"1955","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","8.424"
"1956","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","7.657"
"1957","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","9.36"
"1958","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","8.273"
"1959","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","7.786"
"1960","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","7.328"
"1961","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.897"
"1962","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.491"
"1963","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.109"
"1964","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.75"
"1965","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.75"
"1966","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.87"
"1967","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.86"
"1968","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.381"
"1969","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","7.281"
"1970","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","7.176"
"1971","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","7.083"
"1972","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.966"
"1973","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.811"
"1974","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.598"
"1975","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","6.319"
"1976","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.968"
"1977","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.557"
"1978","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","5.117"
"1979","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","4.683"
"1980","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","4.283"
"1981","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","3.937"
"1982","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","3.652"
"1983","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","3.414"
"1984","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","3.215"
"1985","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","3.06"
"1986","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.959"
"1987","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.911"
"1988","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.893"
"1989","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.883"
"1990","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.861"
"1991","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.813"
"1992","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.731"
"1993","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.63"
"1994","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.522"
"1995","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.413"
"1996","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.308"
"1997","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.209"
"1998","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.118"
"1999","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","2.036"
"2000","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.962"
"2001","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.893"
"2002","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.829"
"2003","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.768"
"2004","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.709"
"2005","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.654"
"2006","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.607"
"2007","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.569"
"2008","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.533"
"2009","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.492"
"2010","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.444"
"2011","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.388"
"2012","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.327"
"2013","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.265"
"2014","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.205"
"2015","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.148"
"2016","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.094"
"2017","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","1.042"
"2018","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.994"
"2019","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.966"
"2020","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.94"
"2021","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.916"
"2022","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.894"
"2023","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.872"
"2024","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","0.852"
"1870","ARG","Esperanza de vida al nacer","Prados de la Escosura","31.832972972973"
"1880","ARG","Esperanza de vida al nacer","Prados de la Escosura","32.9"
"1890","ARG","Esperanza de vida al nacer","Prados de la Escosura","36.45"
"1900","ARG","Esperanza de vida al nacer","Prados de la Escosura","39"
"1913","ARG","Esperanza de vida al nacer","Prados de la Escosura","45.7331380986358"
"1925","ARG","Esperanza de vida al nacer","Prados de la Escosura","49.61047081443"
"1929","ARG","Esperanza de vida al nacer","Prados de la Escosura","51.1027211698522"
"1933","ARG","Esperanza de vida al nacer","Prados de la Escosura","52.6411462905177"
"1938","ARG","Esperanza de vida al nacer","Prados de la Escosura","54.6314313864611"
"1950","ARG","Esperanza de vida al nacer","Prados de la Escosura","62.5"
"1955","ARG","Esperanza de vida al nacer","Prados de la Escosura","64.4"
"1960","ARG","Esperanza de vida al nacer","Prados de la Escosura","65.15952"
"1965","ARG","Esperanza de vida al nacer","Prados de la Escosura","65.77268"
"1970","ARG","Esperanza de vida al nacer","Prados de la Escosura","66.80927"
"1975","ARG","Esperanza de vida al nacer","Prados de la Escosura","68.17756"
"1980","ARG","Esperanza de vida al nacer","Prados de la Escosura","69.528"
"1985","ARG","Esperanza de vida al nacer","Prados de la Escosura","70.647"
"1990","ARG","Esperanza de vida al nacer","Prados de la Escosura","71.7837"
"1995","ARG","Esperanza de vida al nacer","Prados de la Escosura","73.1333"
"2000","ARG","Esperanza de vida al nacer","Prados de la Escosura","73.926"
"2005","ARG","Esperanza de vida al nacer","Prados de la Escosura","75.1388"
"2010","ARG","Esperanza de vida al nacer","Prados de la Escosura","75.7208"
"2015","ARG","Esperanza de vida al nacer","Prados de la Escosura","76.7602"
"2020","ARG","Esperanza de vida al nacer","Prados de la Escosura","75.8921"
"2020","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","75.8781"
"2021","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","73.9485"
"2022","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","75.8061"
"2023","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","77.3947"
"2024","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","77.5434"
"2025","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","77.6894"
"2026","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","77.8291"
"2027","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","77.9676"
"2028","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","78.1178"
"2029","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","78.2664"
"2030","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","78.4063"
"2031","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","78.5592"
"2032","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","78.7103"
"2033","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","78.873"
"2034","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.0304"
"2035","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.1787"
"2036","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.3231"
"2037","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.4707"
"2038","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.6298"
"2039","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.7712"
"2040","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","79.929"
"2041","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.0795"
"2042","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.2282"
"2043","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.3716"
"2044","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.5223"
"2045","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.6627"
"2046","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.8091"
"2047","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","80.9623"
"2048","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.1163"
"2049","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.2667"
"2050","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.4056"
"2051","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.547"
"2052","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.684"
"2053","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.8261"
"2054","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","81.9731"
"2055","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.1116"
"2056","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.2538"
"2057","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.399"
"2058","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.5398"
"2059","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.6802"
"2060","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.8156"
"2061","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","82.9491"
"2062","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.0883"
"2063","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.2198"
"2064","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.3575"
"2065","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.4965"
"2066","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.6308"
"2067","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.7643"
"2068","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","83.886"
"2069","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.0147"
"2070","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.1526"
"2071","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.2825"
"2072","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.4184"
"2073","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.5502"
"2074","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.6712"
"2075","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.8045"
