provincia_id,provincia_nombre,anio,pbg_pc
14,Córdoba,2018,13306.03
14,Córdoba,2019,13478.82
14,Córdoba,2020,11859.69
14,Córdoba,2021,13103.56
18,Corrientes,2004,4981.08
18,Corrientes,2005,5594.06
18,Corrientes,2006,5828.43
18,Corrientes,2007,6157.12
18,Corrientes,2008,6353.33
18,Corrientes,2009,6095.67
18,Corrientes,2010,6380.11
18,Corrientes,2011,6927.9
18,Corrientes,2012,6893.03
18,Corrientes,2013,6999.96
18,Corrientes,2014,6955.53
18,Corrientes,2015,7075.13
18,Corrientes,2016,6864.26
18,Corrientes,2017,7127.23
18,Corrientes,2018,7145.71
18,Corrientes,2019,6825.98
18,Corrientes,2020,6174.71
18,Corrientes,2021,6667.15
22,Chaco,2004,5512.44
22,Chaco,2005,6095.44
22,Chaco,2006,6614.66
22,Chaco,2007,7135.29
22,Chaco,2008,7457.5
22,Chaco,2009,7030.31
22,Chaco,2010,7836.68
22,Chaco,2011,8560.4
22,Chaco,2012,7711.24
22,Chaco,2013,7999.17
22,Chaco,2014,8538.71
22,Chaco,2015,8348.72
22,Chaco,2016,8160.29
22,Chaco,2017,8392.84
22,Chaco,2018,8199.07
22,Chaco,2019,7674
22,Chaco,2020,7139.66
22,Chaco,2021,7491.77
26,Chubut,2004,21489.79
26,Chubut,2005,21898.88
26,Chubut,2006,23589.07
26,Chubut,2007,23449.87
26,Chubut,2008,23141.39
26,Chubut,2009,21375.3
26,Chubut,2010,22306.92
26,Chubut,2011,22730.19
26,Chubut,2012,21486.02
26,Chubut,2013,21723.84
26,Chubut,2014,21871.63
26,Chubut,2015,21644.51
26,Chubut,2016,20437.34
26,Chubut,2017,20627.09
26,Chubut,2018,20180.38
26,Chubut,2019,20085.53
26,Chubut,2020,17647.96
26,Chubut,2021,18007.1
30,Entre Ríos,2004,8769.82
30,Entre Ríos,2005,9747.78
30,Entre Ríos,2006,10282.25
30,Entre Ríos,2007,11261.22
30,Entre Ríos,2008,11433.14
30,Entre Ríos,2009,10455.06
30,Entre Ríos,2010,11904.26
30,Entre Ríos,2011,12329.48
30,Entre Ríos,2012,12155.38
30,Entre Ríos,2013,12429.36
30,Entre Ríos,2014,12128.25
30,Entre Ríos,2015,12431.07
30,Entre Ríos,2016,11733.74
30,Entre Ríos,2017,12201.81
30,Entre Ríos,2018,11609.51
30,Entre Ríos,2019,11678.55
30,Entre Ríos,2020,10796.76
30,Entre Ríos,2021,11363.82
34,Formosa,2004,4461.26
34,Formosa,2005,4969.6
34,Formosa,2006,5240.5
34,Formosa,2007,5596.18
34,Formosa,2008,5493.3
34,Formosa,2009,5414.01
34,Formosa,2010,5618.57
34,Formosa,2011,6049.82
34,Formosa,2012,5995.44
34,Formosa,2013,6085.59
34,Formosa,2014,5954.28
34,Formosa,2015,6248.25
34,Formosa,2016,6166.97
34,Formosa,2017,6269.05
34,Formosa,2018,6182.69
34,Formosa,2019,5775.59
34,Formosa,2020,5323.8
34,Formosa,2021,5820.06
38,Jujuy,2004,5756.58
38,Jujuy,2005,5996.83
38,Jujuy,2006,6293.75
38,Jujuy,2007,6723.84
38,Jujuy,2008,6953.71
38,Jujuy,2009,6783.77
38,Jujuy,2010,7401.17
38,Jujuy,2011,7676.47
38,Jujuy,2012,7762.79
38,Jujuy,2013,7695.54
38,Jujuy,2014,7664.1
38,Jujuy,2015,7925.12
38,Jujuy,2016,7545.25
38,Jujuy,2017,7682.69
38,Jujuy,2018,7508.09
38,Jujuy,2019,7521.06
38,Jujuy,2020,6754.79
38,Jujuy,2021,7519.78
42,La Pampa,2004,12411.73
42,La Pampa,2005,14800.03
42,La Pampa,2006,14676.42
42,La Pampa,2007,16277.61
42,La Pampa,2008,17391.81
42,La Pampa,2009,15941.13
42,La Pampa,2010,16859.26
42,La Pampa,2011,17850.23
42,La Pampa,2012,17688.74
42,La Pampa,2013,17686.26
42,La Pampa,2014,16697.16
42,La Pampa,2015,17440.79
42,La Pampa,2016,17884.38
42,La Pampa,2017,17206.42
42,La Pampa,2018,16771.76
42,La Pampa,2019,17025.57
42,La Pampa,2020,15160.75
42,La Pampa,2021,16186.73
46,La Rioja,2004,8221.64
46,La Rioja,2005,8704.18
46,La Rioja,2006,8962.64
46,La Rioja,2007,9653.53
46,La Rioja,2008,9338.02
46,La Rioja,2009,8836.44
46,La Rioja,2010,9581.94
46,La Rioja,2011,9957.71
46,La Rioja,2012,9457.56
46,La Rioja,2013,9760.89
46,La Rioja,2014,9284.25
46,La Rioja,2015,9357.4
46,La Rioja,2016,9094.5
46,La Rioja,2017,9262.56
46,La Rioja,2018,8814.24
46,La Rioja,2019,8479.94
46,La Rioja,2020,7390.83
46,La Rioja,2021,8023.82
50,Mendoza,2004,9922.5
50,Mendoza,2005,10143.35
50,Mendoza,2006,10992.85
50,Mendoza,2007,11545.45
50,Mendoza,2008,11820.56
50,Mendoza,2009,10992.69
50,Mendoza,2010,11337.99
50,Mendoza,2011,11832.85
50,Mendoza,2012,11775.57
50,Mendoza,2013,11710.06
50,Mendoza,2014,11278.03
50,Mendoza,2015,11545.84
50,Mendoza,2016,10862.54
50,Mendoza,2017,10871.06
50,Mendoza,2018,10750.91
50,Mendoza,2019,10493.79
50,Mendoza,2020,9035.96
50,Mendoza,2021,9524.27
54,Misiones,2004,5319.41
54,Misiones,2005,5583.93
54,Misiones,2006,5805.88
54,Misiones,2007,5983.17
54,Misiones,2008,5837.83
54,Misiones,2009,5456.14
54,Misiones,2010,5804.53
54,Misiones,2011,6097.45
54,Misiones,2012,6086.53
54,Misiones,2013,6267.52
54,Misiones,2014,6241.64
54,Misiones,2015,6342.64
54,Misiones,2016,6112.81
54,Misiones,2017,6186.73
54,Misiones,2018,6024.41
54,Misiones,2019,5810.38
54,Misiones,2020,5490.57
54,Misiones,2021,6071.86
58,Neuquén,2004,26494.52
58,Neuquén,2005,25604.06
58,Neuquén,2006,25898.96
58,Neuquén,2007,25963.68
58,Neuquén,2008,25554.3
58,Neuquén,2009,23799.93
58,Neuquén,2010,23383.92
58,Neuquén,2011,22992.65
58,Neuquén,2012,21710.46
58,Neuquén,2013,21329.62
58,Neuquén,2014,21748.55
58,Neuquén,2015,22550.4
58,Neuquén,2016,21818.5
58,Neuquén,2017,21370.55
58,Neuquén,2018,22354.66
58,Neuquén,2019,24084.77
58,Neuquén,2020,21961.86
58,Neuquén,2021,25397.03
62,Río Negro,2004,10024.05
62,Río Negro,2005,10796.36
62,Río Negro,2006,11621.73
62,Río Negro,2007,11971.03
62,Río Negro,2008,11986.8
62,Río Negro,2009,11411.77
62,Río Negro,2010,11872.11
62,Río Negro,2011,12570.25
62,Río Negro,2012,12610.98
62,Río Negro,2013,12829.18
62,Río Negro,2014,12384.25
62,Río Negro,2015,12578.15
62,Río Negro,2016,12042.57
62,Río Negro,2017,12017.45
62,Río Negro,2018,11922.03
62,Río Negro,2019,11572.66
62,Río Negro,2020,10282.02
62,Río Negro,2021,10803.31
66,Salta,2004,6428.85
66,Salta,2005,6801.61
66,Salta,2006,7357.76
66,Salta,2007,7779.27
66,Salta,2008,7982.07
66,Salta,2009,7524.19
66,Salta,2010,7998.54
66,Salta,2011,8309.02
66,Salta,2012,7769.56
66,Salta,2013,7334.67
66,Salta,2014,7624.43
66,Salta,2015,8098.38
66,Salta,2016,7718.81
66,Salta,2017,7899.58
66,Salta,2018,7716.99
66,Salta,2019,7693.22
66,Salta,2020,6996.94
66,Salta,2021,7440.85
70,San Juan,2004,7435.38
70,San Juan,2005,8052.93
70,San Juan,2006,8891.47
70,San Juan,2007,9352.57
70,San Juan,2008,9868.54
70,San Juan,2009,9840.68
70,San Juan,2010,11318.37
70,San Juan,2011,11767.31
70,San Juan,2012,11728.75
70,San Juan,2013,11876.73
70,San Juan,2014,11175.84
70,San Juan,2015,10680.32
70,San Juan,2016,10055.64
70,San Juan,2017,10172.63
70,San Juan,2018,9914.3
70,San Juan,2019,9506.03
70,San Juan,2020,8454.2
70,San Juan,2021,9261.31
74,San Luis,2004,11453.94
74,San Luis,2005,11962.23
74,San Luis,2006,12118.39
74,San Luis,2007,12671.09
74,San Luis,2008,12852.3
74,San Luis,2009,11942.34
74,San Luis,2010,12523.02
74,San Luis,2011,13110.18
74,San Luis,2012,12738.69
74,San Luis,2013,13444.92
74,San Luis,2014,12953.87
74,San Luis,2015,13495.33
74,San Luis,2016,12898.69
74,San Luis,2017,12904.66
74,San Luis,2018,12036.91
74,San Luis,2019,11590.08
74,San Luis,2020,9973.79
74,San Luis,2021,11559.2
78,Santa Cruz,2004,33722.2
78,Santa Cruz,2005,33173.12
78,Santa Cruz,2006,34747.52
78,Santa Cruz,2007,33492.19
78,Santa Cruz,2008,32278.87
78,Santa Cruz,2009,31784.77
78,Santa Cruz,2010,31301.13
78,Santa Cruz,2011,30243.06
78,Santa Cruz,2012,31420.83
78,Santa Cruz,2013,30822.39
78,Santa Cruz,2014,30310.09
78,Santa Cruz,2015,32188.05
78,Santa Cruz,2016,28946.52
78,Santa Cruz,2017,27529.35
78,Santa Cruz,2018,26452.89
78,Santa Cruz,2019,25228.84
78,Santa Cruz,2020,21283.33
78,Santa Cruz,2021,21918.94
82,Santa Fe,2004,11328.63
82,Santa Fe,2005,12422.77
82,Santa Fe,2006,12929.81
82,Santa Fe,2007,13719.02
82,Santa Fe,2008,13980.11
82,Santa Fe,2009,12398.54
82,Santa Fe,2010,14215.75
82,Santa Fe,2011,14497.03
82,Santa Fe,2012,13861.57
82,Santa Fe,2013,14347.09
82,Santa Fe,2014,13735.55
82,Santa Fe,2015,13887.62
82,Santa Fe,2016,13037.23
82,Santa Fe,2017,13686.6
82,Santa Fe,2018,12967.28
82,Santa Fe,2019,13002.93
82,Santa Fe,2020,11732.01
82,Santa Fe,2021,13033.32
86,Santiago del Estero,2004,6233.85
86,Santiago del Estero,2005,6213.71
86,Santiago del Estero,2006,7577.79
86,Santiago del Estero,2007,8387.5
86,Santiago del Estero,2008,8642.44
86,Santiago del Estero,2009,7313.62
86,Santiago del Estero,2010,9530.99
86,Santiago del Estero,2011,9989.31
86,Santiago del Estero,2012,9090.4
86,Santiago del Estero,2013,10101.38
86,Santiago del Estero,2014,11566.89
86,Santiago del Estero,2015,11256.48
86,Santiago del Estero,2016,11450.11
86,Santiago del Estero,2017,12006.3
86,Santiago del Estero,2018,10471.97
86,Santiago del Estero,2019,10895.75
86,Santiago del Estero,2020,9747.03
86,Santiago del Estero,2021,10256.53
90,Tucumán,2004,5347.58
90,Tucumán,2005,5841.22
90,Tucumán,2006,6397.04
90,Tucumán,2007,6793.95
90,Tucumán,2008,7073.42
90,Tucumán,2009,6686.4
90,Tucumán,2010,7030.47
90,Tucumán,2011,7523.82
90,Tucumán,2012,7350.62
90,Tucumán,2013,7219.09
90,Tucumán,2014,6971.08
90,Tucumán,2015,7074.28
90,Tucumán,2016,7096.31
90,Tucumán,2017,7238.09
90,Tucumán,2018,7222.43
90,Tucumán,2019,7194.48
90,Tucumán,2020,6398.96
90,Tucumán,2021,6901.07
94,Tierra del Fuego,2004,30165.34
94,Tierra del Fuego,2005,31893.68
94,Tierra del Fuego,2006,35026.01
94,Tierra del Fuego,2007,35324.33
94,Tierra del Fuego,2008,34240.5
94,Tierra del Fuego,2009,29956.11
94,Tierra del Fuego,2010,36538.32
94,Tierra del Fuego,2011,43953.55
94,Tierra del Fuego,2012,45945.18
94,Tierra del Fuego,2013,44665.81
94,Tierra del Fuego,2014,38618.21
94,Tierra del Fuego,2015,38822.8
94,Tierra del Fuego,2016,35994.78
94,Tierra del Fuego,2017,35267.81
94,Tierra del Fuego,2018,34043.89
94,Tierra del Fuego,2019,30052.94
94,Tierra del Fuego,2020,27264.26
94,Tierra del Fuego,2021,30422.92
