geocodigoFundar,geonombreFundar,anio,valor_en_twh
BRA,Brasil,2017,207.05112
BRA,Brasil,2018,248.83961
BRA,Brasil,2019,266.04663
BRA,Brasil,2020,255.50471
BRA,Brasil,2021,242.87822
BRA,Brasil,2022,241.87132
BRA,Brasil,2023,282.1248
FIN,Finlandia,1990,0.0
FIN,Finlandia,1991,0.0
FIN,Finlandia,1992,0.0
FIN,Finlandia,1993,0.0
FIN,Finlandia,1994,0.0
FIN,Finlandia,1995,0.0
FIN,Finlandia,1996,0.0
FIN,Finlandia,1997,0.0
FIN,Finlandia,1998,0.0
FIN,Finlandia,1999,0.0
FIN,Finlandia,2000,0.0
FIN,Finlandia,2001,0.0
FIN,Finlandia,2002,0.0
FIN,Finlandia,2003,0.0
FIN,Finlandia,2004,0.0
FIN,Finlandia,2005,0.0
FIN,Finlandia,2006,0.0
FIN,Finlandia,2007,0.4330306
FIN,Finlandia,2008,0.9916351
FIN,Finlandia,2009,2.6928995
FIN,Finlandia,2010,3.5050526
FIN,Finlandia,2011,2.416091
FIN,Finlandia,2012,3.0660772
FIN,Finlandia,2013,3.8445332
FIN,Finlandia,2014,4.2955194
FIN,Finlandia,2015,6.630627
FIN,Finlandia,2016,2.545502
FIN,Finlandia,2017,2.6921446
FIN,Finlandia,2018,6.804073
FIN,Finlandia,2019,8.020038
FIN,Finlandia,2020,8.024027
FIN,Finlandia,2021,8.5310135
FIN,Finlandia,2022,9.159448
FIN,Finlandia,2023,10.379663
WLD,Mundo,1990,86.58631
WLD,Mundo,1991,97.41144
WLD,Mundo,1992,93.686874
WLD,Mundo,1993,95.28714
WLD,Mundo,1994,105.83975
WLD,Mundo,1995,109.823586
WLD,Mundo,1996,110.976395
WLD,Mundo,1997,127.394325
WLD,Mundo,1998,121.57154
WLD,Mundo,1999,117.51925
WLD,Mundo,2000,112.215546
WLD,Mundo,2001,122.57842
WLD,Mundo,2002,144.0404
WLD,Mundo,2003,178.25037
WLD,Mundo,2004,201.25859
WLD,Mundo,2005,237.02118
WLD,Mundo,2006,301.89563
WLD,Mundo,2007,410.0859
WLD,Mundo,2008,556.3209
WLD,Mundo,2009,614.0576
WLD,Mundo,2010,706.4572
WLD,Mundo,2011,751.1705
WLD,Mundo,2012,764.3136
WLD,Mundo,2013,832.6454
WLD,Mundo,2014,907.9867
WLD,Mundo,2015,909.044
WLD,Mundo,2016,943.0741
WLD,Mundo,2017,970.63837
WLD,Mundo,2018,1084.535
WLD,Mundo,2019,1144.1965
WLD,Mundo,2020,1077.0992
WLD,Mundo,2021,1126.2673
WLD,Mundo,2022,1183.1841
WLD,Mundo,2023,1285.4381
FRA,Francia,1990,
FRA,Francia,1991,
FRA,Francia,1992,0.026248911
FRA,Francia,1993,0.29237822
FRA,Francia,1994,0.9494267
FRA,Francia,1995,1.8613816
FRA,Francia,1996,2.6785522
FRA,Francia,1997,3.2066004
FRA,Francia,1998,2.9976673
FRA,Francia,1999,3.1512532
FRA,Francia,2000,3.7758658
FRA,Francia,2001,3.766899
FRA,Francia,2002,4.034773
FRA,Francia,2003,4.430088
FRA,Francia,2004,4.643859
FRA,Francia,2005,7.5016994
FRA,Francia,2006,7.8661137
FRA,Francia,2007,13.113837
FRA,Francia,2008,24.178934
FRA,Francia,2009,27.055717
FRA,Francia,2010,26.374876
FRA,Francia,2011,26.244074
FRA,Francia,2012,30.628036
FRA,Francia,2013,28.553373
FRA,Francia,2014,28.88099
FRA,Francia,2015,30.707294
FRA,Francia,2016,28.094324
FRA,Francia,2017,27.349377
FRA,Francia,2018,31.011723
FRA,Francia,2019,28.906471
FRA,Francia,2020,26.948456
FRA,Francia,2021,22.429363
FRA,Francia,2022,21.824278
FRA,Francia,2023,21.126478
DEU,Alemania,1990,
DEU,Alemania,1991,
DEU,Alemania,1992,0.051672094
DEU,Alemania,1993,0.051672094
DEU,Alemania,1994,0.28933117
DEU,Alemania,1995,0.36166975
DEU,Alemania,1996,0.5683349
DEU,Alemania,1997,0.93000466
DEU,Alemania,1998,1.0333371
DEU,Alemania,1999,1.3433348
DEU,Alemania,2000,2.5833373
DEU,Alemania,2001,3.6166627
DEU,Alemania,2002,5.683337
DEU,Alemania,2003,6.912907
DEU,Alemania,2004,10.579199
DEU,Alemania,2005,16.176365
DEU,Alemania,2006,26.602173
DEU,Alemania,2007,33.02326
DEU,Alemania,2008,29.390697
DEU,Alemania,2009,29.409876
DEU,Alemania,2010,36.44826
DEU,Alemania,2011,35.813656
DEU,Alemania,2012,33.560238
DEU,Alemania,2013,35.74399
DEU,Alemania,2014,39.94682
DEU,Alemania,2015,36.8279
DEU,Alemania,2016,37.24675
DEU,Alemania,2017,38.017647
DEU,Alemania,2018,39.059742
DEU,Alemania,2019,40.795673
DEU,Alemania,2020,39.174717
DEU,Alemania,2021,40.72917
DEU,Alemania,2022,41.29857
DEU,Alemania,2023,44.41013
ITA,Italia,1990,
ITA,Italia,1991,
ITA,Italia,1992,0.0
ITA,Italia,1993,0.0
ITA,Italia,1994,0.0
ITA,Italia,1995,0.0
ITA,Italia,1996,0.0
ITA,Italia,1997,0.0
ITA,Italia,1998,0.0
ITA,Italia,1999,0.0
ITA,Italia,2000,0.0
ITA,Italia,2001,0.0
ITA,Italia,2002,0.0
ITA,Italia,2003,0.0
ITA,Italia,2004,2.9394476
ITA,Italia,2005,2.055556
ITA,Italia,2006,2.2919476
ITA,Italia,2007,2.0761063
ITA,Italia,2008,7.2792873
ITA,Italia,2009,8.685807
ITA,Italia,2010,9.046454
ITA,Italia,2011,6.8204136
ITA,Italia,2012,3.6217334
ITA,Italia,2013,5.3124213
ITA,Italia,2014,5.963248
ITA,Italia,2015,6.031551
ITA,Italia,2016,6.093992
ITA,Italia,2017,7.3116417
ITA,Italia,2018,7.8877335
ITA,Italia,2019,9.075994
ITA,Italia,2020,10.746551
ITA,Italia,2021,12.830601
ITA,Italia,2022,12.178913
ITA,Italia,2023,13.974405
ESP,España,1990,
ESP,España,1991,
ESP,España,1992,0.0
ESP,España,1993,0.0
ESP,España,1994,0.0
ESP,España,1995,0.0
ESP,España,1996,0.0
ESP,España,1997,0.0
ESP,España,1998,0.0
ESP,España,1999,0.0
ESP,España,2000,0.8512966
ESP,España,2001,0.84897065
ESP,España,2002,1.4820772
ESP,España,2003,2.0904644
ESP,España,2004,2.546627
ESP,España,2005,3.4133594
ESP,España,2006,3.0383132
ESP,España,2007,4.2587085
ESP,España,2008,4.352001
ESP,España,2009,10.473662
ESP,España,2010,11.731279
ESP,España,2011,9.74439
ESP,España,2012,7.081611
ESP,España,2013,8.566668
ESP,España,2014,11.827223
ESP,España,2015,12.883057
ESP,España,2016,13.852012
ESP,España,2017,21.54365
ESP,España,2018,25.122385
ESP,España,2019,24.215782
ESP,España,2020,20.759724
ESP,España,2021,19.141012
ESP,España,2022,19.181992
ESP,España,2023,17.37028
CAN,Canadá,1990,
CAN,Canadá,1991,
CAN,Canadá,1992,
CAN,Canadá,1993,
CAN,Canadá,1994,
CAN,Canadá,1995,
CAN,Canadá,1996,
CAN,Canadá,1997,
CAN,Canadá,1998,0.0
CAN,Canadá,1999,0.5779733
CAN,Canadá,2000,1.2613883
CAN,Canadá,2001,1.3259386
CAN,Canadá,2002,1.3599371
CAN,Canadá,2003,1.3599371
CAN,Canadá,2004,1.363663
CAN,Canadá,2005,1.4959308
CAN,Canadá,2006,1.9186431
CAN,Canadá,2007,5.599986
CAN,Canadá,2008,6.008574
CAN,Canadá,2009,8.729076
CAN,Canadá,2010,9.353597
CAN,Canadá,2011,11.039007
CAN,Canadá,2012,10.829854
CAN,Canadá,2013,11.604978
CAN,Canadá,2014,13.591123
CAN,Canadá,2015,13.804804
CAN,Canadá,2016,14.523844
CAN,Canadá,2017,13.846189
CAN,Canadá,2018,13.150651
CAN,Canadá,2019,14.46241
CAN,Canadá,2020,13.782784
CAN,Canadá,2021,13.648761
CAN,Canadá,2022,13.376443
CAN,Canadá,2023,14.552284
ARG,Argentina,1990,
ARG,Argentina,1991,
ARG,Argentina,1992,
ARG,Argentina,1993,
ARG,Argentina,1994,
ARG,Argentina,1995,
ARG,Argentina,1996,
ARG,Argentina,1997,
ARG,Argentina,1998,
ARG,Argentina,1999,
ARG,Argentina,2000,0.053206038
ARG,Argentina,2001,0.10612133
ARG,Argentina,2002,0.10612133
ARG,Argentina,2003,0.10612133
ARG,Argentina,2004,0.106412075
ARG,Argentina,2005,0.10612133
ARG,Argentina,2006,0.35267237
ARG,Argentina,2007,2.0078583
ARG,Argentina,2008,7.112291
ARG,Argentina,2009,11.965088
ARG,Argentina,2010,19.893946
ARG,Argentina,2011,25.844816
ARG,Argentina,2012,26.502539
ARG,Argentina,2013,23.838686
ARG,Argentina,2014,30.584425
ARG,Argentina,2015,23.461845
ARG,Argentina,2016,32.768284
ARG,Argentina,2017,36.231873
ARG,Argentina,2018,31.703428
ARG,Argentina,2019,28.55003
ARG,Argentina,2020,16.743963
ARG,Argentina,2021,23.7799
ARG,Argentina,2022,26.592962
ARG,Argentina,2023,15.418688
IND,India,1990,
IND,India,1991,
IND,India,1992,
IND,India,1993,
IND,India,1994,
IND,India,1995,
IND,India,1996,
IND,India,1997,
IND,India,1998,
IND,India,1999,
IND,India,2000,0.99766845
IND,India,2001,1.0292509
IND,India,2002,1.0978676
IND,India,2003,1.1321759
IND,India,2004,0.22170524
IND,India,2005,0.91569704
IND,India,2006,0.8263303
IND,India,2007,1.1078416
IND,India,2008,1.7061034
IND,India,2009,1.306545
IND,India,2010,2.1186633
IND,India,2011,3.0859628
IND,India,2012,2.9523408
IND,India,2013,2.8032336
IND,India,2014,3.0558562
IND,India,2015,6.018768
IND,India,2016,7.342315
IND,India,2017,6.712252
IND,India,2018,11.500109
IND,India,2019,12.9695425
IND,India,2020,14.32462
IND,India,2021,21.628881
IND,India,2022,27.568531
IND,India,2023,30.285034
SWE,Suecia,1990,
SWE,Suecia,1991,
SWE,Suecia,1992,
SWE,Suecia,1993,
SWE,Suecia,1994,
SWE,Suecia,1995,
SWE,Suecia,1996,
SWE,Suecia,1997,
SWE,Suecia,1998,
SWE,Suecia,1999,
SWE,Suecia,2000,
SWE,Suecia,2001,0.16962355
SWE,Suecia,2002,0.37980092
SWE,Suecia,2003,1.0517359
SWE,Suecia,2004,1.9810077
SWE,Suecia,2005,0.41834274
SWE,Suecia,2006,0.47564375
SWE,Suecia,2007,0.5703469
SWE,Suecia,2008,1.5406611
SWE,Suecia,2009,2.1265109
SWE,Suecia,2010,2.411469
SWE,Suecia,2011,2.2329485
SWE,Suecia,2012,2.649477
SWE,Suecia,2013,2.646395
SWE,Suecia,2014,2.648314
SWE,Suecia,2015,2.544423
SWE,Suecia,2016,2.4066658
SWE,Suecia,2017,2.1583188
SWE,Suecia,2018,4.238693
SWE,Suecia,2019,5.0010166
SWE,Suecia,2020,4.8916016
SWE,Suecia,2021,5.8893976
SWE,Suecia,2022,5.6152205
SWE,Suecia,2023,4.3341565
CHN,China,1990,
CHN,China,1991,
CHN,China,1992,
CHN,China,1993,
CHN,China,1994,
CHN,China,1995,
CHN,China,1996,
CHN,China,1997,
CHN,China,1998,
CHN,China,1999,
CHN,China,2000,
CHN,China,2001,0.053060666
CHN,China,2002,1.7684788
CHN,China,2003,4.8562317
CHN,China,2004,5.965346
CHN,China,2005,8.368024
CHN,China,2006,12.231146
CHN,China,2007,13.484257
CHN,China,2008,16.73106
CHN,China,2009,18.286425
CHN,China,2010,17.774601
CHN,China,2011,22.119545
CHN,China,2012,23.6831
CHN,China,2013,26.36082
CHN,China,2014,29.278551
CHN,China,2015,24.932436
CHN,China,2016,23.978706
CHN,China,2017,19.510063
CHN,China,2018,27.065264
CHN,China,2019,33.079388
CHN,China,2020,35.036037
CHN,China,2021,36.013332
CHN,China,2022,44.7
CHN,China,2023,48.508427
GBR,Reino Unido,1990,
GBR,Reino Unido,1991,
GBR,Reino Unido,1992,
GBR,Reino Unido,1993,
GBR,Reino Unido,1994,
GBR,Reino Unido,1995,
GBR,Reino Unido,1996,
GBR,Reino Unido,1997,
GBR,Reino Unido,1998,
GBR,Reino Unido,1999,
GBR,Reino Unido,2000,
GBR,Reino Unido,2001,
GBR,Reino Unido,2002,0.031836398
GBR,Reino Unido,2003,0.10612133
GBR,Reino Unido,2004,0.106412075
GBR,Reino Unido,2005,0.09173745
GBR,Reino Unido,2006,2.6513376
GBR,Reino Unido,2007,4.5208836
GBR,Reino Unido,2008,3.323238
GBR,Reino Unido,2009,2.5000198
GBR,Reino Unido,2010,3.2686234
GBR,Reino Unido,2011,2.0225036
GBR,Reino Unido,2012,3.48272
GBR,Reino Unido,2013,5.8598223
GBR,Reino Unido,2014,4.529478
GBR,Reino Unido,2015,3.5043516
GBR,Reino Unido,2016,6.30517
GBR,Reino Unido,2017,8.639753
GBR,Reino Unido,2018,7.9726562
GBR,Reino Unido,2019,6.8186812
GBR,Reino Unido,2020,7.49785
GBR,Reino Unido,2021,7.5362406
GBR,Reino Unido,2022,8.05959
GBR,Reino Unido,2023,8.382062
KOR,Corea del Sur,1990,
KOR,Corea del Sur,1991,
KOR,Corea del Sur,1992,
KOR,Corea del Sur,1993,
KOR,Corea del Sur,1994,
KOR,Corea del Sur,1995,
KOR,Corea del Sur,1996,
KOR,Corea del Sur,1997,
KOR,Corea del Sur,1998,
KOR,Corea del Sur,1999,
KOR,Corea del Sur,2000,
KOR,Corea del Sur,2001,
KOR,Corea del Sur,2002,0.010612134
KOR,Corea del Sur,2003,0.01686995
KOR,Corea del Sur,2004,0.053947262
KOR,Corea del Sur,2005,0.13318573
KOR,Corea del Sur,2006,0.5301919
KOR,Corea del Sur,2007,0.96652466
KOR,Corea del Sur,2008,2.0659766
KOR,Corea del Sur,2009,2.9562182
KOR,Corea del Sur,2010,4.14984
KOR,Corea del Sur,2011,3.9083083
KOR,Corea del Sur,2012,4.1858234
KOR,Corea del Sur,2013,4.2924123
KOR,Corea del Sur,2014,4.5089397
KOR,Corea del Sur,2015,5.132843
KOR,Corea del Sur,2016,5.15045
KOR,Corea del Sur,2017,4.978256
KOR,Corea del Sur,2018,7.9460115
KOR,Corea del Sur,2019,8.137663
KOR,Corea del Sur,2020,8.0242
KOR,Corea del Sur,2021,6.9439006
KOR,Corea del Sur,2022,7.9435096
KOR,Corea del Sur,2023,7.769537
POL,Polonia,1990,
POL,Polonia,1991,
POL,Polonia,1992,
POL,Polonia,1993,
POL,Polonia,1994,
POL,Polonia,1995,
POL,Polonia,1996,
POL,Polonia,1997,
POL,Polonia,1998,
POL,Polonia,1999,
POL,Polonia,2000,
POL,Polonia,2001,
POL,Polonia,2002,
POL,Polonia,2003,0.34308362
POL,Polonia,2004,0.06880472
POL,Polonia,2005,1.3228952
POL,Polonia,2006,1.7473806
POL,Polonia,2007,1.1637132
POL,Polonia,2008,3.3347955
POL,Polonia,2009,4.697668
POL,Polonia,2010,5.0410247
POL,Polonia,2011,4.7568064
POL,Polonia,2012,7.505673
POL,Polonia,2013,8.02146
POL,Polonia,2014,8.657344
POL,Polonia,2015,9.3839445
POL,Polonia,2016,10.681111
POL,Polonia,2017,10.640032
POL,Polonia,2018,10.500066
POL,Polonia,2019,11.371846
POL,Polonia,2020,11.306278
POL,Polonia,2021,12.020443
POL,Polonia,2022,12.437226
POL,Polonia,2023,12.508034
AUS,Australia,1990,
AUS,Australia,1991,
AUS,Australia,1992,
AUS,Australia,1993,
AUS,Australia,1994,
AUS,Australia,1995,
AUS,Australia,1996,
AUS,Australia,1997,
AUS,Australia,1998,
AUS,Australia,1999,
AUS,Australia,2000,
AUS,Australia,2001,
AUS,Australia,2002,
AUS,Australia,2003,0.53532314
AUS,Australia,2004,0.32180902
AUS,Australia,2005,0.32005984
AUS,Australia,2006,0.5920587
AUS,Australia,2007,1.1593293
AUS,Australia,2008,1.8793634
AUS,Australia,2009,2.695126
AUS,Australia,2010,2.101782
AUS,Australia,2011,2.5427177
AUS,Australia,2012,2.6933994
AUS,Australia,2013,2.845892
AUS,Australia,2014,2.9899483
AUS,Australia,2015,2.6403358
AUS,Australia,2016,1.4622647
AUS,Australia,2017,1.2355342
AUS,Australia,2018,1.5035336
AUS,Australia,2019,1.7374655
AUS,Australia,2020,1.4528769
AUS,Australia,2021,1.2335895
AUS,Australia,2022,1.3620932
AUS,Australia,2023,1.4218445
NLD,Países Bajos,1990,
NLD,Países Bajos,1991,
NLD,Países Bajos,1992,
NLD,Países Bajos,1993,
NLD,Países Bajos,1994,
NLD,Países Bajos,1995,
NLD,Países Bajos,1996,
NLD,Países Bajos,1997,
NLD,Países Bajos,1998,
NLD,Países Bajos,1999,
NLD,Países Bajos,2000,
NLD,Países Bajos,2001,
NLD,Países Bajos,2002,
NLD,Países Bajos,2003,
NLD,Países Bajos,2004,0.06880472
NLD,Países Bajos,2005,0.034308363
NLD,Países Bajos,2006,0.2718889
NLD,Países Bajos,2007,0.9480556
NLD,Países Bajos,2008,0.9051667
NLD,Países Bajos,2009,2.816111
NLD,Países Bajos,2010,4.511413
NLD,Países Bajos,2011,7.695028
NLD,Países Bajos,2012,14.698287
NLD,Países Bajos,2013,17.213945
NLD,Países Bajos,2014,20.730371
NLD,Países Bajos,2015,19.810902
NLD,Países Bajos,2016,17.645191
NLD,Países Bajos,2017,22.894236
NLD,Países Bajos,2018,21.969234
NLD,Países Bajos,2019,23.299513
NLD,Países Bajos,2020,23.195408
NLD,Países Bajos,2021,24.061457
NLD,Países Bajos,2022,23.016264
NLD,Países Bajos,2023,23.057646
THA,Tailandia,1990,
THA,Tailandia,1991,
THA,Tailandia,1992,
THA,Tailandia,1993,
THA,Tailandia,1994,
THA,Tailandia,1995,
THA,Tailandia,1996,
THA,Tailandia,1997,
THA,Tailandia,1998,
THA,Tailandia,1999,
THA,Tailandia,2000,
THA,Tailandia,2001,
THA,Tailandia,2002,
THA,Tailandia,2003,
THA,Tailandia,2004,0.03440236
THA,Tailandia,2005,0.62394303
THA,Tailandia,2006,0.96702665
THA,Tailandia,2007,1.6659789
THA,Tailandia,2008,6.0350504
THA,Tailandia,2009,7.4379945
THA,Tailandia,2010,9.69942
THA,Tailandia,2011,10.68797
THA,Tailandia,2012,14.642171
THA,Tailandia,2013,18.71267
THA,Tailandia,2014,20.92237
THA,Tailandia,2015,22.57383
THA,Tailandia,2016,20.259462
THA,Tailandia,2017,22.43427
THA,Tailandia,2018,24.55093
THA,Tailandia,2019,27.458431
THA,Tailandia,2020,27.656141
THA,Tailandia,2021,24.481152
THA,Tailandia,2022,22.376122
THA,Tailandia,2023,24.450712
BEL,Bélgica,1990,
BEL,Bélgica,1991,
BEL,Bélgica,1992,
BEL,Bélgica,1993,
BEL,Bélgica,1994,
BEL,Bélgica,1995,
BEL,Bélgica,1996,
BEL,Bélgica,1997,
BEL,Bélgica,1998,
BEL,Bélgica,1999,
BEL,Bélgica,2000,
BEL,Bélgica,2001,
BEL,Bélgica,2002,
BEL,Bélgica,2003,
BEL,Bélgica,2004,
BEL,Bélgica,2005,0.0
BEL,Bélgica,2006,0.0
BEL,Bélgica,2007,0.0
BEL,Bélgica,2008,0.0
BEL,Bélgica,2009,1.5663053
BEL,Bélgica,2010,4.2494974
BEL,Bélgica,2011,4.906837
BEL,Bélgica,2012,5.2025642
BEL,Bélgica,2013,5.10835
BEL,Bélgica,2014,6.688181
BEL,Bélgica,2015,4.491274
BEL,Bélgica,2016,4.3256507
BEL,Bélgica,2017,5.181677
BEL,Bélgica,2018,4.935505
BEL,Bélgica,2019,5.2234054
BEL,Bélgica,2020,5.400577
BEL,Bélgica,2021,5.012553
BEL,Bélgica,2022,4.757589
BEL,Bélgica,2023,4.8343034
PRT,Portugal,1990,
PRT,Portugal,1991,
PRT,Portugal,1992,
PRT,Portugal,1993,
PRT,Portugal,1994,
PRT,Portugal,1995,
PRT,Portugal,1996,
PRT,Portugal,1997,
PRT,Portugal,1998,
PRT,Portugal,1999,
PRT,Portugal,2000,
PRT,Portugal,2001,
PRT,Portugal,2002,
PRT,Portugal,2003,
PRT,Portugal,2004,
PRT,Portugal,2005,0.010612134
PRT,Portugal,2006,0.81772375
PRT,Portugal,2007,1.8858279
PRT,Portugal,2008,1.732905
PRT,Portugal,2009,2.6254027
PRT,Portugal,2010,3.3028038
PRT,Portugal,2011,3.8410752
PRT,Portugal,2012,3.2053096
PRT,Portugal,2013,3.1913304
PRT,Portugal,2014,3.5031424
PRT,Portugal,2015,3.7294853
PRT,Portugal,2016,3.4632165
PRT,Portugal,2017,3.6766038
PRT,Portugal,2018,3.8038125
PRT,Portugal,2019,4.1115193
PRT,Portugal,2020,3.4916983
PRT,Portugal,2021,3.3248775
PRT,Portugal,2022,3.6816127
PRT,Portugal,2023,3.4157104
IDN,Indonesia,1990,
IDN,Indonesia,1991,
IDN,Indonesia,1992,
IDN,Indonesia,1993,
IDN,Indonesia,1994,
IDN,Indonesia,1995,
IDN,Indonesia,1996,
IDN,Indonesia,1997,
IDN,Indonesia,1998,
IDN,Indonesia,1999,
IDN,Indonesia,2000,
IDN,Indonesia,2001,
IDN,Indonesia,2002,
IDN,Indonesia,2003,
IDN,Indonesia,2004,
IDN,Indonesia,2005,0.10277779
IDN,Indonesia,2006,0.5138889
IDN,Indonesia,2007,2.525499
IDN,Indonesia,2008,5.1463327
IDN,Indonesia,2009,1.749109
IDN,Indonesia,2010,2.2396321
IDN,Indonesia,2011,16.585947
IDN,Indonesia,2012,20.319769
IDN,Indonesia,2013,25.659634
IDN,Indonesia,2014,36.324234
IDN,Indonesia,2015,14.81855
IDN,Indonesia,2016,33.429016
IDN,Indonesia,2017,31.234552
IDN,Indonesia,2018,56.39775
IDN,Indonesia,2019,76.797134
IDN,Indonesia,2020,78.586044
IDN,Indonesia,2021,93.6305
IDN,Indonesia,2022,108.223694
IDN,Indonesia,2023,120.27119
COL,Colombia,1990,
COL,Colombia,1991,
COL,Colombia,1992,
COL,Colombia,1993,
COL,Colombia,1994,
COL,Colombia,1995,
COL,Colombia,1996,
COL,Colombia,1997,
COL,Colombia,1998,
COL,Colombia,1999,
COL,Colombia,2000,
COL,Colombia,2001,
COL,Colombia,2002,
COL,Colombia,2003,
COL,Colombia,2004,
COL,Colombia,2005,0.17154181
COL,Colombia,2006,1.5707598
COL,Colombia,2007,1.6889794
COL,Colombia,2008,1.7494819
COL,Colombia,2009,3.6427002
COL,Colombia,2010,5.2514305
COL,Colombia,2011,6.6385684
COL,Colombia,2012,7.2798066
COL,Colombia,2013,7.537293
COL,Colombia,2014,7.836902
COL,Colombia,2015,8.0241995
COL,Colombia,2016,7.806002
COL,Colombia,2017,7.153719
COL,Colombia,2018,8.936951
COL,Colombia,2019,7.9765267
COL,Colombia,2020,7.4975457
COL,Colombia,2021,9.363568
COL,Colombia,2022,8.928638
COL,Colombia,2023,9.641997
MEX,México,1990,
MEX,México,1991,
MEX,México,1992,
MEX,México,1993,
MEX,México,1994,
MEX,México,1995,
MEX,México,1996,
MEX,México,1997,
MEX,México,1998,
MEX,México,1999,
MEX,México,2000,
MEX,México,2001,
MEX,México,2002,
MEX,México,2003,
MEX,México,2004,
MEX,México,2005,
MEX,México,2006,
MEX,México,2007,0.0
MEX,México,2008,0.0
MEX,México,2009,0.0
MEX,México,2010,0.0
MEX,México,2011,0.0
MEX,México,2012,0.0
MEX,México,2013,0.0
MEX,México,2014,0.0
MEX,México,2015,0.0
MEX,México,2016,0.1182428
MEX,México,2017,0.17736419
MEX,México,2018,0.295607
MEX,México,2019,0.295607
MEX,México,2020,0.2364856
MEX,México,2021,0.35472837
MEX,México,2022,0.4138498
MEX,México,2023,0.4138498
