"geonombreFundar","anio","sector","valor_en_mtco2e","geocodigoFundar"
"Chaco","2015","Energía","1.52","AR-H"
"Chaco","2016","Energía","1.42","AR-H"
"Chaco","2017","Energía","1.5","AR-H"
"Chaco","2018","Energía","1.35","AR-H"
"Chaco","2019","Energía","1.23","AR-H"
"Chaco","2020","Energía","1.12","AR-H"
"Chaco","2021","Energía","1.34","AR-H"
"Chaco","2022","Energía","1.39","AR-H"
"Chaco","2010","PIUP","0","AR-H"
"Chaco","2011","PIUP","0","AR-H"
"Chaco","2012","PIUP","0","AR-H"
"Chaco","2013","PIUP","0","AR-H"
"Chaco","2014","PIUP","0","AR-H"
"Chaco","2015","PIUP","0","AR-H"
"Chaco","2016","PIUP","0","AR-H"
"Chaco","2017","PIUP","0","AR-H"
"Chaco","2018","PIUP","0","AR-H"
"Chaco","2019","PIUP","0","AR-H"
"Chaco","2020","PIUP","0","AR-H"
"Chaco","2021","PIUP","0","AR-H"
"Chaco","2022","PIUP","0","AR-H"
"Chaco","2010","AGSyOUT","24.32","AR-H"
"Chaco","2011","AGSyOUT","24.53","AR-H"
"Chaco","2012","AGSyOUT","30.24","AR-H"
"Chaco","2013","AGSyOUT","31.01","AR-H"
"Chaco","2014","AGSyOUT","19.41","AR-H"
"Chaco","2015","AGSyOUT","19.61","AR-H"
"Chaco","2016","AGSyOUT","18.09","AR-H"
"Chaco","2017","AGSyOUT","21.29","AR-H"
"Chaco","2018","AGSyOUT","19.07","AR-H"
"Chaco","2019","AGSyOUT","11.96","AR-H"
"Chaco","2020","AGSyOUT","17.7","AR-H"
"Chaco","2021","AGSyOUT","16.07","AR-H"
"Chaco","2022","AGSyOUT","19.45","AR-H"
"Chaco","2010","Residuos","0.37","AR-H"
"Chaco","2011","Residuos","0.37","AR-H"
"Chaco","2012","Residuos","0.36","AR-H"
"Chaco","2013","Residuos","0.35","AR-H"
"Chaco","2014","Residuos","0.34","AR-H"
"Chaco","2015","Residuos","0.32","AR-H"
"Chaco","2016","Residuos","0.31","AR-H"
"Chaco","2017","Residuos","0.3","AR-H"
"Chaco","2018","Residuos","0.29","AR-H"
"Chaco","2019","Residuos","0.29","AR-H"
"Chaco","2020","Residuos","0.28","AR-H"
"Chaco","2021","Residuos","0.28","AR-H"
"Chaco","2022","Residuos","0.26","AR-H"
"Chubut","2010","Energía","8.7","AR-U"
"Chubut","2011","Energía","9.47","AR-U"
"Chubut","2012","Energía","9.04","AR-U"
"Chubut","2013","Energía","9.19","AR-U"
"Chubut","2014","Energía","9.34","AR-U"
"Chubut","2015","Energía","9.93","AR-U"
"Chubut","2016","Energía","9.85","AR-U"
"Chubut","2017","Energía","9.23","AR-U"
"Chubut","2018","Energía","9.6","AR-U"
"Chubut","2019","Energía","9.86","AR-U"
"Chubut","2020","Energía","9.41","AR-U"
"Chubut","2021","Energía","9.35","AR-U"
"Chubut","2022","Energía","9.21","AR-U"
"Chubut","2010","PIUP","0.68","AR-U"
"Chubut","2011","PIUP","0.69","AR-U"
"Chubut","2012","PIUP","0.67","AR-U"
"Chubut","2013","PIUP","0.72","AR-U"
"Chubut","2014","PIUP","0.73","AR-U"
"Chubut","2015","PIUP","0.71","AR-U"
"Chubut","2016","PIUP","0.7","AR-U"
"Chubut","2017","PIUP","0.71","AR-U"
"Chubut","2018","PIUP","0.72","AR-U"
"Chubut","2019","PIUP","0.72","AR-U"
"Chubut","2020","PIUP","0.51","AR-U"
"Chubut","2021","PIUP","0.55","AR-U"
"Chubut","2022","PIUP","0.65","AR-U"
"Chubut","2010","AGSyOUT","1.08","AR-U"
"Chubut","2011","AGSyOUT","1.01","AR-U"
"Chubut","2012","AGSyOUT","0.91","AR-U"
"Chubut","2013","AGSyOUT","0.8","AR-U"
"Chubut","2014","AGSyOUT","9.89","AR-U"
"Chubut","2015","AGSyOUT","10.05","AR-U"
"Chubut","2016","AGSyOUT","9.87","AR-U"
"Chubut","2017","AGSyOUT","9.84","AR-U"
"Chubut","2018","AGSyOUT","-0.56","AR-U"
"Chubut","2019","AGSyOUT","0.7","AR-U"
"Chubut","2020","AGSyOUT","0.14","AR-U"
"Chubut","2021","AGSyOUT","9.68","AR-U"
"Chubut","2022","AGSyOUT","-0.13","AR-U"
"Chubut","2010","Residuos","0.15","AR-U"
"Chubut","2011","Residuos","0.15","AR-U"
"Chubut","2012","Residuos","0.16","AR-U"
"Chubut","2013","Residuos","0.17","AR-U"
"Chubut","2014","Residuos","0.17","AR-U"
"Chubut","2015","Residuos","0.18","AR-U"
"Chubut","2016","Residuos","0.18","AR-U"
"Chubut","2017","Residuos","0.19","AR-U"
"Chubut","2018","Residuos","0.2","AR-U"
"Chubut","2019","Residuos","0.2","AR-U"
"Chubut","2020","Residuos","0.21","AR-U"
"Chubut","2021","Residuos","0.21","AR-U"
"Chubut","2022","Residuos","0.21","AR-U"
"Entre Ríos","2010","Energía","2.43","AR-E"
"Entre Ríos","2011","Energía","2.57","AR-E"
"Entre Ríos","2012","Energía","2.54","AR-E"
"Entre Ríos","2013","Energía","2.56","AR-E"
"Entre Ríos","2014","Energía","2.43","AR-E"
"Entre Ríos","2015","Energía","2.45","AR-E"
"Entre Ríos","2016","Energía","2.42","AR-E"
"Entre Ríos","2017","Energía","2.37","AR-E"
"Entre Ríos","2018","Energía","2.32","AR-E"
"Entre Ríos","2019","Energía","2.67","AR-E"
"Entre Ríos","2020","Energía","2.1","AR-E"
"Entre Ríos","2021","Energía","2.52","AR-E"
"Entre Ríos","2022","Energía","2.86","AR-E"
"Entre Ríos","2010","PIUP","0","AR-E"
"Entre Ríos","2011","PIUP","0","AR-E"
"Entre Ríos","2012","PIUP","0","AR-E"
"Entre Ríos","2013","PIUP","0","AR-E"
"Entre Ríos","2014","PIUP","0","AR-E"
"Entre Ríos","2015","PIUP","0","AR-E"
"Entre Ríos","2016","PIUP","0","AR-E"
"Entre Ríos","2017","PIUP","0","AR-E"
"Entre Ríos","2018","PIUP","0","AR-E"
"Entre Ríos","2019","PIUP","0","AR-E"
"Entre Ríos","2020","PIUP","0","AR-E"
"Entre Ríos","2021","PIUP","0","AR-E"
"Entre Ríos","2022","PIUP","0","AR-E"
"Entre Ríos","2010","AGSyOUT","12.23","AR-E"
"Entre Ríos","2011","AGSyOUT","11.8","AR-E"
"Entre Ríos","2012","AGSyOUT","11.79","AR-E"
"Entre Ríos","2013","AGSyOUT","12","AR-E"
"Entre Ríos","2014","AGSyOUT","10.89","AR-E"
"Entre Ríos","2015","AGSyOUT","9.62","AR-E"
"Entre Ríos","2016","AGSyOUT","8.21","AR-E"
"Entre Ríos","2017","AGSyOUT","8.31","AR-E"
"Entre Ríos","2018","AGSyOUT","7.97","AR-E"
"Entre Ríos","2019","AGSyOUT","7.53","AR-E"
"Entre Ríos","2020","AGSyOUT","10.59","AR-E"
"Entre Ríos","2021","AGSyOUT","11.35","AR-E"
"Entre Ríos","2022","AGSyOUT","9.55","AR-E"
"Entre Ríos","2010","Residuos","0.35","AR-E"
"Entre Ríos","2011","Residuos","0.37","AR-E"
"Entre Ríos","2012","Residuos","0.38","AR-E"
"Entre Ríos","2013","Residuos","0.38","AR-E"
"Entre Ríos","2014","Residuos","0.39","AR-E"
"Entre Ríos","2015","Residuos","0.4","AR-E"
"Entre Ríos","2016","Residuos","0.41","AR-E"
"Entre Ríos","2017","Residuos","0.42","AR-E"
"Entre Ríos","2018","Residuos","0.43","AR-E"
"Entre Ríos","2019","Residuos","0.44","AR-E"
"Entre Ríos","2020","Residuos","0.44","AR-E"
"Entre Ríos","2021","Residuos","0.44","AR-E"
"Entre Ríos","2022","Residuos","0.45","AR-E"
"Formosa","2010","Energía","0.51","AR-P"
"Formosa","2011","Energía","0.45","AR-P"
"Formosa","2012","Energía","0.47","AR-P"
"Formosa","2013","Energía","0.46","AR-P"
"Formosa","2014","Energía","0.45","AR-P"
"Formosa","2015","Energía","0.47","AR-P"
"Formosa","2016","Energía","0.48","AR-P"
"Formosa","2017","Energía","0.45","AR-P"
"Formosa","2018","Energía","0.44","AR-P"
"Formosa","2019","Energía","0.45","AR-P"
"Formosa","2020","Energía","0.39","AR-P"
"Formosa","2021","Energía","0.41","AR-P"
"Formosa","2022","Energía","0.52","AR-P"
"Formosa","2010","PIUP","0","AR-P"
"Formosa","2011","PIUP","0","AR-P"
"Formosa","2012","PIUP","0","AR-P"
"Formosa","2013","PIUP","0","AR-P"
"Formosa","2014","PIUP","0","AR-P"
"Formosa","2015","PIUP","0","AR-P"
"Formosa","2016","PIUP","0","AR-P"
"Formosa","2017","PIUP","0","AR-P"
"Formosa","2018","PIUP","0","AR-P"
"Formosa","2019","PIUP","0","AR-P"
"Formosa","2020","PIUP","0","AR-P"
"Formosa","2021","PIUP","0","AR-P"
"Formosa","2022","PIUP","0","AR-P"
"Formosa","2010","AGSyOUT","16.43","AR-P"
"Formosa","2011","AGSyOUT","10.15","AR-P"
"Formosa","2012","AGSyOUT","15.45","AR-P"
"Formosa","2013","AGSyOUT","15.45","AR-P"
"Formosa","2014","AGSyOUT","9.75","AR-P"
"Formosa","2015","AGSyOUT","8.52","AR-P"
"Formosa","2016","AGSyOUT","10.29","AR-P"
"Formosa","2017","AGSyOUT","9.17","AR-P"
"Formosa","2018","AGSyOUT","9.77","AR-P"
"Formosa","2019","AGSyOUT","9.04","AR-P"
"Formosa","2020","AGSyOUT","14.44","AR-P"
"Formosa","2021","AGSyOUT","11.92","AR-P"
"Formosa","2022","AGSyOUT","9.59","AR-P"
"Formosa","2010","Residuos","0.14","AR-P"
"Formosa","2011","Residuos","0.15","AR-P"
"Formosa","2012","Residuos","0.15","AR-P"
"Formosa","2013","Residuos","0.15","AR-P"
"Formosa","2014","Residuos","0.15","AR-P"
"Formosa","2015","Residuos","0.15","AR-P"
"Formosa","2016","Residuos","0.16","AR-P"
"Formosa","2017","Residuos","0.16","AR-P"
"Formosa","2018","Residuos","0.16","AR-P"
"Formosa","2019","Residuos","0.16","AR-P"
"Formosa","2020","Residuos","0.16","AR-P"
"Formosa","2021","Residuos","0.16","AR-P"
"Formosa","2022","Residuos","0.16","AR-P"
"Jujuy","2010","Energía","1.2","AR-Y"
"Jujuy","2011","Energía","1.19","AR-Y"
"Jujuy","2012","Energía","1.15","AR-Y"
"Jujuy","2013","Energía","1.22","AR-Y"
"Jujuy","2014","Energía","1.2","AR-Y"
"Jujuy","2015","Energía","1.22","AR-Y"
"Jujuy","2016","Energía","1.18","AR-Y"
"Jujuy","2017","Energía","1.39","AR-Y"
"Jujuy","2018","Energía","1.37","AR-Y"
"Jujuy","2019","Energía","1.5","AR-Y"
"Jujuy","2020","Energía","1.03","AR-Y"
"Jujuy","2021","Energía","1.21","AR-Y"
"Jujuy","2022","Energía","1.26","AR-Y"
"Jujuy","2010","PIUP","0","AR-Y"
"Jujuy","2011","PIUP","0","AR-Y"
"Jujuy","2012","PIUP","0","AR-Y"
"Jujuy","2013","PIUP","0","AR-Y"
"Jujuy","2014","PIUP","0","AR-Y"
"Jujuy","2015","PIUP","0","AR-Y"
"Jujuy","2016","PIUP","0","AR-Y"
"Jujuy","2017","PIUP","0","AR-Y"
"Jujuy","2018","PIUP","0","AR-Y"
"Jujuy","2019","PIUP","0","AR-Y"
"Jujuy","2020","PIUP","0","AR-Y"
"Jujuy","2021","PIUP","0","AR-Y"
"Jujuy","2022","PIUP","0","AR-Y"
"Jujuy","2010","AGSyOUT","1.95","AR-Y"
"Jujuy","2011","AGSyOUT","1.63","AR-Y"
"Jujuy","2012","AGSyOUT","1.53","AR-Y"
"Jujuy","2013","AGSyOUT","1.84","AR-Y"
"Jujuy","2014","AGSyOUT","0.64","AR-Y"
"Jujuy","2015","AGSyOUT","0.57","AR-Y"
"Jujuy","2016","AGSyOUT","0.18","AR-Y"
"Jujuy","2017","AGSyOUT","0.46","AR-Y"
"Jujuy","2018","AGSyOUT","0.39","AR-Y"
"Jujuy","2019","AGSyOUT","0.92","AR-Y"
"Jujuy","2020","AGSyOUT","11.52","AR-Y"
"Jujuy","2021","AGSyOUT","1.24","AR-Y"
"Jujuy","2022","AGSyOUT","0.51","AR-Y"
"Jujuy","2010","Residuos","0.22","AR-Y"
"Jujuy","2011","Residuos","0.22","AR-Y"
"Jujuy","2012","Residuos","0.23","AR-Y"
"Jujuy","2013","Residuos","0.23","AR-Y"
"Jujuy","2014","Residuos","0.23","AR-Y"
"Jujuy","2015","Residuos","0.24","AR-Y"
"Jujuy","2016","Residuos","0.24","AR-Y"
"Jujuy","2017","Residuos","0.24","AR-Y"
"Jujuy","2018","Residuos","0.25","AR-Y"
"Jujuy","2019","Residuos","0.25","AR-Y"
"Jujuy","2020","Residuos","0.25","AR-Y"
"Jujuy","2021","Residuos","0.25","AR-Y"
"Jujuy","2022","Residuos","0.25","AR-Y"
"La Pampa","2010","Energía","1.65","AR-L"
"La Pampa","2011","Energía","1.77","AR-L"
"La Pampa","2012","Energía","1.8","AR-L"
"La Pampa","2013","Energía","1.73","AR-L"
"La Pampa","2014","Energía","1.75","AR-L"
"La Pampa","2015","Energía","1.78","AR-L"
"La Pampa","2016","Energía","1.93","AR-L"
"La Pampa","2017","Energía","1.97","AR-L"
"La Pampa","2018","Energía","1.89","AR-L"
"La Pampa","2019","Energía","1.85","AR-L"
"La Pampa","2020","Energía","1.74","AR-L"
"La Pampa","2021","Energía","2.03","AR-L"
"La Pampa","2022","Energía","2.19","AR-L"
"La Pampa","2010","PIUP","0","AR-L"
"La Pampa","2011","PIUP","0","AR-L"
"La Pampa","2012","PIUP","0","AR-L"
"La Pampa","2013","PIUP","0","AR-L"
"La Pampa","2014","PIUP","0","AR-L"
"La Pampa","2015","PIUP","0","AR-L"
"La Pampa","2016","PIUP","0","AR-L"
"La Pampa","2017","PIUP","0","AR-L"
"La Pampa","2018","PIUP","0","AR-L"
"La Pampa","2019","PIUP","0","AR-L"
"La Pampa","2020","PIUP","0","AR-L"
"La Pampa","2021","PIUP","0","AR-L"
"La Pampa","2022","PIUP","0","AR-L"
"La Pampa","2010","AGSyOUT","4.65","AR-L"
"La Pampa","2011","AGSyOUT","1.91","AR-L"
"La Pampa","2012","AGSyOUT","2.7","AR-L"
"La Pampa","2013","AGSyOUT","3.66","AR-L"
"La Pampa","2014","AGSyOUT","9.16","AR-L"
"La Pampa","2015","AGSyOUT","5.1","AR-L"
"La Pampa","2016","AGSyOUT","3.48","AR-L"
"La Pampa","2017","AGSyOUT","10.34","AR-L"
