geocodigoFundar,geonombreFundar,anio,sector,valor_en_mtco2e
AR-B,Buenos Aires,2016,PIUP,1.0
AR-B,Buenos Aires,2017,PIUP,1.03
AR-B,Buenos Aires,2018,PIUP,0.87
AR-B,Buenos Aires,2010,AGSyOUT,23.09
AR-B,Buenos Aires,2011,AGSyOUT,17.89
AR-B,Buenos Aires,2012,AGSyOUT,24.55
AR-B,Buenos Aires,2013,AGSyOUT,26.88
AR-B,Buenos Aires,2014,AGSyOUT,26.62
AR-B,Buenos Aires,2015,AGSyOUT,22.92
AR-B,Buenos Aires,2016,AGSyOUT,27.68
AR-B,Buenos Aires,2017,AGSyOUT,21.77
AR-B,Buenos Aires,2018,AGSyOUT,30.46
AR-B,Buenos Aires,2010,Residuos,4.68
AR-B,Buenos Aires,2011,Residuos,4.71
AR-B,Buenos Aires,2012,Residuos,4.95
AR-B,Buenos Aires,2013,Residuos,5.16
AR-B,Buenos Aires,2014,Residuos,5.45
AR-B,Buenos Aires,2015,Residuos,5.71
AR-B,Buenos Aires,2016,Residuos,5.9
AR-B,Buenos Aires,2017,Residuos,6.06
AR-B,Buenos Aires,2018,Residuos,6.22
AR-K,Catamarca,2010,Energía,0.64
AR-K,Catamarca,2011,Energía,0.7
AR-K,Catamarca,2012,Energía,0.69
AR-K,Catamarca,2013,Energía,0.74
AR-K,Catamarca,2014,Energía,0.74
AR-K,Catamarca,2015,Energía,0.76
AR-K,Catamarca,2016,Energía,0.68
AR-K,Catamarca,2017,Energía,0.68
AR-K,Catamarca,2018,Energía,0.57
AR-K,Catamarca,2010,PIUP,0.0
AR-K,Catamarca,2011,PIUP,0.0
AR-K,Catamarca,2012,PIUP,0.0
AR-K,Catamarca,2013,PIUP,0.01
AR-K,Catamarca,2014,PIUP,0.01
AR-K,Catamarca,2015,PIUP,0.0
AR-K,Catamarca,2016,PIUP,0.0
AR-K,Catamarca,2017,PIUP,0.0
AR-K,Catamarca,2018,PIUP,0.0
AR-K,Catamarca,2010,AGSyOUT,0.69
AR-K,Catamarca,2011,AGSyOUT,1.11
AR-K,Catamarca,2012,AGSyOUT,1.26
AR-K,Catamarca,2013,AGSyOUT,1.41
AR-K,Catamarca,2014,AGSyOUT,0.41
AR-K,Catamarca,2015,AGSyOUT,0.21
AR-K,Catamarca,2016,AGSyOUT,0.72
AR-K,Catamarca,2017,AGSyOUT,1.19
AR-K,Catamarca,2018,AGSyOUT,0.17
AR-K,Catamarca,2010,Residuos,0.07
AR-K,Catamarca,2011,Residuos,0.07
AR-K,Catamarca,2012,Residuos,0.08
AR-K,Catamarca,2013,Residuos,0.08
AR-K,Catamarca,2014,Residuos,0.08
AR-K,Catamarca,2015,Residuos,0.09
AR-K,Catamarca,2016,Residuos,0.09
AR-K,Catamarca,2017,Residuos,0.09
AR-K,Catamarca,2018,Residuos,0.09
AR-X,Córdoba,2010,Energía,10.27
AR-X,Córdoba,2011,Energía,11.2
AR-X,Córdoba,2012,Energía,10.97
AR-X,Córdoba,2013,Energía,11.03
AR-X,Córdoba,2014,Energía,10.31
AR-X,Córdoba,2015,Energía,10.96
AR-X,Córdoba,2016,Energía,11.0
AR-X,Córdoba,2017,Energía,10.83
AR-X,Córdoba,2018,Energía,10.65
AR-X,Córdoba,2010,PIUP,0.23
AR-X,Córdoba,2011,PIUP,0.27
AR-X,Córdoba,2012,PIUP,0.27
AR-X,Córdoba,2013,PIUP,0.25
AR-X,Córdoba,2014,PIUP,0.26
AR-X,Córdoba,2015,PIUP,0.33
AR-X,Córdoba,2016,PIUP,0.3
AR-X,Córdoba,2017,PIUP,0.33
AR-X,Córdoba,2018,PIUP,0.26
AR-X,Córdoba,2010,AGSyOUT,17.25
AR-X,Córdoba,2011,AGSyOUT,13.75
AR-X,Córdoba,2012,AGSyOUT,11.03
AR-X,Córdoba,2013,AGSyOUT,5.63
AR-X,Córdoba,2014,AGSyOUT,12.79
AR-X,Córdoba,2015,AGSyOUT,12.53
AR-X,Córdoba,2016,AGSyOUT,9.01
AR-X,Córdoba,2017,AGSyOUT,11.41
AR-X,Córdoba,2018,AGSyOUT,15.54
AR-X,Córdoba,2010,Residuos,1.02
AR-X,Córdoba,2011,Residuos,1.05
AR-X,Córdoba,2012,Residuos,1.08
AR-X,Córdoba,2013,Residuos,1.11
AR-X,Córdoba,2014,Residuos,1.14
AR-X,Córdoba,2015,Residuos,1.18
AR-X,Córdoba,2016,Residuos,1.21
AR-X,Córdoba,2017,Residuos,1.24
AR-X,Córdoba,2018,Residuos,1.27
AR-W,Corrientes,2010,Energía,1.02
AR-W,Corrientes,2011,Energía,1.07
AR-W,Corrientes,2012,Energía,1.06
AR-W,Corrientes,2013,Energía,0.89
AR-W,Corrientes,2014,Energía,0.84
AR-W,Corrientes,2015,Energía,0.88
AR-W,Corrientes,2016,Energía,0.92
AR-W,Corrientes,2017,Energía,1.02
AR-W,Corrientes,2018,Energía,0.96
AR-W,Corrientes,2010,PIUP,0.0
AR-W,Corrientes,2011,PIUP,0.0
AR-W,Corrientes,2012,PIUP,0.0
AR-W,Corrientes,2013,PIUP,0.0
AR-W,Corrientes,2014,PIUP,0.0
AR-W,Corrientes,2015,PIUP,0.0
AR-W,Corrientes,2016,PIUP,0.0
AR-W,Corrientes,2017,PIUP,0.0
AR-W,Corrientes,2018,PIUP,0.0
AR-W,Corrientes,2010,AGSyOUT,-2.86
AR-W,Corrientes,2011,AGSyOUT,-3.12
AR-W,Corrientes,2012,AGSyOUT,1.05
AR-W,Corrientes,2013,AGSyOUT,0.96
AR-W,Corrientes,2014,AGSyOUT,0.66
AR-W,Corrientes,2015,AGSyOUT,-0.83
AR-W,Corrientes,2016,AGSyOUT,-2.14
AR-W,Corrientes,2017,AGSyOUT,-0.78
AR-W,Corrientes,2018,AGSyOUT,-2.89
AR-W,Corrientes,2010,Residuos,0.25
AR-W,Corrientes,2011,Residuos,0.26
AR-W,Corrientes,2012,Residuos,0.27
AR-W,Corrientes,2013,Residuos,0.28
AR-W,Corrientes,2014,Residuos,0.29
AR-W,Corrientes,2015,Residuos,0.3
AR-W,Corrientes,2016,Residuos,0.31
AR-W,Corrientes,2017,Residuos,0.32
AR-W,Corrientes,2018,Residuos,0.33
AR-H,Chaco,2010,Energía,1.12
AR-H,Chaco,2011,Energía,1.13
AR-H,Chaco,2012,Energía,1.09
AR-H,Chaco,2013,Energía,1.11
AR-H,Chaco,2014,Energía,1.1
AR-H,Chaco,2015,Energía,1.19
AR-H,Chaco,2016,Energía,1.19
AR-H,Chaco,2017,Energía,1.29
AR-H,Chaco,2018,Energía,1.13
AR-H,Chaco,2010,PIUP,0.0
AR-H,Chaco,2011,PIUP,0.0
AR-H,Chaco,2012,PIUP,0.0
AR-H,Chaco,2013,PIUP,0.0
AR-H,Chaco,2014,PIUP,0.0
AR-H,Chaco,2015,PIUP,0.0
AR-H,Chaco,2016,PIUP,0.0
AR-H,Chaco,2017,PIUP,0.0
AR-H,Chaco,2018,PIUP,0.0
AR-H,Chaco,2010,AGSyOUT,22.17
AR-H,Chaco,2011,AGSyOUT,24.26
AR-H,Chaco,2012,AGSyOUT,29.33
AR-H,Chaco,2013,AGSyOUT,29.93
AR-H,Chaco,2014,AGSyOUT,19.29
AR-H,Chaco,2015,AGSyOUT,19.53
AR-H,Chaco,2016,AGSyOUT,18.05
AR-H,Chaco,2017,AGSyOUT,21.16
AR-H,Chaco,2018,AGSyOUT,18.65
AR-H,Chaco,2010,Residuos,0.23
AR-H,Chaco,2011,Residuos,0.24
AR-H,Chaco,2012,Residuos,0.25
AR-H,Chaco,2013,Residuos,0.25
AR-H,Chaco,2014,Residuos,0.26
AR-H,Chaco,2015,Residuos,0.26
AR-H,Chaco,2016,Residuos,0.27
AR-H,Chaco,2017,Residuos,0.27
AR-H,Chaco,2018,Residuos,0.28
AR-U,Chubut,2010,Energía,7.58
AR-U,Chubut,2011,Energía,8.32
AR-U,Chubut,2012,Energía,7.93
AR-U,Chubut,2013,Energía,8.1
AR-U,Chubut,2014,Energía,8.24
AR-U,Chubut,2015,Energía,8.78
AR-U,Chubut,2016,Energía,8.73
AR-U,Chubut,2017,Energía,8.18
AR-U,Chubut,2018,Energía,8.54
AR-U,Chubut,2010,PIUP,0.68
AR-U,Chubut,2011,PIUP,0.69
AR-U,Chubut,2012,PIUP,0.68
AR-U,Chubut,2013,PIUP,0.72
AR-U,Chubut,2014,PIUP,0.73
AR-U,Chubut,2015,PIUP,0.71
AR-U,Chubut,2016,PIUP,0.71
AR-U,Chubut,2017,PIUP,0.71
AR-U,Chubut,2018,PIUP,0.73
AR-U,Chubut,2010,AGSyOUT,1.21
AR-U,Chubut,2011,AGSyOUT,1.14
AR-U,Chubut,2012,AGSyOUT,1.02
AR-U,Chubut,2013,AGSyOUT,0.91
AR-U,Chubut,2014,AGSyOUT,9.94
AR-U,Chubut,2015,AGSyOUT,10.07
AR-U,Chubut,2016,AGSyOUT,9.91
AR-U,Chubut,2017,AGSyOUT,9.88
AR-U,Chubut,2018,AGSyOUT,0.12
AR-U,Chubut,2010,Residuos,0.11
AR-U,Chubut,2011,Residuos,0.11
AR-U,Chubut,2012,Residuos,0.12
AR-U,Chubut,2013,Residuos,0.12
AR-U,Chubut,2014,Residuos,0.13
AR-U,Chubut,2015,Residuos,0.14
AR-U,Chubut,2016,Residuos,0.14
AR-U,Chubut,2017,Residuos,0.15
AR-U,Chubut,2018,Residuos,0.15
AR-E,Entre Ríos,2010,Energía,2.44
AR-E,Entre Ríos,2011,Energía,2.58
AR-E,Entre Ríos,2012,Energía,2.54
AR-E,Entre Ríos,2013,Energía,2.55
AR-E,Entre Ríos,2014,Energía,2.42
AR-E,Entre Ríos,2015,Energía,2.43
AR-E,Entre Ríos,2016,Energía,2.41
AR-E,Entre Ríos,2017,Energía,2.37
AR-E,Entre Ríos,2018,Energía,2.31
AR-E,Entre Ríos,2010,PIUP,0.01
AR-E,Entre Ríos,2011,PIUP,0.01
AR-E,Entre Ríos,2012,PIUP,0.01
AR-E,Entre Ríos,2013,PIUP,0.01
AR-E,Entre Ríos,2014,PIUP,0.01
AR-E,Entre Ríos,2015,PIUP,0.01
AR-E,Entre Ríos,2016,PIUP,0.01
AR-E,Entre Ríos,2017,PIUP,0.01
AR-E,Entre Ríos,2018,PIUP,0.01
AR-E,Entre Ríos,2010,AGSyOUT,11.63
AR-E,Entre Ríos,2011,AGSyOUT,11.26
AR-E,Entre Ríos,2012,AGSyOUT,11.27
AR-E,Entre Ríos,2013,AGSyOUT,11.44
AR-E,Entre Ríos,2014,AGSyOUT,10.3
AR-E,Entre Ríos,2015,AGSyOUT,8.75
AR-E,Entre Ríos,2016,AGSyOUT,7.69
AR-E,Entre Ríos,2017,AGSyOUT,7.75
AR-E,Entre Ríos,2018,AGSyOUT,7.35
AR-E,Entre Ríos,2010,Residuos,0.29
AR-E,Entre Ríos,2011,Residuos,0.29
AR-E,Entre Ríos,2012,Residuos,0.3
AR-E,Entre Ríos,2013,Residuos,0.31
AR-E,Entre Ríos,2014,Residuos,0.32
AR-E,Entre Ríos,2015,Residuos,0.32
AR-E,Entre Ríos,2016,Residuos,0.33
AR-E,Entre Ríos,2017,Residuos,0.33
AR-E,Entre Ríos,2018,Residuos,0.34
AR-P,Formosa,2010,Energía,0.49
AR-P,Formosa,2011,Energía,0.42
AR-P,Formosa,2012,Energía,0.45
AR-P,Formosa,2013,Energía,0.44
AR-P,Formosa,2014,Energía,0.42
AR-P,Formosa,2015,Energía,0.45
AR-P,Formosa,2016,Energía,0.44
AR-P,Formosa,2017,Energía,0.43
AR-P,Formosa,2018,Energía,0.42
AR-P,Formosa,2010,PIUP,0.0
AR-P,Formosa,2011,PIUP,0.0
AR-P,Formosa,2012,PIUP,0.0
AR-P,Formosa,2013,PIUP,0.0
AR-P,Formosa,2014,PIUP,0.0
AR-P,Formosa,2015,PIUP,0.0
AR-P,Formosa,2016,PIUP,0.0
AR-P,Formosa,2017,PIUP,0.0
AR-P,Formosa,2018,PIUP,0.0
AR-P,Formosa,2010,AGSyOUT,15.99
AR-P,Formosa,2011,AGSyOUT,9.86
AR-P,Formosa,2012,AGSyOUT,15.05
AR-P,Formosa,2013,AGSyOUT,15.07
AR-P,Formosa,2014,AGSyOUT,9.39
AR-P,Formosa,2015,AGSyOUT,8.17
AR-P,Formosa,2016,AGSyOUT,9.95
AR-P,Formosa,2017,AGSyOUT,8.79
AR-P,Formosa,2018,AGSyOUT,9.91
AR-P,Formosa,2010,Residuos,0.1
AR-P,Formosa,2011,Residuos,0.11
AR-P,Formosa,2012,Residuos,0.11
AR-P,Formosa,2013,Residuos,0.11
AR-P,Formosa,2014,Residuos,0.12
AR-P,Formosa,2015,Residuos,0.12
AR-P,Formosa,2016,Residuos,0.12
AR-P,Formosa,2017,Residuos,0.13
AR-P,Formosa,2018,Residuos,0.13
AR-Y,Jujuy,2010,Energía,1.18
AR-Y,Jujuy,2011,Energía,1.17
AR-Y,Jujuy,2012,Energía,1.13
AR-Y,Jujuy,2013,Energía,1.2
AR-Y,Jujuy,2014,Energía,1.19
AR-Y,Jujuy,2015,Energía,1.2
AR-Y,Jujuy,2016,Energía,1.16
AR-Y,Jujuy,2017,Energía,1.36
AR-Y,Jujuy,2018,Energía,1.34
AR-Y,Jujuy,2010,PIUP,0.0
AR-Y,Jujuy,2011,PIUP,0.0
AR-Y,Jujuy,2012,PIUP,0.0
AR-Y,Jujuy,2013,PIUP,0.0
AR-Y,Jujuy,2014,PIUP,0.0
AR-Y,Jujuy,2015,PIUP,0.0
AR-Y,Jujuy,2016,PIUP,0.0
AR-Y,Jujuy,2017,PIUP,0.0
AR-Y,Jujuy,2018,PIUP,0.0
AR-Y,Jujuy,2010,AGSyOUT,2.12
AR-Y,Jujuy,2011,AGSyOUT,1.84
AR-Y,Jujuy,2012,AGSyOUT,1.75
AR-Y,Jujuy,2013,AGSyOUT,2.03
AR-Y,Jujuy,2014,AGSyOUT,1.0
AR-Y,Jujuy,2015,AGSyOUT,0.91
AR-Y,Jujuy,2016,AGSyOUT,0.51
AR-Y,Jujuy,2017,AGSyOUT,0.99
AR-Y,Jujuy,2018,AGSyOUT,0.71
AR-Y,Jujuy,2010,Residuos,0.16
AR-Y,Jujuy,2011,Residuos,0.16
AR-Y,Jujuy,2012,Residuos,0.17
AR-Y,Jujuy,2013,Residuos,0.17
AR-Y,Jujuy,2014,Residuos,0.18
AR-Y,Jujuy,2015,Residuos,0.18
AR-Y,Jujuy,2016,Residuos,0.19
AR-Y,Jujuy,2017,Residuos,0.19
AR-Y,Jujuy,2018,Residuos,0.19
AR-L,La Pampa,2010,Energía,1.52
AR-L,La Pampa,2011,Energía,1.63
AR-L,La Pampa,2012,Energía,1.65
AR-L,La Pampa,2013,Energía,1.58
AR-L,La Pampa,2014,Energía,1.6
AR-L,La Pampa,2015,Energía,1.63
AR-L,La Pampa,2016,Energía,1.8
AR-L,La Pampa,2017,Energía,1.84
AR-L,La Pampa,2018,Energía,1.78
AR-L,La Pampa,2010,PIUP,0.0
AR-L,La Pampa,2011,PIUP,0.0
AR-L,La Pampa,2012,PIUP,0.0
AR-L,La Pampa,2013,PIUP,0.0
AR-L,La Pampa,2014,PIUP,0.0
AR-L,La Pampa,2015,PIUP,0.0
AR-L,La Pampa,2016,PIUP,0.0
AR-L,La Pampa,2017,PIUP,0.0
AR-L,La Pampa,2018,PIUP,0.0
AR-L,La Pampa,2010,AGSyOUT,4.43
AR-L,La Pampa,2011,AGSyOUT,2.11
AR-L,La Pampa,2012,AGSyOUT,2.64
AR-L,La Pampa,2013,AGSyOUT,3.54
AR-L,La Pampa,2014,AGSyOUT,8.85
AR-L,La Pampa,2015,AGSyOUT,4.91
AR-L,La Pampa,2016,AGSyOUT,3.11
AR-L,La Pampa,2017,AGSyOUT,9.68
AR-L,La Pampa,2018,AGSyOUT,13.94
AR-L,La Pampa,2010,Residuos,0.08
AR-L,La Pampa,2011,Residuos,0.08
AR-L,La Pampa,2012,Residuos,0.08
AR-L,La Pampa,2013,Residuos,0.08
AR-L,La Pampa,2014,Residuos,0.09
AR-L,La Pampa,2015,Residuos,0.09
AR-L,La Pampa,2016,Residuos,0.09
AR-L,La Pampa,2017,Residuos,0.09
AR-L,La Pampa,2018,Residuos,0.1
AR-F,La Rioja,2010,Energía,0.36
AR-F,La Rioja,2011,Energía,0.4
AR-F,La Rioja,2012,Energía,0.42
AR-F,La Rioja,2013,Energía,0.44
AR-F,La Rioja,2014,Energía,0.42
AR-F,La Rioja,2015,Energía,0.44
AR-F,La Rioja,2016,Energía,0.43
AR-F,La Rioja,2017,Energía,0.45
AR-F,La Rioja,2018,Energía,0.42
AR-F,La Rioja,2010,PIUP,0.0
AR-F,La Rioja,2011,PIUP,0.0
AR-F,La Rioja,2012,PIUP,0.0
AR-F,La Rioja,2013,PIUP,0.0
AR-F,La Rioja,2014,PIUP,0.0
AR-F,La Rioja,2015,PIUP,0.0
AR-F,La Rioja,2016,PIUP,0.0
AR-F,La Rioja,2017,PIUP,0.0
AR-F,La Rioja,2018,PIUP,0.0
AR-F,La Rioja,2010,AGSyOUT,1.48
AR-F,La Rioja,2011,AGSyOUT,1.46
AR-F,La Rioja,2012,AGSyOUT,2.75
AR-F,La Rioja,2013,AGSyOUT,2.06
AR-F,La Rioja,2014,AGSyOUT,1.6
AR-F,La Rioja,2015,AGSyOUT,2.16
AR-F,La Rioja,2016,AGSyOUT,2.33
AR-F,La Rioja,2017,AGSyOUT,0.89
AR-F,La Rioja,2018,AGSyOUT,0.74
AR-F,La Rioja,2010,Residuos,0.07
AR-F,La Rioja,2011,Residuos,0.08
AR-F,La Rioja,2012,Residuos,0.08
AR-F,La Rioja,2013,Residuos,0.08
AR-F,La Rioja,2014,Residuos,0.08
AR-F,La Rioja,2015,Residuos,0.09
AR-F,La Rioja,2016,Residuos,0.09
AR-F,La Rioja,2017,Residuos,0.1
AR-F,La Rioja,2018,Residuos,0.1
AR-M,Mendoza,2010,Energía,7.33
AR-M,Mendoza,2011,Energía,7.56
AR-M,Mendoza,2012,Energía,7.67
AR-M,Mendoza,2013,Energía,8.05
AR-M,Mendoza,2014,Energía,7.86
AR-M,Mendoza,2015,Energía,8.36
AR-M,Mendoza,2016,Energía,7.9
AR-M,Mendoza,2017,Energía,7.41
AR-M,Mendoza,2018,Energía,7.37
AR-M,Mendoza,2010,PIUP,0.01
AR-M,Mendoza,2011,PIUP,0.01
AR-M,Mendoza,2012,PIUP,0.01
AR-M,Mendoza,2013,PIUP,0.01
AR-M,Mendoza,2014,PIUP,0.01
AR-M,Mendoza,2015,PIUP,0.01
AR-M,Mendoza,2016,PIUP,0.01
AR-M,Mendoza,2017,PIUP,0.01
AR-M,Mendoza,2018,PIUP,0.01
AR-M,Mendoza,2010,AGSyOUT,1.06
AR-M,Mendoza,2011,AGSyOUT,0.87
AR-M,Mendoza,2012,AGSyOUT,0.79
AR-M,Mendoza,2013,AGSyOUT,0.85
AR-M,Mendoza,2014,AGSyOUT,0.81
AR-M,Mendoza,2015,AGSyOUT,0.85
AR-M,Mendoza,2016,AGSyOUT,0.97
AR-M,Mendoza,2017,AGSyOUT,1.72
AR-M,Mendoza,2018,AGSyOUT,1.03
AR-M,Mendoza,2010,Residuos,0.41
AR-M,Mendoza,2011,Residuos,0.42
AR-M,Mendoza,2012,Residuos,0.44
AR-M,Mendoza,2013,Residuos,0.45
AR-M,Mendoza,2014,Residuos,0.46
AR-M,Mendoza,2015,Residuos,0.48
AR-M,Mendoza,2016,Residuos,0.5
AR-M,Mendoza,2017,Residuos,0.52
AR-M,Mendoza,2018,Residuos,0.53
AR-N,Misiones,2010,Energía,1.31
AR-N,Misiones,2011,Energía,1.44
AR-N,Misiones,2012,Energía,1.44
AR-N,Misiones,2013,Energía,1.47
AR-N,Misiones,2014,Energía,1.38
AR-N,Misiones,2015,Energía,1.33
AR-N,Misiones,2016,Energía,1.22
AR-N,Misiones,2017,Energía,1.3
AR-N,Misiones,2018,Energía,1.3
AR-N,Misiones,2010,PIUP,0.02
AR-N,Misiones,2011,PIUP,0.02
AR-N,Misiones,2012,PIUP,0.02
AR-N,Misiones,2013,PIUP,0.01
AR-N,Misiones,2014,PIUP,0.01
AR-N,Misiones,2015,PIUP,0.0
AR-N,Misiones,2016,PIUP,0.0
AR-N,Misiones,2017,PIUP,0.0
AR-N,Misiones,2018,PIUP,0.0
AR-N,Misiones,2010,AGSyOUT,-2.15
AR-N,Misiones,2011,AGSyOUT,-1.95
AR-N,Misiones,2012,AGSyOUT,-4.06
AR-N,Misiones,2013,AGSyOUT,-3.66
AR-N,Misiones,2014,AGSyOUT,-7.91
AR-N,Misiones,2015,AGSyOUT,-6.38
AR-N,Misiones,2016,AGSyOUT,-4.38
AR-N,Misiones,2017,AGSyOUT,-3.63
AR-N,Misiones,2018,AGSyOUT,-3.81
AR-N,Misiones,2010,Residuos,0.21
AR-N,Misiones,2011,Residuos,0.22
AR-N,Misiones,2012,Residuos,0.22
AR-N,Misiones,2013,Residuos,0.23
AR-N,Misiones,2014,Residuos,0.23
AR-N,Misiones,2015,Residuos,0.24
AR-N,Misiones,2016,Residuos,0.24
AR-N,Misiones,2017,Residuos,0.26
AR-N,Misiones,2018,Residuos,0.26
AR-Q,Neuquén,2010,Energía,12.88
AR-Q,Neuquén,2011,Energía,13.4
AR-Q,Neuquén,2012,Energía,12.96
AR-Q,Neuquén,2013,Energía,12.15
AR-Q,Neuquén,2014,Energía,13.25
AR-Q,Neuquén,2015,Energía,13.29
AR-Q,Neuquén,2016,Energía,14.58
AR-Q,Neuquén,2017,Energía,14.68
AR-Q,Neuquén,2018,Energía,16.1
AR-Q,Neuquén,2010,PIUP,0.01
AR-Q,Neuquén,2011,PIUP,0.01
AR-Q,Neuquén,2012,PIUP,0.01
AR-Q,Neuquén,2013,PIUP,0.01
AR-Q,Neuquén,2014,PIUP,0.01
AR-Q,Neuquén,2015,PIUP,0.01
AR-Q,Neuquén,2016,PIUP,0.01
AR-Q,Neuquén,2017,PIUP,0.01
AR-Q,Neuquén,2018,PIUP,0.01
AR-Q,Neuquén,2010,AGSyOUT,0.53
AR-Q,Neuquén,2011,AGSyOUT,0.51
AR-Q,Neuquén,2012,AGSyOUT,0.35
AR-Q,Neuquén,2013,AGSyOUT,0.15
AR-Q,Neuquén,2014,AGSyOUT,-0.94
AR-Q,Neuquén,2015,AGSyOUT,-0.84
AR-Q,Neuquén,2016,AGSyOUT,-0.83
AR-Q,Neuquén,2017,AGSyOUT,-0.85
AR-Q,Neuquén,2018,AGSyOUT,-0.99
AR-Q,Neuquén,2010,Residuos,0.12
AR-Q,Neuquén,2011,Residuos,0.12
AR-Q,Neuquén,2012,Residuos,0.13
AR-Q,Neuquén,2013,Residuos,0.13
AR-Q,Neuquén,2014,Residuos,0.13
AR-Q,Neuquén,2015,Residuos,0.14
AR-Q,Neuquén,2016,Residuos,0.14
AR-Q,Neuquén,2017,Residuos,0.15
AR-Q,Neuquén,2018,Residuos,0.15
AR-R,Río Negro,2010,Energía,3.36
AR-R,Río Negro,2011,Energía,3.49
AR-R,Río Negro,2012,Energía,3.59
AR-R,Río Negro,2013,Energía,3.81
AR-R,Río Negro,2014,Energía,3.99
AR-R,Río Negro,2015,Energía,4.05
AR-R,Río Negro,2016,Energía,4.1
AR-R,Río Negro,2017,Energía,3.92
AR-R,Río Negro,2018,Energía,4.15
AR-R,Río Negro,2010,PIUP,0.06
AR-R,Río Negro,2011,PIUP,0.06
AR-R,Río Negro,2012,PIUP,0.07
AR-R,Río Negro,2013,PIUP,0.07
AR-R,Río Negro,2014,PIUP,0.07
AR-R,Río Negro,2015,PIUP,0.07
AR-R,Río Negro,2016,PIUP,0.07
AR-R,Río Negro,2017,PIUP,0.07
AR-R,Río Negro,2018,PIUP,0.07
AR-R,Río Negro,2010,AGSyOUT,0.89
AR-R,Río Negro,2011,AGSyOUT,0.89
AR-R,Río Negro,2012,AGSyOUT,0.83
AR-R,Río Negro,2013,AGSyOUT,0.77
AR-R,Río Negro,2014,AGSyOUT,0.71
AR-R,Río Negro,2015,AGSyOUT,0.79
AR-R,Río Negro,2016,AGSyOUT,0.8
AR-R,Río Negro,2017,AGSyOUT,0.96
AR-R,Río Negro,2018,AGSyOUT,1.21
AR-R,Río Negro,2010,Residuos,0.14
AR-R,Río Negro,2011,Residuos,0.14
AR-R,Río Negro,2012,Residuos,0.14
AR-R,Río Negro,2013,Residuos,0.15
AR-R,Río Negro,2014,Residuos,0.15
AR-R,Río Negro,2015,Residuos,0.16
AR-R,Río Negro,2016,Residuos,0.16
AR-R,Río Negro,2017,Residuos,0.17
AR-R,Río Negro,2018,Residuos,0.17
AR-A,Salta,2010,Energía,5.18
AR-A,Salta,2011,Energía,5.35
AR-A,Salta,2012,Energía,5.25
AR-A,Salta,2013,Energía,5.15
AR-A,Salta,2014,Energía,5.11
AR-A,Salta,2015,Energía,5.28
AR-A,Salta,2016,Energía,5.35
AR-A,Salta,2017,Energía,5.45
AR-A,Salta,2018,Energía,5.17
AR-A,Salta,2010,PIUP,0.0
AR-A,Salta,2011,PIUP,0.01
AR-A,Salta,2012,PIUP,0.02
AR-A,Salta,2013,PIUP,0.02
AR-A,Salta,2014,PIUP,0.02
AR-A,Salta,2015,PIUP,0.02
AR-A,Salta,2016,PIUP,0.01
AR-A,Salta,2017,PIUP,0.02
AR-A,Salta,2018,PIUP,0.01
