"year","semester","poverty_line","pov_type","poverty_rate"
"2006","II","Pobreza","without_transfers","56.80138"
"2006","II","Pobreza","difference","0.95296"
"2007","I","Pobreza","with_transfers","53.65319"
"2007","I","Pobreza","without_transfers","54.79797"
"2007","I","Pobreza","difference","1.14477"
"2007","II","Pobreza","with_transfers","54.65461"
"2007","II","Pobreza","without_transfers","55.81341"
"2007","II","Pobreza","difference","1.15880"
"2008","I","Pobreza","with_transfers","52.57185"
"2008","I","Pobreza","without_transfers","53.71597"
"2008","I","Pobreza","difference","1.14412"
"2008","II","Pobreza","with_transfers","52.40776"
"2008","II","Pobreza","without_transfers","53.06940"
"2008","II","Pobreza","difference","0.66165"
"2009","I","Pobreza","with_transfers","50.72327"
"2009","I","Pobreza","without_transfers","51.37865"
"2009","I","Pobreza","difference","0.65538"
"2009","II","Pobreza","with_transfers","48.30832"
"2009","II","Pobreza","without_transfers","49.33715"
"2009","II","Pobreza","difference","1.02883"
"2010","I","Pobreza","with_transfers","48.59070"
"2010","I","Pobreza","without_transfers","50.58744"
"2010","I","Pobreza","difference","1.99674"
"2010","II","Pobreza","with_transfers","47.54203"
"2010","II","Pobreza","without_transfers","49.36697"
"2010","II","Pobreza","difference","1.82495"
"2011","I","Pobreza","with_transfers","44.32730"
"2011","I","Pobreza","without_transfers","46.42172"
"2011","I","Pobreza","difference","2.09443"
"2011","II","Pobreza","with_transfers","42.25839"
"2011","II","Pobreza","without_transfers","44.72311"
"2011","II","Pobreza","difference","2.46472"
"2012","I","Pobreza","with_transfers","42.87588"
"2012","I","Pobreza","without_transfers","44.81452"
"2012","I","Pobreza","difference","1.93865"
"2012","II","Pobreza","with_transfers","41.87395"
"2012","II","Pobreza","without_transfers","44.14813"
"2012","II","Pobreza","difference","2.27418"
"2013","I","Pobreza","with_transfers","42.07241"
"2013","I","Pobreza","without_transfers","43.87277"
"2013","I","Pobreza","difference","1.80035"
"2013","II","Pobreza","with_transfers","41.34220"
"2013","II","Pobreza","without_transfers","44.14908"
"2013","II","Pobreza","difference","2.80688"
"2014","I","Pobreza","with_transfers","46.44785"
"2014","I","Pobreza","without_transfers","48.42403"
"2014","I","Pobreza","difference","1.97618"
"2014","II","Pobreza","with_transfers","48.54865"
"2014","II","Pobreza","without_transfers","51.16931"
"2014","II","Pobreza","difference","2.62066"
"2015","I","Pobreza","with_transfers","45.26528"
"2015","I","Pobreza","without_transfers","47.82199"
"2015","I","Pobreza","difference","2.55671"
"2015","II","Pobreza","with_transfers",""
"2015","II","Pobreza","without_transfers",""
"2015","II","Pobreza","difference",""
"2016","I","Pobreza","with_transfers",""
"2016","I","Pobreza","without_transfers",""
"2016","I","Pobreza","difference",""
"2016","II","Pobreza","with_transfers","46.07512"
"2016","II","Pobreza","without_transfers","48.48217"
"2016","II","Pobreza","difference","2.40706"
"2017","I","Pobreza","with_transfers","43.14809"
"2017","I","Pobreza","without_transfers","46.02400"
"2017","I","Pobreza","difference","2.87591"
"2017","II","Pobreza","with_transfers","40.03714"
"2017","II","Pobreza","without_transfers","42.45837"
"2017","II","Pobreza","difference","2.42123"
"2018","I","Pobreza","with_transfers","41.64497"
"2018","I","Pobreza","without_transfers","44.03449"
"2018","I","Pobreza","difference","2.38952"
"2018","II","Pobreza","with_transfers","47.22652"
"2018","II","Pobreza","without_transfers","49.38786"
"2018","II","Pobreza","difference","2.16134"
"2019","I","Pobreza","with_transfers","52.49913"
"2019","I","Pobreza","without_transfers","54.76597"
"2019","I","Pobreza","difference","2.26684"
"2019","II","Pobreza","with_transfers","53.07402"
"2019","II","Pobreza","without_transfers","54.90008"
"2019","II","Pobreza","difference","1.82605"
"2020","I","Pobreza","with_transfers","57.07298"
"2020","I","Pobreza","without_transfers","59.99431"
"2020","I","Pobreza","difference","2.92133"
"2020","II","Pobreza","with_transfers","57.97382"
"2020","II","Pobreza","without_transfers","62.37231"
"2020","II","Pobreza","difference","4.39849"
"2021","I","Pobreza","with_transfers","54.42616"
"2021","I","Pobreza","without_transfers","56.50383"
"2021","I","Pobreza","difference","2.07767"
"2021","II","Pobreza","with_transfers","51.86155"
"2021","II","Pobreza","without_transfers","54.29538"
"2021","II","Pobreza","difference","2.43383"
"2022","I","Pobreza","with_transfers","51.04998"
"2022","I","Pobreza","without_transfers","54.71631"
"2022","I","Pobreza","difference","3.66633"
"2022","II","Pobreza","with_transfers","54.45721"
"2022","II","Pobreza","without_transfers","57.16441"
"2022","II","Pobreza","difference","2.70720"
"2023","I","Pobreza","with_transfers","56.64625"
"2023","I","Pobreza","without_transfers","59.24574"
"2023","I","Pobreza","difference","2.59949"
"2023","II","Pobreza","with_transfers","58.84684"
"2023","II","Pobreza","without_transfers","60.70376"
"2023","II","Pobreza","difference","1.85691"
"2024","I","Pobreza","with_transfers","67.33813"
"2024","I","Pobreza","without_transfers","68.14681"
"2024","I","Pobreza","difference","0.80868"
"2024","II","Pobreza","with_transfers","52.76536"
"2024","II","Pobreza","without_transfers","53.97180"
"2024","II","Pobreza","difference","1.20644"
"2025","I","Pobreza","with_transfers","45.95226"
"2025","I","Pobreza","without_transfers","49.63348"
"2025","I","Pobreza","difference","3.68122"
