"year","period_type","date","poverty_line","fgt_parameter","poverty_rate"
"1995","mes","10","indigencia","2","2.3979034"
"1995","mes","10","pobreza","0","38.499138"
"1995","mes","10","pobreza","1","15.565666"
"1995","mes","10","pobreza","2","8.9799271"
"1996","mes","5","indigencia","0","8.8134909"
"1996","mes","5","indigencia","1","4.1856508"
"1996","mes","5","indigencia","2","3.0090039"
"1996","mes","5","pobreza","0","39.057415"
"1996","mes","5","pobreza","1","16.643904"
"1996","mes","5","pobreza","2","9.9061975"
"1996","mes","10","indigencia","0","8.7953787"
"1996","mes","10","indigencia","1","4.3224573"
"1996","mes","10","indigencia","2","3.1797216"
"1996","mes","10","pobreza","0","40.171379"
"1996","mes","10","pobreza","1","17.242357"
"1996","mes","10","pobreza","2","10.266304"
"1997","mes","5","indigencia","0","7.3088412"
"1997","mes","5","indigencia","1","3.1721888"
"1997","mes","5","indigencia","2","2.1040523"
"1997","mes","5","pobreza","0","39.224934"
"1997","mes","5","pobreza","1","16.283005"
"1997","mes","5","pobreza","2","9.3261023"
"1997","mes","10","indigencia","0","7.679389"
"1997","mes","10","indigencia","1","3.5312216"
"1997","mes","10","indigencia","2","2.4365149"
"1997","mes","10","pobreza","0","36.745785"
"1997","mes","10","pobreza","1","15.927532"
"1997","mes","10","pobreza","2","9.3477173"
"1998","mes","5","indigencia","0","7.1186066"
"1998","mes","5","indigencia","1","2.8347573"
"1998","mes","5","indigencia","2","1.8196836"
"1998","mes","5","pobreza","0","37.123928"
"1998","mes","5","pobreza","1","15.077133"
"1998","mes","5","pobreza","2","8.4589891"
"1998","mes","10","indigencia","0","8.1992207"
"1998","mes","10","indigencia","1","3.6716528"
"1998","mes","10","indigencia","2","2.4087329"
"1998","mes","10","pobreza","0","39.290745"
"1998","mes","10","pobreza","1","16.681299"
"1998","mes","10","pobreza","2","9.8237066"
"1999","mes","5","indigencia","0","8.8659897"
"1999","mes","5","indigencia","1","3.8328564"
"1999","mes","5","indigencia","2","2.5164909"
"1999","mes","5","pobreza","0","39.176537"
"1999","mes","5","pobreza","1","16.81357"
"1999","mes","5","pobreza","2","9.947113"
"1999","mes","10","indigencia","0","8.1757078"
"1999","mes","10","indigencia","1","3.5115335"
"1999","mes","10","indigencia","2","2.3638666"
"1999","mes","10","pobreza","0","38.827068"
"1999","mes","10","pobreza","1","16.517357"
"1999","mes","10","pobreza","2","9.6174078"
"2000","mes","5","indigencia","0","8.6385002"
"2000","mes","5","indigencia","1","3.5756142"
"2000","mes","5","indigencia","2","2.3181217"
"2000","mes","5","pobreza","0","40.343357"
"2000","mes","5","pobreza","1","17.969137"
"2000","mes","5","pobreza","2","10.622012"
"2000","mes","10","indigencia","0","9.8591852"
"2000","mes","10","indigencia","1","4.1291904"
"2000","mes","10","indigencia","2","2.7090156"
"2000","mes","10","pobreza","0","40.4925"
"2000","mes","10","pobreza","1","18.304621"
"2000","mes","10","pobreza","2","11.028348"
"2001","mes","5","indigencia","0","11.852569"
"2001","mes","5","indigencia","1","5.3882465"
"2001","mes","5","indigencia","2","3.6272762"
"2001","mes","5","pobreza","0","45.297035"
"2001","mes","5","pobreza","1","20.863449"
"2001","mes","5","pobreza","2","12.911099"
"2001","mes","10","indigencia","0","13.602131"
"2001","mes","10","indigencia","1","6.3913813"
"2001","mes","10","indigencia","2","4.4055195"
"2001","mes","10","pobreza","0","45.646358"
"2001","mes","10","pobreza","1","22.287489"
"2001","mes","10","pobreza","2","14.291492"
"2002","mes","5","indigencia","0","24.428806"
"2002","mes","5","indigencia","1","12.523354"
"2002","mes","5","indigencia","2","8.620266"
"2002","mes","5","pobreza","0","60.122658"
"2002","mes","5","pobreza","1","33.359985"
"2002","mes","5","pobreza","2","23.114681"
"2002","mes","10","indigencia","0","27.193464"
"2002","mes","10","indigencia","1","12.138323"
"2002","mes","10","indigencia","2","7.1612649"
"2002","mes","10","pobreza","0","65.505417"
"2002","mes","10","pobreza","1","34.97559"
"2002","mes","10","pobreza","2","23.163353"
"2003","mes","5","indigencia","0","26.481657"
"2003","mes","5","indigencia","1","10.649581"
"2003","mes","5","indigencia","2","5.7547622"
"2003","mes","5","pobreza","0","62.003372"
"2003","mes","5","pobreza","1","32.921497"
"2003","mes","5","pobreza","2","21.483004"
"2003","semestre","2","indigencia","0","20.067532"
"2003","semestre","2","indigencia","1","8.9367924"
"2003","semestre","2","indigencia","2","5.6525855"
"2003","semestre","2","pobreza","0","57.726196"
"2003","semestre","2","pobreza","1","29.008907"
"2003","semestre","2","pobreza","2","18.51038"
"2004","semestre","1","indigencia","0","19.237019"
"2004","semestre","1","indigencia","1","8.9764624"
"2004","semestre","1","indigencia","2","6.1370273"
"2004","semestre","1","pobreza","0","55.327251"
"2004","semestre","1","pobreza","1","27.775734"
"2004","semestre","1","pobreza","2","17.901831"
"2004","semestre","2","indigencia","0","15.374373"
"2004","semestre","2","indigencia","1","6.4186826"
"2004","semestre","2","indigencia","2","3.9840355"
"2004","semestre","2","pobreza","0","49.967339"
"2004","semestre","2","pobreza","1","23.590458"
"2004","semestre","2","pobreza","2","14.546809"
"2005","semestre","1","indigencia","0","13.301789"
"2005","semestre","1","indigencia","1","5.6164584"
"2005","semestre","1","indigencia","2","3.4287145"
"2005","semestre","1","pobreza","0","48.725807"
"2005","semestre","1","pobreza","1","22.343296"
"2005","semestre","1","pobreza","2","13.368627"
"2005","semestre","2","indigencia","0","12.097881"
"2005","semestre","2","indigencia","1","4.8694577"
"2005","semestre","2","indigencia","2","2.8702536"
"2005","semestre","2","pobreza","0","44.539822"
"2005","semestre","2","pobreza","1","19.65872"
"2005","semestre","2","pobreza","2","11.614998"
"2006","semestre","1","indigencia","0","11.160986"
"2006","semestre","1","indigencia","1","4.5988216"
"2006","semestre","1","indigencia","2","2.8465064"
"2006","semestre","1","pobreza","0","41.549145"
"2006","semestre","1","pobreza","1","18.087994"
"2006","semestre","1","pobreza","2","10.735164"
"2006","semestre","2","indigencia","0","9.2223854"
"2006","semestre","2","indigencia","1","3.945452"
"2006","semestre","2","indigencia","2","2.4763248"
"2006","semestre","2","pobreza","0","37.958416"
"2006","semestre","2","pobreza","1","15.845822"
"2006","semestre","2","pobreza","2","9.2197542"
"2007","semestre","1","indigencia","0","9.357338"
"2007","semestre","1","indigencia","1","3.7128108"
"2007","semestre","1","indigencia","2","2.2362421"
"2007","semestre","1","pobreza","0","35.641102"
"2007","semestre","1","pobreza","1","14.689174"
"2007","semestre","1","pobreza","2","8.417038"
"2007","semestre","2","indigencia","0","9.4419727"
"2007","semestre","2","indigencia","1","3.9909153"
"2007","semestre","2","indigencia","2","2.5138183"
"2007","semestre","2","pobreza","0","36.724384"
"2007","semestre","2","pobreza","1","15.157128"
"2007","semestre","2","pobreza","2","8.6995811"
"2008","semestre","1","indigencia","0","9.7661381"
"2008","semestre","1","indigencia","1","3.932272"
"2008","semestre","1","indigencia","2","2.3897538"
"2008","semestre","1","pobreza","0","34.604763"
"2008","semestre","1","pobreza","1","14.349447"
"2008","semestre","1","pobreza","2","8.2485008"
"2008","semestre","2","indigencia","0","8.2123756"
"2008","semestre","2","indigencia","1","3.072083"
"2008","semestre","2","indigencia","2","1.8334354"
"2008","semestre","2","pobreza","0","34.219616"
"2008","semestre","2","pobreza","1","13.771805"
"2008","semestre","2","pobreza","2","7.7085724"
"2009","semestre","1","indigencia","0","7.253324"
"2009","semestre","1","indigencia","1","2.9817355"
"2009","semestre","1","indigencia","2","1.9296743"
"2009","semestre","1","pobreza","0","33.043884"
"2009","semestre","1","pobreza","1","13.039186"
"2009","semestre","1","pobreza","2","7.332314"
"2009","semestre","2","indigencia","0","7.4468637"
"2009","semestre","2","indigencia","1","2.8717313"
"2009","semestre","2","indigencia","2","1.7971473"
"2009","semestre","2","pobreza","0","30.443691"
"2009","semestre","2","pobreza","1","12.461015"
"2009","semestre","2","pobreza","2","7.0896788"
"2010","semestre","1","indigencia","0","7.8565083"
"2010","semestre","1","indigencia","1","2.8915727"
"2010","semestre","1","indigencia","2","1.7161206"
"2010","semestre","1","pobreza","0","30.027185"
"2010","semestre","1","pobreza","1","11.752563"
"2010","semestre","1","pobreza","2","6.4534764"
"2010","semestre","2","indigencia","0","7.1822891"
"2010","semestre","2","indigencia","1","2.5985718"
"2010","semestre","2","indigencia","2","1.4781153"
"2010","semestre","2","pobreza","0","29.363897"
"2010","semestre","2","pobreza","1","11.137848"
"2010","semestre","2","pobreza","2","5.9658432"
"2011","semestre","1","indigencia","0","6.7835751"
"2011","semestre","1","indigencia","1","2.648375"
"2011","semestre","1","indigencia","2","1.6420255"
"2011","semestre","1","pobreza","0","27.270014"
"2011","semestre","1","pobreza","1","10.301835"
"2011","semestre","1","pobreza","2","5.5669775"
"2011","semestre","2","indigencia","0","5.4345036"
"2011","semestre","2","indigencia","1","1.9900398"
"2011","semestre","2","indigencia","2","1.2083482"
"2011","semestre","2","pobreza","0","26.033073"
"2011","semestre","2","pobreza","1","9.0878181"
"2011","semestre","2","pobreza","2","4.6296978"
"2012","semestre","1","indigencia","0","6.512948"
"2012","semestre","1","indigencia","1","2.5765905"
"2012","semestre","1","indigencia","2","1.6014867"
"2012","semestre","1","pobreza","0","27.239986"
"2012","semestre","1","pobreza","1","10.478752"
"2012","semestre","1","pobreza","2","5.6891727"
"2012","semestre","2","indigencia","0","6.1334515"
"2012","semestre","2","indigencia","1","2.2782688"
"2012","semestre","2","indigencia","2","1.3463309"
"2012","semestre","2","pobreza","0","26.438332"
"2012","semestre","2","pobreza","1","9.4354239"
"2012","semestre","2","pobreza","2","4.9999647"
"2013","semestre","1","indigencia","0","5.3747191"
"2013","semestre","1","indigencia","1","2.0155773"
"2013","semestre","1","indigencia","2","1.2232046"
"2013","semestre","1","pobreza","0","26.369257"
"2013","semestre","1","pobreza","1","9.5159588"
"2013","semestre","1","pobreza","2","4.9464808"
"2013","semestre","2","indigencia","0","6.2279954"
"2013","semestre","2","indigencia","1","2.5177009"
"2013","semestre","2","indigencia","2","1.5733171"
"2013","semestre","2","pobreza","0","26.116014"
"2013","semestre","2","pobreza","1","9.7549639"
"2013","semestre","2","pobreza","2","5.2930951"
"2014","semestre","1","indigencia","0","7.3534813"
"2014","semestre","1","indigencia","1","2.8741093"
"2014","semestre","1","indigencia","2","1.8459936"
"2014","semestre","1","pobreza","0","30.254387"
"2014","semestre","1","pobreza","1","11.004099"
"2014","semestre","1","pobreza","2","5.8927336"
"2014","semestre","2","indigencia","0","6.9242344"
"2014","semestre","2","indigencia","1","2.6683576"
"2014","semestre","2","indigencia","2","1.5984516"
"2014","semestre","2","pobreza","0","31.999098"
"2014","semestre","2","pobreza","1","11.471122"
"2014","semestre","2","pobreza","2","6.0115814"
"2015","semestre","1","indigencia","0","6.121644"
"2015","semestre","1","indigencia","1","2.316747"
"2015","semestre","1","indigencia","2","1.4095737"
"2015","semestre","1","pobreza","0","29.799385"
"2015","semestre","1","pobreza","1","10.661623"
"2015","semestre","1","pobreza","2","5.5573058"
"2015","semestre","2","indigencia","0",""
"2015","semestre","2","indigencia","1",""
"2015","semestre","2","indigencia","2",""
"2015","semestre","2","pobreza","0",""
"2015","semestre","2","pobreza","1",""
"2015","semestre","2","pobreza","2",""
"2016","semestre","1","indigencia","0",""
"2016","semestre","1","indigencia","1",""
"2016","semestre","1","indigencia","2",""
"2016","semestre","1","pobreza","0",""
"2016","semestre","1","pobreza","1",""
"2016","semestre","1","pobreza","2",""
"2016","semestre","2","indigencia","0","6.2780967"
"2016","semestre","2","indigencia","1","2.5462511"
"2016","semestre","2","indigencia","2","1.5607924"
"2016","semestre","2","pobreza","0","29.373184"
"2016","semestre","2","pobreza","1","11.051379"
"2016","semestre","2","pobreza","2","5.9957314"
"2017","semestre","1","indigencia","0","6.5792546"
"2017","semestre","1","indigencia","1","2.9792953"
"2017","semestre","1","indigencia","2","1.9264877"
"2017","semestre","1","pobreza","0","28.227274"
"2017","semestre","1","pobreza","1","10.989897"
"2017","semestre","1","pobreza","2","6.2380161"
"2017","semestre","2","indigencia","0","5.0750914"
"2017","semestre","2","indigencia","1","2.0173011"
"2017","semestre","2","indigencia","2","1.2998909"
"2017","semestre","2","pobreza","0","24.927855"
"2017","semestre","2","pobreza","1","9.0775928"
"2017","semestre","2","pobreza","2","4.8801455"
"2018","semestre","1","indigencia","0","5.1244531"
"2018","semestre","1","indigencia","1","1.9920776"
"2018","semestre","1","indigencia","2","1.245326"
"2018","semestre","1","pobreza","0","27.196613"
"2018","semestre","1","pobreza","1","10.04311"
"2018","semestre","1","pobreza","2","5.3608851"
"2018","semestre","2","indigencia","0","7.0185332"
"2018","semestre","2","indigencia","1","2.8494008"
"2018","semestre","2","indigencia","2","1.788721"
"2018","semestre","2","pobreza","0","30.868652"
"2018","semestre","2","pobreza","1","12.497044"
"2018","semestre","2","pobreza","2","6.982698"
"2019","semestre","1","indigencia","0","7.8664103"
"2019","semestre","1","indigencia","1","3.0832419"
"2019","semestre","1","indigencia","2","1.882091"
"2019","semestre","1","pobreza","0","34.619823"
"2019","semestre","1","pobreza","1","13.943897"
"2019","semestre","1","pobreza","2","7.7543855"
"2019","semestre","2","indigencia","0","8.9649229"
"2019","semestre","2","indigencia","1","3.5178289"
"2019","semestre","2","indigencia","2","2.0722001"
"2019","semestre","2","pobreza","0","35.490765"
"2019","semestre","2","pobreza","1","14.510777"
"2019","semestre","2","pobreza","2","8.250102"
"2020","semestre","1","indigencia","0","11.186764"
"2020","semestre","1","indigencia","1","4.7736082"
"2020","semestre","1","indigencia","2","3.0564854"
"2020","semestre","1","pobreza","0","41.287086"
"2020","semestre","1","pobreza","1","17.354191"
"2020","semestre","1","pobreza","2","10.106742"
"2020","semestre","2","indigencia","0","12.773588"
"2020","semestre","2","indigencia","1","5.1358027"
"2020","semestre","2","indigencia","2","3.1085882"
"2020","semestre","2","pobreza","0","43.705376"
"2020","semestre","2","pobreza","1","19.447216"
"2020","semestre","2","pobreza","2","11.393131"
"2021","semestre","1","indigencia","0","11.034221"
"2021","semestre","1","indigencia","1","4.2851038"
"2021","semestre","1","indigencia","2","2.5964797"
"2021","semestre","1","pobreza","0","38.939648"
"2021","semestre","1","pobreza","1","15.971072"
"2021","semestre","1","pobreza","2","9.1292439"
"2021","semestre","2","indigencia","0","8.9424543"
"2021","semestre","2","indigencia","1","3.1363895"
"2021","semestre","2","indigencia","2","1.862649"
"2021","semestre","2","pobreza","0","37.019032"
"2021","semestre","2","pobreza","1","13.77442"
"2021","semestre","2","pobreza","2","7.444037"
"2022","semestre","1","indigencia","0","9.2383528"
"2022","semestre","1","indigencia","1","3.6384711"
"2022","semestre","1","indigencia","2","2.1708984"
"2022","semestre","1","pobreza","0","36.144371"
"2022","semestre","1","pobreza","1","13.858233"
"2022","semestre","1","pobreza","2","7.6224332"
"2022","semestre","2","indigencia","0","8.3205624"
"2022","semestre","2","indigencia","1","3.0252628"
"2022","semestre","2","indigencia","2","1.7529418"
"2022","semestre","2","pobreza","0","39.475407"
"2022","semestre","2","pobreza","1","14.709002"
"2022","semestre","2","pobreza","2","7.6573315"
"2023","semestre","1","indigencia","0","10.022215"
"2023","semestre","1","indigencia","1","3.5787625"
"2023","semestre","1","indigencia","2","2.0173936"
"2023","semestre","1","pobreza","0","40.531635"
"2023","semestre","1","pobreza","1","15.710825"
"2023","semestre","1","pobreza","2","8.3370552"
