"geocodigoFundar","geonombreFundar","year","poverty_line","poverty_rate"
"ARG","Argentina","2019","3.00000","0.01685"
"ARG","Argentina","2020","3.00000","0.02197"
"ARG","Argentina","2021","3.00000","0.01363"
"ARG","Argentina","2022","3.00000","0.01294"
"ARG","Argentina","2023","3.00000","0.01157"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1981","3.00000","0.89201"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1982","3.00000","0.88219"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1983","3.00000","0.86868"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1984","3.00000","0.84542"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1985","3.00000","0.82238"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1986","3.00000","0.80223"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1987","3.00000","0.77286"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1988","3.00000","0.72892"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1989","3.00000","0.78113"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1990","3.00000","0.76887"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1991","3.00000","0.75615"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1992","3.00000","0.73611"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1993","3.00000","0.71569"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1994","3.00000","0.67075"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1995","3.00000","0.62748"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1996","3.00000","0.58643"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1997","3.00000","0.57853"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1998","3.00000","0.58189"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","1999","3.00000","0.55446"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2000","3.00000","0.52777"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2001","3.00000","0.49862"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2002","3.00000","0.45288"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2003","3.00000","0.41254"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2004","3.00000","0.37355"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2005","3.00000","0.32708"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2006","3.00000","0.31394"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2007","3.00000","0.28350"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2008","3.00000","0.26453"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2009","3.00000","0.24139"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2010","3.00000","0.21186"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2011","3.00000","0.17388"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2012","3.00000","0.15006"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2013","3.00000","0.10063"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2014","3.00000","0.08670"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2015","3.00000","0.06745"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2016","3.00000","0.05540"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2017","3.00000","0.04550"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2018","3.00000","0.03533"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2019","3.00000","0.02697"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2020","3.00000","0.02860"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2021","3.00000","0.02750"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2022","3.00000","0.02529"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2023","3.00000","0.02267"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2024","3.00000","0.02028"
"EAP","Este de Asia y Pacífico (excluyendo Países de Altos Ingresos)","2025","3.00000","0.01888"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1981","3.00000","0.07117"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1982","3.00000","0.07090"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1983","3.00000","0.06906"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1984","3.00000","0.06944"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1985","3.00000","0.06921"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1986","3.00000","0.06916"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1987","3.00000","0.06853"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1988","3.00000","0.06670"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1989","3.00000","0.06816"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1990","3.00000","0.07069"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1991","3.00000","0.07938"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1992","3.00000","0.09566"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1993","3.00000","0.10558"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1994","3.00000","0.13297"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1995","3.00000","0.12830"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1996","3.00000","0.13178"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1997","3.00000","0.12016"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1998","3.00000","0.12359"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","1999","3.00000","0.15577"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2000","3.00000","0.13609"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2001","3.00000","0.12338"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2002","3.00000","0.10964"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2003","3.00000","0.10639"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2004","3.00000","0.09133"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2005","3.00000","0.09024"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2006","3.00000","0.07936"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2007","3.00000","0.07274"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2008","3.00000","0.06692"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2009","3.00000","0.06631"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2010","3.00000","0.06647"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2011","3.00000","0.06352"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2012","3.00000","0.06347"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2013","3.00000","0.01597"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2014","3.00000","0.01831"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2015","3.00000","0.01723"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2016","3.00000","0.01357"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2017","3.00000","0.01430"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2018","3.00000","0.01102"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2019","3.00000","0.01055"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2020","3.00000","0.01142"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2021","3.00000","0.01085"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2022","3.00000","0.01064"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2023","3.00000","0.00964"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2024","3.00000","0.00913"
"ECA","Europa y Asia Central (excluyendo Países de Altos Ingresos)","2025","3.00000","0.00868"
"LAC","América Latina y el Caribe","1981","3.00000","0.20679"
"LAC","América Latina y el Caribe","1982","3.00000","0.21400"
"LAC","América Latina y el Caribe","1983","3.00000","0.24679"
"LAC","América Latina y el Caribe","1984","3.00000","0.24295"
"LAC","América Latina y el Caribe","1985","3.00000","0.22615"
"LAC","América Latina y el Caribe","1986","3.00000","0.17174"
"LAC","América Latina y el Caribe","1987","3.00000","0.20146"
"LAC","América Latina y el Caribe","1988","3.00000","0.20677"
"LAC","América Latina y el Caribe","1989","3.00000","0.19918"
"LAC","América Latina y el Caribe","1990","3.00000","0.21443"
"LAC","América Latina y el Caribe","1991","3.00000","0.20759"
"LAC","América Latina y el Caribe","1992","3.00000","0.20875"
"LAC","América Latina y el Caribe","1993","3.00000","0.20816"
"LAC","América Latina y el Caribe","1994","3.00000","0.20108"
"LAC","América Latina y el Caribe","1995","3.00000","0.19107"
"LAC","América Latina y el Caribe","1996","3.00000","0.20509"
"LAC","América Latina y el Caribe","1997","3.00000","0.20044"
"LAC","América Latina y el Caribe","1998","3.00000","0.19776"
"LAC","América Latina y el Caribe","1999","3.00000","0.20064"
"LAC","América Latina y el Caribe","2000","3.00000","0.18634"
"LAC","América Latina y el Caribe","2001","3.00000","0.18393"
"LAC","América Latina y el Caribe","2002","3.00000","0.17527"
"LAC","América Latina y el Caribe","2003","3.00000","0.17047"
"LAC","América Latina y el Caribe","2004","3.00000","0.15716"
"LAC","América Latina y el Caribe","2005","3.00000","0.14640"
"LAC","América Latina y el Caribe","2006","3.00000","0.12333"
"LAC","América Latina y el Caribe","2007","3.00000","0.11106"
"LAC","América Latina y el Caribe","2008","3.00000","0.10205"
"LAC","América Latina y el Caribe","2009","3.00000","0.09768"
"LAC","América Latina y el Caribe","2010","3.00000","0.08692"
"LAC","América Latina y el Caribe","2011","3.00000","0.07925"
"LAC","América Latina y el Caribe","2012","3.00000","0.07561"
"LAC","América Latina y el Caribe","2013","3.00000","0.06857"
"LAC","América Latina y el Caribe","2014","3.00000","0.06481"
"LAC","América Latina y el Caribe","2015","3.00000","0.06112"
"LAC","América Latina y el Caribe","2016","3.00000","0.06284"
"LAC","América Latina y el Caribe","2017","3.00000","0.06200"
"LAC","América Latina y el Caribe","2018","3.00000","0.06107"
"LAC","América Latina y el Caribe","2019","3.00000","0.06197"
"LAC","América Latina y el Caribe","2020","3.00000","0.05817"
"LAC","América Latina y el Caribe","2021","3.00000","0.06454"
"LAC","América Latina y el Caribe","2022","3.00000","0.05182"
"LAC","América Latina y el Caribe","2023","3.00000","0.04694"
"LAC","América Latina y el Caribe","2024","3.00000","0.04607"
"LAC","América Latina y el Caribe","2025","3.00000","0.04568"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1981","3.00000","0.15360"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1982","3.00000","0.14837"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1983","3.00000","0.14107"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1984","3.00000","0.13421"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1985","3.00000","0.13127"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1986","3.00000","0.13378"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1987","3.00000","0.14062"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1988","3.00000","0.13638"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1989","3.00000","0.13586"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1990","3.00000","0.12405"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1991","3.00000","0.12619"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1992","3.00000","0.11480"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1993","3.00000","0.11014"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1994","3.00000","0.10571"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1995","3.00000","0.10603"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1996","3.00000","0.09513"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1997","3.00000","0.09079"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1998","3.00000","0.08369"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","1999","3.00000","0.07940"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2000","3.00000","0.07332"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2001","3.00000","0.07174"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2002","3.00000","0.06636"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2003","3.00000","0.06176"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2004","3.00000","0.05715"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2005","3.00000","0.05498"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2006","3.00000","0.05236"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2007","3.00000","0.05082"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2008","3.00000","0.04965"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2009","3.00000","0.04611"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2010","3.00000","0.03988"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2011","3.00000","0.04064"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2012","3.00000","0.04077"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2013","3.00000","0.04569"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2014","3.00000","0.05231"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2015","3.00000","0.06476"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2016","3.00000","0.07532"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2017","3.00000","0.07492"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2018","3.00000","0.07460"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2019","3.00000","0.07508"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2020","3.00000","0.08622"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2021","3.00000","0.08640"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2022","3.00000","0.08491"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2023","3.00000","0.08718"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2024","3.00000","0.09030"
"MNA","Oriente Medio y África del Norte (excluidos Países de Altos Ingresos)","2025","3.00000","0.09431"
"OHI","Países de altos ingresos","1981","3.00000","0.00962"
"OHI","Países de altos ingresos","1982","3.00000","0.00963"
"OHI","Países de altos ingresos","1983","3.00000","0.00888"
"OHI","Países de altos ingresos","1984","3.00000","0.00890"
"OHI","Países de altos ingresos","1985","3.00000","0.00855"
"OHI","Países de altos ingresos","1986","3.00000","0.00829"
"OHI","Países de altos ingresos","1987","3.00000","0.00754"
"OHI","Países de altos ingresos","1988","3.00000","0.00675"
"OHI","Países de altos ingresos","1989","3.00000","0.00630"
"OHI","Países de altos ingresos","1990","3.00000","0.00627"
"OHI","Países de altos ingresos","1991","3.00000","0.00640"
"OHI","Países de altos ingresos","1992","3.00000","0.00704"
"OHI","Países de altos ingresos","1993","3.00000","0.00828"
"OHI","Países de altos ingresos","1994","3.00000","0.00791"
"OHI","Países de altos ingresos","1995","3.00000","0.00774"
"OHI","Países de altos ingresos","1996","3.00000","0.00700"
"OHI","Países de altos ingresos","1997","3.00000","0.00687"
"OHI","Países de altos ingresos","1998","3.00000","0.00679"
"OHI","Países de altos ingresos","1999","3.00000","0.00644"
"OHI","Países de altos ingresos","2000","3.00000","0.00611"
"OHI","Países de altos ingresos","2001","3.00000","0.00703"
"OHI","Países de altos ingresos","2002","3.00000","0.00721"
"OHI","Países de altos ingresos","2003","3.00000","0.00707"
"OHI","Países de altos ingresos","2004","3.00000","0.00642"
"OHI","Países de altos ingresos","2005","3.00000","0.00633"
"OHI","Países de altos ingresos","2006","3.00000","0.00615"
"OHI","Países de altos ingresos","2007","3.00000","0.00605"
"OHI","Países de altos ingresos","2008","3.00000","0.00612"
"OHI","Países de altos ingresos","2009","3.00000","0.00633"
"OHI","Países de altos ingresos","2010","3.00000","0.00700"
"OHI","Países de altos ingresos","2011","3.00000","0.00617"
"OHI","Países de altos ingresos","2012","3.00000","0.00773"
"OHI","Países de altos ingresos","2013","3.00000","0.00713"
"OHI","Países de altos ingresos","2014","3.00000","0.00718"
"OHI","Países de altos ingresos","2015","3.00000","0.00732"
"OHI","Países de altos ingresos","2016","3.00000","0.00748"
"OHI","Países de altos ingresos","2017","3.00000","0.00714"
"OHI","Países de altos ingresos","2018","3.00000","0.00677"
"OHI","Países de altos ingresos","2019","3.00000","0.00688"
"OHI","Países de altos ingresos","2020","3.00000","0.00525"
"OHI","Países de altos ingresos","2021","3.00000","0.00495"
"OHI","Países de altos ingresos","2022","3.00000","0.00700"
"OHI","Países de altos ingresos","2023","3.00000","0.00687"
"OHI","Países de altos ingresos","2024","3.00000","0.00686"
"OHI","Países de altos ingresos","2025","3.00000","0.00686"
"SAS","Asia del Sur (BM)","1981","3.00000","0.58655"
"SAS","Asia del Sur (BM)","1982","3.00000","0.57127"
"SAS","Asia del Sur (BM)","1983","3.00000","0.54054"
"SAS","Asia del Sur (BM)","1984","3.00000","0.53886"
"SAS","Asia del Sur (BM)","1985","3.00000","0.53698"
"SAS","Asia del Sur (BM)","1986","3.00000","0.53777"
"SAS","Asia del Sur (BM)","1987","3.00000","0.54202"
"SAS","Asia del Sur (BM)","1988","3.00000","0.54063"
"SAS","Asia del Sur (BM)","1989","3.00000","0.53402"
"SAS","Asia del Sur (BM)","1990","3.00000","0.52756"
"SAS","Asia del Sur (BM)","1991","3.00000","0.51920"
"SAS","Asia del Sur (BM)","1992","3.00000","0.50235"
"SAS","Asia del Sur (BM)","1993","3.00000","0.49643"
"SAS","Asia del Sur (BM)","1994","3.00000","0.48172"
"SAS","Asia del Sur (BM)","1995","3.00000","0.47725"
"SAS","Asia del Sur (BM)","1996","3.00000","0.46865"
"SAS","Asia del Sur (BM)","1997","3.00000","0.46746"
"SAS","Asia del Sur (BM)","1998","3.00000","0.46929"
"SAS","Asia del Sur (BM)","1999","3.00000","0.46796"
"SAS","Asia del Sur (BM)","2000","3.00000","0.46873"
"SAS","Asia del Sur (BM)","2001","3.00000","0.47079"
"SAS","Asia del Sur (BM)","2002","3.00000","0.47039"
"SAS","Asia del Sur (BM)","2003","3.00000","0.46088"
"SAS","Asia del Sur (BM)","2004","3.00000","0.44816"
"SAS","Asia del Sur (BM)","2005","3.00000","0.43041"
"SAS","Asia del Sur (BM)","2006","3.00000","0.40339"
"SAS","Asia del Sur (BM)","2007","3.00000","0.37796"
"SAS","Asia del Sur (BM)","2008","3.00000","0.35960"
"SAS","Asia del Sur (BM)","2009","3.00000","0.34354"
"SAS","Asia del Sur (BM)","2010","3.00000","0.30126"
"SAS","Asia del Sur (BM)","2011","3.00000","0.27446"
"SAS","Asia del Sur (BM)","2012","3.00000","0.25188"
"SAS","Asia del Sur (BM)","2013","3.00000","0.22690"
"SAS","Asia del Sur (BM)","2014","3.00000","0.20027"
"SAS","Asia del Sur (BM)","2015","3.00000","0.17142"
"SAS","Asia del Sur (BM)","2016","3.00000","0.14460"
"SAS","Asia del Sur (BM)","2017","3.00000","0.12279"
"SAS","Asia del Sur (BM)","2018","3.00000","0.10628"
"SAS","Asia del Sur (BM)","2019","3.00000","0.09687"
