"year","semester","poverty_line","pov_type","poverty_rate"
"2013","I","Indigencia","with_transfers","5.70421"
"2013","I","Indigencia","without_transfers","7.58813"
"2013","I","Indigencia","difference","1.88392"
"2013","II","Indigencia","with_transfers","6.23452"
"2013","II","Indigencia","without_transfers","8.36280"
"2013","II","Indigencia","difference","2.12828"
"2014","I","Indigencia","with_transfers","7.61128"
"2014","I","Indigencia","without_transfers","10.03506"
"2014","I","Indigencia","difference","2.42378"
"2014","II","Indigencia","with_transfers","7.16388"
"2014","II","Indigencia","without_transfers","9.82692"
"2014","II","Indigencia","difference","2.66304"
"2015","I","Indigencia","with_transfers","5.99200"
"2015","I","Indigencia","without_transfers","8.18244"
"2015","I","Indigencia","difference","2.19044"
"2015","II","Indigencia","with_transfers",""
"2015","II","Indigencia","without_transfers",""
"2015","II","Indigencia","difference",""
"2016","I","Indigencia","with_transfers",""
"2016","I","Indigencia","without_transfers",""
"2016","I","Indigencia","difference",""
"2016","II","Indigencia","with_transfers","6.14861"
"2016","II","Indigencia","without_transfers","8.21813"
"2016","II","Indigencia","difference","2.06953"
"2017","I","Indigencia","with_transfers","6.15111"
"2017","I","Indigencia","without_transfers","8.30880"
"2017","I","Indigencia","difference","2.15770"
"2017","II","Indigencia","with_transfers","4.76038"
"2017","II","Indigencia","without_transfers","6.56192"
"2017","II","Indigencia","difference","1.80154"
"2018","I","Indigencia","with_transfers","4.88145"
"2018","I","Indigencia","without_transfers","6.72544"
"2018","I","Indigencia","difference","1.84399"
"2018","II","Indigencia","with_transfers","6.68430"
"2018","II","Indigencia","without_transfers","9.14430"
"2018","II","Indigencia","difference","2.46000"
"2019","I","Indigencia","with_transfers","7.61163"
"2019","I","Indigencia","without_transfers","10.44032"
"2019","I","Indigencia","difference","2.82869"
"2019","II","Indigencia","with_transfers","8.14301"
"2019","II","Indigencia","without_transfers","11.21717"
"2019","II","Indigencia","difference","3.07416"
"2020","I","Indigencia","with_transfers","10.50657"
"2020","I","Indigencia","without_transfers","16.08203"
"2020","I","Indigencia","difference","5.57546"
"2020","II","Indigencia","with_transfers","10.59822"
"2020","II","Indigencia","without_transfers","18.05458"
"2020","II","Indigencia","difference","7.45636"
"2021","I","Indigencia","with_transfers","10.73226"
"2021","I","Indigencia","without_transfers","13.93411"
"2021","I","Indigencia","difference","3.20185"
"2021","II","Indigencia","with_transfers","8.44800"
"2021","II","Indigencia","without_transfers","11.97513"
"2021","II","Indigencia","difference","3.52713"
"2022","I","Indigencia","with_transfers","8.50917"
"2022","I","Indigencia","without_transfers","12.77715"
"2022","I","Indigencia","difference","4.26797"
"2022","II","Indigencia","with_transfers","7.91712"
"2022","II","Indigencia","without_transfers","12.76628"
"2022","II","Indigencia","difference","4.84916"
"2023","I","Indigencia","with_transfers","9.37642"
"2023","I","Indigencia","without_transfers","13.84425"
"2023","I","Indigencia","difference","4.46783"
"2023","II","Indigencia","with_transfers","12.28849"
"2023","II","Indigencia","without_transfers","15.99733"
"2023","II","Indigencia","difference","3.70885"
"2024","I","Indigencia","with_transfers","17.96413"
"2024","I","Indigencia","without_transfers","22.28590"
"2024","I","Indigencia","difference","4.32177"
"2024","II","Indigencia","with_transfers","8.25785"
"2024","II","Indigencia","without_transfers","10.51627"
"2024","II","Indigencia","difference","2.25842"
"2025","I","Indigencia","with_transfers","6.91660"
"2025","I","Indigencia","without_transfers","10.77267"
"2025","I","Indigencia","difference","3.85607"
"2003","II","Pobreza","with_transfers","59.92789"
"2003","II","Pobreza","without_transfers","60.45523"
"2003","II","Pobreza","difference","0.52734"
"2004","I","Pobreza","with_transfers","57.53551"
"2004","I","Pobreza","without_transfers","57.85147"
"2004","I","Pobreza","difference","0.31596"
"2004","II","Pobreza","with_transfers","52.85196"
"2004","II","Pobreza","without_transfers","53.31556"
"2004","II","Pobreza","difference","0.46360"
"2005","I","Pobreza","with_transfers","51.08396"
"2005","I","Pobreza","without_transfers","51.58553"
"2005","I","Pobreza","difference","0.50157"
"2005","II","Pobreza","with_transfers","46.76885"
"2005","II","Pobreza","without_transfers","47.24588"
"2005","II","Pobreza","difference","0.47702"
"2006","I","Pobreza","with_transfers","43.81374"
"2006","I","Pobreza","without_transfers","44.32202"
"2006","I","Pobreza","difference","0.50828"
"2006","II","Pobreza","with_transfers","39.54996"
"2006","II","Pobreza","without_transfers","40.27695"
"2006","II","Pobreza","difference","0.72699"
"2007","I","Pobreza","with_transfers","37.08015"
"2007","I","Pobreza","without_transfers","37.86473"
"2007","I","Pobreza","difference","0.78458"
"2007","II","Pobreza","with_transfers","37.56681"
"2007","II","Pobreza","without_transfers","38.35478"
"2007","II","Pobreza","difference","0.78797"
"2008","I","Pobreza","with_transfers","35.95625"
"2008","I","Pobreza","without_transfers","36.74681"
"2008","I","Pobreza","difference","0.79056"
"2008","II","Pobreza","with_transfers","35.78562"
"2008","II","Pobreza","without_transfers","36.33694"
"2008","II","Pobreza","difference","0.55132"
"2009","I","Pobreza","with_transfers","34.94580"
"2009","I","Pobreza","without_transfers","35.43749"
"2009","I","Pobreza","difference","0.49169"
"2009","II","Pobreza","with_transfers","32.87834"
"2009","II","Pobreza","without_transfers","33.62680"
"2009","II","Pobreza","difference","0.74846"
"2010","I","Pobreza","with_transfers","32.80850"
"2010","I","Pobreza","without_transfers","34.14122"
"2010","I","Pobreza","difference","1.33272"
"2010","II","Pobreza","with_transfers","31.94273"
"2010","II","Pobreza","without_transfers","33.12467"
"2010","II","Pobreza","difference","1.18194"
"2011","I","Pobreza","with_transfers","29.25113"
"2011","I","Pobreza","without_transfers","30.61543"
"2011","I","Pobreza","difference","1.36429"
"2011","II","Pobreza","with_transfers","28.00668"
"2011","II","Pobreza","without_transfers","29.50287"
"2011","II","Pobreza","difference","1.49619"
"2012","I","Pobreza","with_transfers","27.86271"
"2012","I","Pobreza","without_transfers","29.10731"
"2012","I","Pobreza","difference","1.24459"
"2012","II","Pobreza","with_transfers","27.46770"
"2012","II","Pobreza","without_transfers","28.87144"
"2012","II","Pobreza","difference","1.40375"
"2013","I","Pobreza","with_transfers","27.59178"
"2013","I","Pobreza","without_transfers","28.73132"
"2013","I","Pobreza","difference","1.13954"
"2013","II","Pobreza","with_transfers","27.00197"
"2013","II","Pobreza","without_transfers","28.73616"
"2013","II","Pobreza","difference","1.73420"
"2014","I","Pobreza","with_transfers","30.73007"
"2014","I","Pobreza","without_transfers","32.00832"
"2014","I","Pobreza","difference","1.27825"
"2014","II","Pobreza","with_transfers","32.25074"
"2014","II","Pobreza","without_transfers","33.93826"
"2014","II","Pobreza","difference","1.68752"
"2015","I","Pobreza","with_transfers","29.95272"
"2015","I","Pobreza","without_transfers","31.59675"
"2015","I","Pobreza","difference","1.64403"
"2015","II","Pobreza","with_transfers",""
"2015","II","Pobreza","without_transfers",""
"2015","II","Pobreza","difference",""
"2016","I","Pobreza","with_transfers",""
"2016","I","Pobreza","without_transfers",""
"2016","I","Pobreza","difference",""
"2016","II","Pobreza","with_transfers","30.34284"
"2016","II","Pobreza","without_transfers","31.87825"
"2016","II","Pobreza","difference","1.53541"
"2017","I","Pobreza","with_transfers","28.51996"
"2017","I","Pobreza","without_transfers","30.32580"
"2017","I","Pobreza","difference","1.80584"
"2017","II","Pobreza","with_transfers","25.61108"
"2017","II","Pobreza","without_transfers","27.07277"
"2017","II","Pobreza","difference","1.46169"
"2018","I","Pobreza","with_transfers","27.30210"
"2018","I","Pobreza","without_transfers","28.79270"
"2018","I","Pobreza","difference","1.49060"
"2018","II","Pobreza","with_transfers","31.81441"
"2018","II","Pobreza","without_transfers","33.18848"
"2018","II","Pobreza","difference","1.37407"
"2019","I","Pobreza","with_transfers","35.32981"
"2019","I","Pobreza","without_transfers","36.85950"
"2019","I","Pobreza","difference","1.52969"
"2019","II","Pobreza","with_transfers","35.71602"
"2019","II","Pobreza","without_transfers","36.91824"
"2019","II","Pobreza","difference","1.20222"
"2020","I","Pobreza","with_transfers","40.81258"
"2020","I","Pobreza","without_transfers","43.58730"
"2020","I","Pobreza","difference","2.77472"
"2020","II","Pobreza","with_transfers","42.07891"
"2020","II","Pobreza","without_transfers","46.48632"
"2020","II","Pobreza","difference","4.40741"
"2021","I","Pobreza","with_transfers","40.44234"
"2021","I","Pobreza","without_transfers","41.93401"
"2021","I","Pobreza","difference","1.49167"
"2021","II","Pobreza","with_transfers","37.26434"
"2021","II","Pobreza","without_transfers","38.98922"
"2021","II","Pobreza","difference","1.72488"
"2022","I","Pobreza","with_transfers","36.28605"
"2022","I","Pobreza","without_transfers","38.61480"
"2022","I","Pobreza","difference","2.32875"
"2022","II","Pobreza","with_transfers","39.35537"
"2022","II","Pobreza","without_transfers","41.18686"
"2022","II","Pobreza","difference","1.83150"
"2023","I","Pobreza","with_transfers","39.99802"
"2023","I","Pobreza","without_transfers","41.70502"
"2023","I","Pobreza","difference","1.70699"
"2023","II","Pobreza","with_transfers","41.90698"
"2023","II","Pobreza","without_transfers","43.24968"
"2023","II","Pobreza","difference","1.34269"
"2024","I","Pobreza","with_transfers","52.87982"
"2024","I","Pobreza","without_transfers","53.49348"
"2024","I","Pobreza","difference","0.61366"
"2024","II","Pobreza","with_transfers","38.09778"
"2024","II","Pobreza","without_transfers","38.94276"
"2024","II","Pobreza","difference","0.84498"
"2025","I","Pobreza","with_transfers","31.59800"
"2025","I","Pobreza","without_transfers","33.75079"
"2025","I","Pobreza","difference","2.15279"
