"year","semester","gender","poverty_line","poverty_rate"
"2020","I","Total","Indigencia","10.50657"
"2020","I","Varon","Indigencia","10.70351"
"2020","I","Mujer","Indigencia","10.32249"
"2020","II","Total","Indigencia","10.59822"
"2020","II","Varon","Indigencia","10.90776"
"2020","II","Mujer","Indigencia","10.30406"
"2021","I","Total","Indigencia","10.73226"
"2021","I","Varon","Indigencia","10.76188"
"2021","I","Mujer","Indigencia","10.70423"
"2021","II","Total","Indigencia","8.44800"
"2021","II","Varon","Indigencia","8.51543"
"2021","II","Mujer","Indigencia","8.38416"
"2022","I","Total","Indigencia","8.50917"
"2022","I","Varon","Indigencia","8.49924"
"2022","I","Mujer","Indigencia","8.51856"
"2022","II","Total","Indigencia","7.91712"
"2022","II","Varon","Indigencia","7.86437"
"2022","II","Mujer","Indigencia","7.96711"
"2023","I","Total","Indigencia","9.37642"
"2023","I","Varon","Indigencia","9.44926"
"2023","I","Mujer","Indigencia","9.30737"
"2023","II","Total","Indigencia","12.28849"
"2023","II","Varon","Indigencia","12.10643"
"2023","II","Mujer","Indigencia","12.46115"
"2024","I","Total","Indigencia","17.96413"
"2024","I","Varon","Indigencia","18.07977"
"2024","I","Mujer","Indigencia","17.85441"
"2024","II","Total","Indigencia","8.25785"
"2024","II","Varon","Indigencia","7.94673"
"2024","II","Mujer","Indigencia","8.55315"
"2025","I","Total","Indigencia","6.91660"
"2025","I","Varon","Indigencia","6.84396"
"2025","I","Mujer","Indigencia","6.98558"
"2003","II","Total","Pobreza","59.93182"
"2003","II","Varon","Pobreza","61.29603"
"2003","II","Mujer","Pobreza","58.67536"
"2004","I","Total","Pobreza","57.53551"
"2004","I","Varon","Pobreza","58.36352"
"2004","I","Mujer","Pobreza","56.77283"
"2004","II","Total","Pobreza","52.85196"
"2004","II","Varon","Pobreza","54.38939"
"2004","II","Mujer","Pobreza","51.43574"
"2005","I","Total","Pobreza","51.08396"
"2005","I","Varon","Pobreza","52.09982"
"2005","I","Mujer","Pobreza","50.14812"
"2005","II","Total","Pobreza","46.76885"
"2005","II","Varon","Pobreza","47.64872"
"2005","II","Mujer","Pobreza","45.95823"
"2006","I","Total","Pobreza","43.81374"
"2006","I","Varon","Pobreza","44.23804"
"2006","I","Mujer","Pobreza","43.42281"
"2006","II","Total","Pobreza","39.54996"
"2006","II","Varon","Pobreza","40.45881"
"2006","II","Mujer","Pobreza","38.71252"
"2007","I","Total","Pobreza","37.08015"
"2007","I","Varon","Pobreza","37.66101"
"2007","I","Mujer","Pobreza","36.54487"
"2007","II","Total","Pobreza","37.56681"
"2007","II","Varon","Pobreza","37.96208"
"2007","II","Mujer","Pobreza","37.20254"
"2008","I","Total","Pobreza","35.95625"
"2008","I","Varon","Pobreza","36.64809"
"2008","I","Mujer","Pobreza","35.31866"
"2008","II","Total","Pobreza","35.78562"
"2008","II","Varon","Pobreza","36.23745"
"2008","II","Mujer","Pobreza","35.36919"
"2009","I","Total","Pobreza","34.94548"
"2009","I","Varon","Pobreza","35.66318"
"2009","I","Mujer","Pobreza","34.28397"
"2009","II","Total","Pobreza","32.87834"
"2009","II","Varon","Pobreza","33.04327"
"2009","II","Mujer","Pobreza","32.72630"
"2010","I","Total","Pobreza","32.80850"
"2010","I","Varon","Pobreza","33.16981"
"2010","I","Mujer","Pobreza","32.47544"
"2010","II","Total","Pobreza","31.94273"
"2010","II","Varon","Pobreza","32.76336"
"2010","II","Mujer","Pobreza","31.18621"
"2011","I","Total","Pobreza","29.25113"
"2011","I","Varon","Pobreza","29.58508"
"2011","I","Mujer","Pobreza","28.93639"
"2011","II","Total","Pobreza","28.00668"
"2011","II","Varon","Pobreza","28.65957"
"2011","II","Mujer","Pobreza","27.39381"
"2012","I","Total","Pobreza","27.86271"
"2012","I","Varon","Pobreza","28.23390"
"2012","I","Mujer","Pobreza","27.51439"
"2012","II","Total","Pobreza","27.46770"
"2012","II","Varon","Pobreza","27.85232"
"2012","II","Mujer","Pobreza","27.10646"
"2013","I","Total","Pobreza","27.59178"
"2013","I","Varon","Pobreza","27.99264"
"2013","I","Mujer","Pobreza","27.21563"
"2013","II","Total","Pobreza","27.00197"
"2013","II","Varon","Pobreza","27.22894"
"2013","II","Mujer","Pobreza","26.78930"
"2014","I","Total","Pobreza","30.73007"
"2014","I","Varon","Pobreza","31.35394"
"2014","I","Mujer","Pobreza","30.14896"
"2014","II","Total","Pobreza","32.25074"
"2014","II","Varon","Pobreza","32.94608"
"2014","II","Mujer","Pobreza","31.60357"
"2015","I","Total","Pobreza","29.95272"
"2015","I","Varon","Pobreza","30.54546"
"2015","I","Mujer","Pobreza","29.39989"
"2015","II","Total","Pobreza",""
"2015","II","Varon","Pobreza",""
"2015","II","Mujer","Pobreza",""
"2016","I","Total","Pobreza",""
"2016","I","Varon","Pobreza",""
"2016","I","Mujer","Pobreza",""
"2016","II","Total","Pobreza","30.34284"
"2016","II","Varon","Pobreza","31.17384"
"2016","II","Mujer","Pobreza","29.58045"
"2017","I","Total","Pobreza","28.51996"
"2017","I","Varon","Pobreza","29.25146"
"2017","I","Mujer","Pobreza","27.84446"
"2017","II","Total","Pobreza","25.61108"
"2017","II","Varon","Pobreza","25.84916"
"2017","II","Mujer","Pobreza","25.39170"
"2018","I","Total","Pobreza","27.30210"
"2018","I","Varon","Pobreza","27.86003"
"2018","I","Mujer","Pobreza","26.78758"
"2018","II","Total","Pobreza","31.81441"
"2018","II","Varon","Pobreza","32.55993"
"2018","II","Mujer","Pobreza","31.13126"
"2019","I","Total","Pobreza","35.32981"
"2019","I","Varon","Pobreza","35.88132"
"2019","I","Mujer","Pobreza","34.81558"
"2019","II","Total","Pobreza","35.71602"
"2019","II","Varon","Pobreza","37.12885"
"2019","II","Mujer","Pobreza","34.40041"
"2020","I","Total","Pobreza","40.81258"
"2020","I","Varon","Pobreza","40.91949"
"2020","I","Mujer","Pobreza","40.71264"
"2020","II","Total","Pobreza","42.07891"
"2020","II","Varon","Pobreza","42.65493"
"2020","II","Mujer","Pobreza","41.53150"
"2021","I","Total","Pobreza","40.44234"
"2021","I","Varon","Pobreza","40.12894"
"2021","I","Mujer","Pobreza","40.73890"
"2021","II","Total","Pobreza","37.26434"
"2021","II","Varon","Pobreza","37.66634"
"2021","II","Mujer","Pobreza","36.88374"
"2022","I","Total","Pobreza","36.28605"
"2022","I","Varon","Pobreza","36.44459"
"2022","I","Mujer","Pobreza","36.13623"
"2022","II","Total","Pobreza","39.35537"
"2022","II","Varon","Pobreza","39.30353"
"2022","II","Mujer","Pobreza","39.40449"
"2023","I","Total","Pobreza","39.99802"
"2023","I","Varon","Pobreza","40.53549"
"2023","I","Mujer","Pobreza","39.48852"
"2023","II","Total","Pobreza","41.90698"
"2023","II","Varon","Pobreza","41.83824"
"2023","II","Mujer","Pobreza","41.97217"
"2024","I","Total","Pobreza","52.87982"
"2024","I","Varon","Pobreza","53.27823"
"2024","I","Mujer","Pobreza","52.50182"
"2024","II","Total","Pobreza","38.09778"
"2024","II","Varon","Pobreza","38.11193"
"2024","II","Mujer","Pobreza","38.08435"
"2025","I","Total","Pobreza","31.59800"
"2025","I","Varon","Pobreza","31.31601"
"2025","I","Mujer","Pobreza","31.86576"
