anio,comp_dem_ag,valor
2001,Consumo hogares,70.34616484
2002,Consumo hogares,60.91445312
2003,Consumo hogares,62.65486971
2004,Consumo hogares,64.33150084
2005,Consumo hogares,63.04356933
2006,Consumo hogares,63.27018804
2007,Consumo hogares,62.53123291
2008,Consumo hogares,63.07458348
2009,Consumo hogares,62.97814768
2010,Consumo hogares,64.23411476
2011,Consumo hogares,64.22032128
2012,Consumo hogares,64.90339911
2013,Consumo hogares,65.98756553
2014,Consumo hogares,65.37910292
2015,Consumo hogares,65.90583734
2016,Consumo hogares,65.89257739
2017,Consumo hogares,65.80394624
2018,Consumo hogares,68.49627459
2019,Consumo hogares,65.20053871
2020,Consumo hogares,64.7835876
2021,Consumo hogares,62.10702049
2022,Consumo hogares,64.60184783
1935,Consumo gobierno,9.630108918
1936,Consumo gobierno,9.832061069
1937,Consumo gobierno,10.06355932
1938,Consumo gobierno,10.97925537
1939,Consumo gobierno,10.64435435
1940,Consumo gobierno,10.59364548
1941,Consumo gobierno,10.16528284
1942,Consumo gobierno,9.928591046
1943,Consumo gobierno,10.69120815
1944,Consumo gobierno,11.81210355
1945,Consumo gobierno,12.5886433
1946,Consumo gobierno,11.25807561
1947,Consumo gobierno,10.75134218
1948,Consumo gobierno,12.97716895
1949,Consumo gobierno,12.83636018
1950,Consumo gobierno,10.07683215
1951,Consumo gobierno,9.166838523
1952,Consumo gobierno,9.998217786
1953,Consumo gobierno,9.688127219
1954,Consumo gobierno,10.27731327
1955,Consumo gobierno,10.47046339
1956,Consumo gobierno,9.77169361
1957,Consumo gobierno,8.276855006
1958,Consumo gobierno,9.416828382
1959,Consumo gobierno,8.463312615
1960,Consumo gobierno,9.143619123
1961,Consumo gobierno,9.876737521
1962,Consumo gobierno,10.56153583
1963,Consumo gobierno,9.256650724
1964,Consumo gobierno,8.86818774
1965,Consumo gobierno,9.179835082
1966,Consumo gobierno,10.32003471
1967,Consumo gobierno,9.927502554
1968,Consumo gobierno,9.48164854
1969,Consumo gobierno,9.468425206
1970,Consumo gobierno,10.31942708
1971,Consumo gobierno,10.34458039
1972,Consumo gobierno,9.417192905
1973,Consumo gobierno,11.663805
1974,Consumo gobierno,13.51608141
1975,Consumo gobierno,12.94417328
1976,Consumo gobierno,9.838542462
1977,Consumo gobierno,9.513251182
1978,Consumo gobierno,11.87722165
1979,Consumo gobierno,11.825549
1980,Consumo gobierno,10.36336151
1981,Consumo gobierno,10.25878203
1982,Consumo gobierno,8.353176966
1983,Consumo gobierno,9.50671484
1984,Consumo gobierno,9.729317398
1985,Consumo gobierno,10.57738165
1986,Consumo gobierno,10.90323397
1987,Consumo gobierno,11.04005884
1988,Consumo gobierno,11.06646563
1989,Consumo gobierno,11.37823134
1990,Consumo gobierno,12.03469005
1991,Consumo gobierno,12.87449385
1992,Consumo gobierno,13.42275973
1993,Consumo gobierno,13.51037803
1994,Consumo gobierno,13.18690644
1995,Consumo gobierno,13.34944868
1996,Consumo gobierno,12.5016773
1997,Consumo gobierno,12.06201931
1998,Consumo gobierno,12.49477045
1999,Consumo gobierno,13.72321026
2000,Consumo gobierno,13.78419183
2001,Consumo gobierno,14.15627648
2002,Consumo gobierno,12.23524166
2003,Consumo gobierno,11.43806102
2004,Consumo gobierno,11.11463606
2005,Consumo gobierno,12.14186124
2006,Consumo gobierno,12.42941538
2007,Consumo gobierno,12.98932389
2008,Consumo gobierno,13.63351326
2009,Consumo gobierno,15.90389675
2010,Consumo gobierno,15.16371789
2011,Consumo gobierno,15.68895651
2012,Consumo gobierno,16.64543781
2013,Consumo gobierno,16.8062378
2014,Consumo gobierno,16.94987574
2015,Consumo gobierno,18.09837976
2016,Consumo gobierno,18.03464917
2017,Consumo gobierno,18.21375172
2018,Consumo gobierno,16.26670289
2019,Consumo gobierno,16.92348505
2020,Consumo gobierno,17.36580264
2021,Consumo gobierno,16.19815142
2022,Consumo gobierno,15.84660965
1935,Formacion bruta de capital,9.036989108
1936,Formacion bruta de capital,9.821882952
1937,Formacion bruta de capital,12.02330508
1938,Formacion bruta de capital,13.8418335
1939,Formacion bruta de capital,12.37815923
1940,Formacion bruta de capital,12.0735786
1941,Formacion bruta de capital,11.794832
1942,Formacion bruta de capital,11.45289756
1943,Formacion bruta de capital,11.80079629
1944,Formacion bruta de capital,12.38927939
1945,Formacion bruta de capital,13.37025726
1946,Formacion bruta de capital,14.73297909
1947,Formacion bruta de capital,19.31347186
1948,Formacion bruta de capital,23.57077626
1949,Formacion bruta de capital,22.70609489
1950,Formacion bruta de capital,19.54787234
1951,Formacion bruta de capital,19.71540524
1952,Formacion bruta de capital,18.93601854
1953,Formacion bruta de capital,17.40003088
1954,Formacion bruta de capital,16.7293757
1955,Formacion bruta de capital,17.45077231
1956,Formacion bruta de capital,17.78268114
1957,Formacion bruta de capital,19.19443762
1958,Formacion bruta de capital,19.41085734
1959,Formacion bruta de capital,16.0965821
1960,Formacion bruta de capital,20.53634927
1961,Formacion bruta de capital,22.17482066
1962,Formacion bruta de capital,21.30929016
1963,Formacion bruta de capital,17.57601401
1964,Formacion bruta de capital,16.27871228
1965,Formacion bruta de capital,16.94404832
1966,Formacion bruta de capital,17.39281711
1967,Formacion bruta de capital,17.97487001
1968,Formacion bruta de capital,18.98148485
1969,Formacion bruta de capital,20.39788155
1970,Formacion bruta de capital,21.15607593
1971,Formacion bruta de capital,20.69075384
1972,Formacion bruta de capital,20.53815269
1973,Formacion bruta de capital,18.07909446
1974,Formacion bruta de capital,19.10111209
1975,Formacion bruta de capital,25.42442114
1976,Formacion bruta de capital,26.87759837
1977,Formacion bruta de capital,27.32876089
1978,Formacion bruta de capital,25.32270878
1979,Formacion bruta de capital,24.06860354
1980,Formacion bruta de capital,25.26041667
1981,Formacion bruta de capital,22.69199893
1982,Formacion bruta de capital,21.75544573
1983,Formacion bruta de capital,20.88584475
1984,Formacion bruta de capital,19.96409245
1985,Formacion bruta de capital,17.58906692
1986,Formacion bruta de capital,17.46176421
1987,Formacion bruta de capital,19.554866
1988,Formacion bruta de capital,18.6400389
1989,Formacion bruta de capital,15.51467381
1990,Formacion bruta de capital,13.99744878
1991,Formacion bruta de capital,14.63697774
1992,Formacion bruta de capital,16.68701812
1993,Formacion bruta de capital,19.05643348
1994,Formacion bruta de capital,19.93897839
1995,Formacion bruta de capital,17.93773673
1996,Formacion bruta de capital,18.08218075
1997,Formacion bruta de capital,19.37013166
1998,Formacion bruta de capital,19.93495443
1999,Formacion bruta de capital,18.01402287
2000,Formacion bruta de capital,16.19265
2001,Formacion bruta de capital,14.17912049
2002,Formacion bruta de capital,11.96064259
2003,Formacion bruta de capital,15.13751608
2004,Formacion bruta de capital,15.89378728
2005,Formacion bruta de capital,17.35259061
2006,Formacion bruta de capital,18.33118672
2007,Formacion bruta de capital,19.51607916
2008,Formacion bruta de capital,19.01016098
2009,Formacion bruta de capital,15.58175264
2010,Formacion bruta de capital,16.64146616
2011,Formacion bruta de capital,17.2482847
2012,Formacion bruta de capital,15.85752542
2013,Formacion bruta de capital,16.28951119
2014,Formacion bruta de capital,15.97959048
2015,Formacion bruta de capital,15.56474508
2016,Formacion bruta de capital,14.63914845
2017,Formacion bruta de capital,14.80108867
2018,Formacion bruta de capital,14.8878233
2019,Formacion bruta de capital,13.86087495
2020,Formacion bruta de capital,13.94234648
2021,Formacion bruta de capital,17.2061018
2022,Formacion bruta de capital,17.45836801
1935,Variacion de existencias,0.0
1936,Variacion de existencias,0.0
1937,Variacion de existencias,0.0
1938,Variacion de existencias,0.0
1939,Variacion de existencias,0.0
1940,Variacion de existencias,0.0
1941,Variacion de existencias,0.0
1942,Variacion de existencias,0.0
1943,Variacion de existencias,0.0
1944,Variacion de existencias,0.0
1945,Variacion de existencias,0.0
1946,Variacion de existencias,0.0
1947,Variacion de existencias,0.0
1948,Variacion de existencias,0.0
1949,Variacion de existencias,0.0
1950,Variacion de existencias,0.0
1951,Variacion de existencias,0.0
1952,Variacion de existencias,0.0
1953,Variacion de existencias,0.0
1954,Variacion de existencias,0.0
1955,Variacion de existencias,0.0
1956,Variacion de existencias,0.0
1957,Variacion de existencias,0.0
1958,Variacion de existencias,0.0
1959,Variacion de existencias,0.0
1960,Variacion de existencias,0.0
1961,Variacion de existencias,0.0
1962,Variacion de existencias,0.0
1963,Variacion de existencias,0.0
1964,Variacion de existencias,0.0
1965,Variacion de existencias,0.0
1966,Variacion de existencias,0.0
1967,Variacion de existencias,0.0
1968,Variacion de existencias,0.0
1969,Variacion de existencias,0.0
1970,Variacion de existencias,0.0
1971,Variacion de existencias,0.0
1972,Variacion de existencias,0.0
1973,Variacion de existencias,0.0
1974,Variacion de existencias,0.0
1975,Variacion de existencias,0.0
1976,Variacion de existencias,0.0
1977,Variacion de existencias,0.0
1978,Variacion de existencias,0.0
1979,Variacion de existencias,0.0
1980,Variacion de existencias,0.0
1981,Variacion de existencias,0.0
1982,Variacion de existencias,0.0
1983,Variacion de existencias,0.0
1984,Variacion de existencias,0.0
1985,Variacion de existencias,0.0
1986,Variacion de existencias,0.0
1987,Variacion de existencias,0.0
1988,Variacion de existencias,0.0
1989,Variacion de existencias,0.0
1990,Variacion de existencias,0.0
1991,Variacion de existencias,0.0
1992,Variacion de existencias,0.0
1993,Variacion de existencias,0.0
1994,Variacion de existencias,0.0
1995,Variacion de existencias,0.0
1996,Variacion de existencias,0.0
1997,Variacion de existencias,0.0
1998,Variacion de existencias,0.0
1999,Variacion de existencias,0.0
2000,Variacion de existencias,0.0
2001,Variacion de existencias,0.0
2002,Variacion de existencias,0.0
2003,Variacion de existencias,0.0
2004,Variacion de existencias,1.657483074
2005,Variacion de existencias,1.537117232
2006,Variacion de existencias,0.349300525
2007,Variacion de existencias,0.583034043
2008,Variacion de existencias,0.562614899
2009,Variacion de existencias,0.47135972
2010,Variacion de existencias,1.064067644
2011,Variacion de existencias,1.150174214
2012,Variacion de existencias,0.644461108
2013,Variacion de existencias,1.016267717
2014,Variacion de existencias,1.28292693
2015,Variacion de existencias,1.505959807
2016,Variacion de existencias,2.387874026
2017,Variacion de existencias,3.838910074
2018,Variacion de existencias,1.715138066
2019,Variacion de existencias,0.053505129
2020,Variacion de existencias,0.166941421
2021,Variacion de existencias,0.54298505
2022,Variacion de existencias,-0.326285754
1935,Exportaciones,17.12498652
1936,Exportaciones,17.06870229
1937,Exportaciones,20.52436441
1938,Exportaciones,12.82724885
1939,Exportaciones,13.93944622
1940,Exportaciones,12.32441472
1941,Exportaciones,11.90346861
1942,Exportaciones,13.24498764
1943,Exportaciones,15.9258534
1944,Exportaciones,14.86942111
1945,Exportaciones,14.12598996
1946,Exportaciones,16.26208953
1947,Exportaciones,16.15343959
1948,Exportaciones,13.20547945
1949,Exportaciones,7.460302368
1950,Exportaciones,9.471040189
1951,Exportaciones,8.455351619
1952,Exportaciones,5.524861878
1953,Exportaciones,6.615717153
1954,Exportaciones,5.762263099
1955,Exportaciones,5.594859097
1956,Exportaciones,10.60926735
1957,Exportaciones,9.491870632
1958,Exportaciones,8.287306563
1959,Exportaciones,11.62320993
1960,Exportaciones,10.12050573
1961,Exportaciones,7.750294074
1962,Exportaciones,10.37933645
1963,Exportaciones,11.06641887
1964,Exportaciones,8.308641833
1965,Exportaciones,7.631773457
1966,Exportaciones,8.189699784
1967,Exportaciones,9.297491196
1968,Exportaciones,8.614310138
1969,Exportaciones,8.53577069
1970,Exportaciones,9.203137433
1971,Exportaciones,8.240935449
1972,Exportaciones,9.739164598
1973,Exportaciones,10.06511116
1974,Exportaciones,9.263267391
1975,Exportaciones,7.774590802
1976,Exportaciones,12.43982267
1977,Exportaciones,13.09303757
1978,Exportaciones,11.77530239
1979,Exportaciones,9.042985985
1980,Exportaciones,5.052083333
1981,Exportaciones,6.917313353
1982,Exportaciones,9.08841296
1983,Exportaciones,9.150684932
1984,Exportaciones,7.589895312
1985,Exportaciones,11.73609802
1986,Exportaciones,8.161977544
1987,Exportaciones,7.873205813
1988,Exportaciones,9.531612973
1989,Exportaciones,13.05838852
1990,Exportaciones,10.36020083
1991,Exportaciones,7.674490597
1992,Exportaciones,6.672338625
1993,Exportaciones,6.90935132
1994,Exportaciones,7.521831517
1995,Exportaciones,9.648807548
1996,Exportaciones,10.39912739
1997,Exportaciones,10.52865472
1998,Exportaciones,10.38500434
1999,Exportaciones,9.787988154
2000,Exportaciones,10.8854655
2001,Exportaciones,11.52861118
2002,Exportaciones,27.68967588
2003,Exportaciones,24.97119411
2004,Exportaciones,23.84761943
2005,Exportaciones,23.24587674
2006,Exportaciones,23.0266946
2007,Exportaciones,22.66275031
2008,Exportaciones,22.06090038
2009,Exportaciones,19.56098506
2010,Exportaciones,18.9338234
2011,Exportaciones,18.44920914
2012,Exportaciones,16.23785946
2013,Exportaciones,14.61717339
2014,Exportaciones,14.40981899
2015,Exportaciones,10.70565205
2016,Exportaciones,12.58383239
2017,Exportaciones,11.1815699
2018,Exportaciones,14.25978535
2019,Exportaciones,17.70523529
2020,Exportaciones,16.40193945
2021,Exportaciones,17.77606616
2022,Exportaciones,16.09983446
1935,Importaciones,-11.53887631
1936,Importaciones,-10.78880407
1937,Importaciones,-12.79131356
1938,Importaciones,-13.72406921
1939,Importaciones,-10.61847667
1940,Importaciones,-10.64381271
1941,Importaciones,-8.132226275
1942,Importaciones,-7.820653667
1943,Importaciones,-5.65889955
1944,Importaciones,-5.274587119
1945,Importaciones,-5.321186397
1946,Importaciones,-7.737298826
1947,Importaciones,-12.84041281
1948,Importaciones,-12.49315068
1949,Importaciones,-8.452980888
1950,Importaciones,-8.466312057
1951,Importaciones,-10.38358424
1952,Importaciones,-8.465514169
1953,Importaciones,-4.739848695
1954,Importaciones,-5.386008919
1955,Importaciones,-6.732696616
1956,Importaciones,-11.69000766
1957,Importaciones,-11.93594831
1958,Importaciones,-9.981589292
1959,Importaciones,-11.07332265
1960,Importaciones,-11.26531015
1961,Importaciones,-10.96770987
1962,Importaciones,-11.86037632
1963,Importaciones,-8.839423916
1964,Importaciones,-7.566936063
1965,Importaciones,-6.363978579
1966,Importaciones,-6.030296824
1967,Importaciones,-7.24638897
1968,Importaciones,-7.470808628
1969,Importaciones,-8.263123905
1970,Importaciones,-8.973513698
1971,Importaciones,-8.713279806
1972,Importaciones,-9.287350154
1973,Importaciones,-7.484551205
1974,Importaciones,-8.380515154
1975,Importaciones,-8.005761354
1976,Importaciones,-8.034842588
1977,Importaciones,-9.963246703
1978,Importaciones,-7.824531294
1979,Importaciones,-8.80266452
1980,Importaciones,-6.484375
1981,Importaciones,-7.372223709
1982,Importaciones,-6.52114223
1983,Importaciones,-5.835616438
1984,Importaciones,-4.756486117
1985,Importaciones,-6.27332705
1986,Importaciones,-6.324055248
1987,Importaciones,-7.57576407
1988,Importaciones,-6.211845636
1989,Importaciones,-6.579378523
1990,Importaciones,-4.631081963
1991,Importaciones,-5.923227454
1992,Importaciones,-8.293254925
1993,Importaciones,-9.313799626
1994,Importaciones,-10.60004829
1995,Importaciones,-10.07530523
1996,Importaciones,-11.06868521
1997,Importaciones,-12.77267069
1998,Importaciones,-12.93159801
1999,Importaciones,-11.53408973
2000,Importaciones,-11.51927138
2001,Importaciones,-10.21017299
2002,Importaciones,-12.80001324
2003,Importaciones,-14.20162823
2004,Importaciones,-16.84502669
2005,Importaciones,-17.32101515
2006,Importaciones,-17.40678526
2007,Importaciones,-18.28242031
2008,Importaciones,-18.341773
2009,Importaciones,-14.49614185
2010,Importaciones,-16.03718986
2011,Importaciones,-16.75694586
2012,Importaciones,-14.28868291
2013,Importaciones,-14.71675561
2014,Importaciones,-14.00131506
2015,Importaciones,-11.78057404
2016,Importaciones,-13.53808142
2017,Importaciones,-13.8392666
2018,Importaciones,-16.17386024
2019,Importaciones,-14.56882959
2020,Importaciones,-13.47168742
2021,Importaciones,-14.7944094
2022,Importaciones,-15.20803841
