"geocodigoFundar","geonombreFundar","ultimo_anio_disponible","sector","valor","fuente"
"ROU","Rumania","2023","Gobierno","26.4906137905298","OECD"
"DNK","Dinamarca","2023","Educación Superior","35.4233904780413","OECD"
"BEL","Bélgica","2023","Org. priv. sin fines de lucro","0.573125654103163","OECD"
"ESP","España","2023","Empresas (Públicas y Privadas)","56.3727237150735","OECD"
"OECD","Países miembros de OCDE","2023","Empresas (Públicas y Privadas)","73.5592890444231","OECD"
"TUR","Turquía","2023","Educación Superior","29.9967368920998","OECD"
"USA","Estados Unidos","2023","Empresas (Públicas y Privadas)","78.422774929434","OECD"
"POL","Polonia","2023","Gobierno","1.81122239387321","OECD"
"FIN","Finlandia","2023","Org. priv. sin fines de lucro","0.646965423980591","OECD"
"SVK","Eslovaquia","2023","Gobierno","17.8171410396437","OECD"
"EST","Estonia","2023","Org. priv. sin fines de lucro","0.930297506018606","OECD"
"AUT","Austria","2023","Org. priv. sin fines de lucro","0.500186098893054","OECD"
"CAN","Canadá","2024","Empresas (Públicas y Privadas)","59.9261294394007","OECD"
"SWE","Suecia","2023","Empresas (Públicas y Privadas)","74.2851336744571","OECD"
"CHE","Suiza","2021","Org. priv. sin fines de lucro","2.61031816813052","OECD"
"ARG","Argentina","2023","Org. priv. sin fines de lucro","1.54310375","OECD"
"RUS","Rusia","2020","Org. priv. sin fines de lucro","0.727326566992727","OECD"
"CHL","Chile","2022","Empresas (Públicas y Privadas)","42.0252307429418","OECD"
"LUX","Luxemburgo","2023","Gobierno","26.470119802647","OECD"
"CHN","China","2023","Empresas (Públicas y Privadas)","77.7112409315542","OECD"
"ESP","España","2023","Educación Superior","25.5088346822958","OECD"
"ZAF","Sudáfrica","2022","Educación Superior","36.4086149307282","OECD"
"TUR","Turquía","2023","Empresas (Públicas y Privadas)","65.1493015645604","OECD"
"FIN","Finlandia","2023","Educación Superior","24.1782591192746","OECD"
"DEU","Alemania","2023","Org. priv. sin fines de lucro","2.38512910511926","OECD"
"EST","Estonia","2023","Gobierno","8.52619953217052","OECD"
"JPN","Japón","2023","Gobierno","8.66625247943331","OECD"
"AUS","Australia","2021","Org. priv. sin fines de lucro","3.74188720134605","OECD"
"HRV","Croacia","2023","Org. priv. sin fines de lucro","0.14561027","OECD"
"LVA","Letonia","2023","Gobierno","19.15281861","OECD"
"ROU","Rumania","2023","Empresas (Públicas y Privadas)","61.6672779012333","OECD"
"ZAF","Sudáfrica","2022","Gobierno","23.8116628604762","OECD"
"FRA","Francia","2023","Educación Superior","20.9638428293711","OECD"
"HUN","Hungría","2023","Educación Superior","15.8520660566797","OECD"
"CHE","Suiza","2021","Empresas (Públicas y Privadas)","68.2722773634136","OECD"
"ITA","Italia","2023","Gobierno","14.6832697001468","OECD"
"TWN","Taiwán","2023","Educación Superior","6.32048484274718","OECD"
"BEL","Bélgica","2023","Educación Superior","16.1291626329033","OECD"
"FRA","Francia","2023","Empresas (Públicas y Privadas)","65.6403562980308","OECD"
"KOR","Corea del Sur","2023","Empresas (Públicas y Privadas)","79.1917826168323","OECD"
"AUT","Austria","2023","Empresas (Públicas y Privadas)","68.8654804195248","OECD"
"SVK","Eslovaquia","2023","Empresas (Públicas y Privadas)","55.7635207888847","OECD"
"ROU","Rumania","2023","Educación Superior","11.0395943002208","OECD"
"BEL","Bélgica","2023","Empresas (Públicas y Privadas)","74.0561170633301","OECD"
"JPN","Japón","2023","Org. priv. sin fines de lucro","1.11931331605597","OECD"
"CHL","Chile","2022","Educación Superior","42.3117178929618","OECD"
"ESP","España","2023","Org. priv. sin fines de lucro","0.279327131025139","OECD"
"TWN","Taiwán","2023","Org. priv. sin fines de lucro","0.0991059349960358","OECD"
"AUS","Australia","2021","Empresas (Públicas y Privadas)","53.2676997699341","OECD"
"LTU","Lituania","2023","Gobierno","15.2165652886305","OECD"
"EU27_2020","Unión Europea (27 países)","2023","Org. priv. sin fines de lucro","1.4198902486061","OECD"
"SGP","Singapur","2022","Empresas (Públicas y Privadas)","64.1569538064157","OECD"
"SVN","Eslovenia","2023","Gobierno","16.3698210406548","OECD"
"CZE","Chequia","2023","Org. priv. sin fines de lucro","0.955039121085953","OECD"
"BEL","Bélgica","2023","Gobierno","9.24159464966349","OECD"
"ESP","España","2023","Gobierno","17.8391144716055","OECD"
"CHL","Chile","2022","Gobierno","9.09225573263646","OECD"
"SVN","Eslovenia","2023","Empresas (Públicas y Privadas)","68.7712800827508","OECD"
"ITA","Italia","2023","Empresas (Públicas y Privadas)","58.0655655305807","OECD"
"CAN","Canadá","2024","Gobierno","5.99879914794001","OECD"
"NZL","Nueva Zelanda","2021","Gobierno","17.12328767","OECD"
"NZL","Nueva Zelanda","2021","Educación Superior","23.85844749","OECD"
"RUS","Rusia","2020","Gobierno","32.8258357396717","OECD"
"ARG","Argentina","2023","Gobierno","36.73852825","OECD"
"IRL","Irlanda","2023","Educación Superior","11.3650691502273","OECD"
"ZAF","Sudáfrica","2022","Empresas (Públicas y Privadas)","35.4535857407091","OECD"
"ITA","Italia","2023","Educación Superior","25.3850002902539","OECD"
"ISL","Islandia","2023","Empresas (Públicas y Privadas)","74.8877016214977","OECD"
"LTU","Lituania","2023","Empresas (Públicas y Privadas)","41.4388016062705","OECD"
"ISL","Islandia","2023","Educación Superior","22.749866240455","OECD"
"CAN","Canadá","2024","Educación Superior","33.596550279664","OECD"
"HRV","Croacia","2023","Educación Superior","28.13740734","OECD"
"LTU","Lituania","2023","Org. priv. sin fines de lucro","0.456595348958906","OECD"
"GRC","Grecia","2023","Org. priv. sin fines de lucro","0.498398468009968","OECD"
"PRT","Portugal","2023","Gobierno","4.49691508895503","OECD"
"OECD","Países miembros de OCDE","2023","Org. priv. sin fines de lucro","2.10645388400585","OECD"
"AUS","Australia","2021","Gobierno","9.5250383869988","OECD"
"ITA","Italia","2023","Org. priv. sin fines de lucro","1.86616447901866","OECD"
"KOR","Corea del Sur","2023","Educación Superior","9.14849396063406","OECD"
"NOR","Noruega","2023","Empresas (Públicas y Privadas)","56.83837745","OECD"
"SWE","Suecia","2023","Org. priv. sin fines de lucro","0.191791319011507","OECD"
"GBR","Reino Unido","2022","Empresas (Públicas y Privadas)","70.6420483214128","OECD"
"CZE","Chequia","2023","Gobierno","15.5760075914018","OECD"
"NLD","Países Bajos","2023","Gobierno","4.91305836095087","OECD"
"PRT","Portugal","2023","Educación Superior","30.2163605396978","OECD"
"NOR","Noruega","2023","Educación Superior","31.28667581","OECD"
"JPN","Japón","2023","Empresas (Públicas y Privadas)","79.1385320539569","OECD"
"DNK","Dinamarca","2023","Gobierno","3.06684171835387","OECD"
"RUS","Rusia","2020","Empresas (Públicas y Privadas)","56.598866459434","OECD"
"TWN","Taiwán","2023","Gobierno","8.45340009566186","OECD"
"POL","Polonia","2023","Educación Superior","33.4201872376606","OECD"
"ROU","Rumania","2023","Org. priv. sin fines de lucro","0.80251400801605","OECD"
"NZL","Nueva Zelanda","2021","Empresas (Públicas y Privadas)","59.01826484","OECD"
"LUX","Luxemburgo","2023","Empresas (Públicas y Privadas)","46.3014334646301","OECD"
"SVN","Eslovenia","2023","Org. priv. sin fines de lucro","1.07653074604306","OECD"
"SVK","Eslovaquia","2023","Org. priv. sin fines de lucro","0.0911699519981766","OECD"
"ISR","Israel","2023","Gobierno","0.895249425026858","OECD"
"KOR","Corea del Sur","2023","Gobierno","9.60640491161574","OECD"
"GRC","Grecia","2023","Gobierno","20.9778000704196","OECD"
"DEU","Alemania","2023","Gobierno","12.1333825706067","OECD"
"SVN","Eslovenia","2023","Educación Superior","13.7823681305513","OECD"
"NLD","Países Bajos","2023","Empresas (Públicas y Privadas)","69.9863542593001","OECD"
"LVA","Letonia","2023","Educación Superior","44.57449012","OECD"
"GBR","Reino Unido","2022","Org. priv. sin fines de lucro","1.21666894202433","OECD"
"NLD","Países Bajos","2023","Educación Superior","25.100587379749","OECD"
"IRL","Irlanda","2023","Empresas (Públicas y Privadas)","86.1176488717224","OECD"
"LVA","Letonia","2023","Empresas (Públicas y Privadas)","36.27269127","OECD"
"ARG","Argentina","2023","Empresas (Públicas y Privadas)","42.06838418","OECD"
"PRT","Portugal","2023","Empresas (Públicas y Privadas)","62.6613916093734","OECD"
"CZE","Chequia","2023","Empresas (Públicas y Privadas)","64.7125805358241","OECD"
"EU27_2020","Unión Europea (27 países)","2023","Gobierno","10.8681185142061","OECD"
"SGP","Singapur","2022","Educación Superior","13.5421196313542","OECD"
"DNK","Dinamarca","2023","Empresas (Públicas y Privadas)","61.2440388667943","OECD"
"AUT","Austria","2023","Gobierno","7.54005625400379","OECD"
"FIN","Finlandia","2023","Empresas (Públicas y Privadas)","67.5770789379727","OECD"
"LTU","Lituania","2023","Educación Superior","42.8880377561401","OECD"
"EST","Estonia","2023","Educación Superior","32.7798751406556","OECD"
"ZAF","Sudáfrica","2022","Org. priv. sin fines de lucro","4.32613646808652","OECD"
"SWE","Suecia","2023","Educación Superior","21.4144865512849","OECD"
"USA","Estados Unidos","2023","Educación Superior","10.678783605347","OECD"
"ISR","Israel","2023","Empresas (Públicas y Privadas)","93.0071687127902","OECD"
"DEU","Alemania","2023","Educación Superior","17.2306342908615","OECD"
"CAN","Canadá","2024","Org. priv. sin fines de lucro","0.478521132995215","OECD"
"ARG","Argentina","2023","Educación Superior","19.64998382","OECD"
"RUS","Rusia","2020","Educación Superior","9.84797123390152","OECD"
"ISR","Israel","2023","Educación Superior","5.50200667616506","OECD"
"CHN","China","2023","Gobierno","14.0347688702807","OECD"
"FIN","Finlandia","2023","Gobierno","7.59769651877207","OECD"
"CHE","Suiza","2021","Educación Superior","28.1776842314089","OECD"
"BGR","Bulgaria","2023","Empresas (Públicas y Privadas)","64.3102410851448","OECD"
"JPN","Japón","2023","Educación Superior","11.0759021505538","OECD"
"GBR","Reino Unido","2022","Gobierno","5.11798432610236","OECD"
"HRV","Croacia","2023","Empresas (Públicas y Privadas)","54.52564477","OECD"
"CHN","China","2023","Educación Superior","8.25399019816508","OECD"
"HRV","Croacia","2023","Gobierno","17.19133762","OECD"
"LCN","América Latina y el Caribe","2022","Educación Superior","41.1941194119412","RICYT"
"LCN","América Latina y el Caribe","2022","Empresas (Públicas y Privadas)","31.2331233123312","RICYT"
"LCN","América Latina y el Caribe","2022","Gobierno","26.5926592659266","RICYT"
"LCN","América Latina y el Caribe","2022","Org. priv. sin fines de lucro","0.98009800980098","RICYT"
"COL","Colombia","2022","Educación Superior","49.17","RICYT"
"COL","Colombia","2022","Empresas (Públicas y Privadas)","44.02","RICYT"
"COL","Colombia","2022","Gobierno","3.69","RICYT"
"COL","Colombia","2022","Org. priv. sin fines de lucro","3.12","RICYT"
"CRI","Costa Rica","2022","Educación Superior","47.5547554755476","RICYT"
"CRI","Costa Rica","2022","Empresas (Públicas y Privadas)","29.7329732973297","RICYT"
"CRI","Costa Rica","2022","Gobierno","22.6122612261226","RICYT"
"CRI","Costa Rica","2022","Org. priv. sin fines de lucro","0.1000100010001","RICYT"
"ECU","Ecuador","2022","Educación Superior","NaN","RICYT"
"ECU","Ecuador","2022","Empresas (Públicas y Privadas)","NaN","RICYT"
"ECU","Ecuador","2022","Gobierno","NaN","RICYT"
"ECU","Ecuador","2022","Org. priv. sin fines de lucro","NaN","RICYT"
"GTM","Guatemala","2022","Educación Superior","0","RICYT"
"GTM","Guatemala","2022","Empresas (Públicas y Privadas)","0","RICYT"
"GTM","Guatemala","2022","Gobierno","100","RICYT"
"GTM","Guatemala","2022","Org. priv. sin fines de lucro","0","RICYT"
"HND","Honduras","2022","Educación Superior","NaN","RICYT"
"HND","Honduras","2022","Empresas (Públicas y Privadas)","NaN","RICYT"
"HND","Honduras","2022","Gobierno","NaN","RICYT"
"HND","Honduras","2022","Org. priv. sin fines de lucro","NaN","RICYT"
"RICYT_IBE","Iberoamérica","2022","Educación Superior","35.7","RICYT"
"RICYT_IBE","Iberoamérica","2022","Empresas (Públicas y Privadas)","41.4","RICYT"
"RICYT_IBE","Iberoamérica","2022","Gobierno","22.02","RICYT"
"RICYT_IBE","Iberoamérica","2022","Org. priv. sin fines de lucro","0.88","RICYT"
"MEX","México","2022","Educación Superior","51.86","RICYT"
"MEX","México","2022","Empresas (Públicas y Privadas)","20.1","RICYT"
"MEX","México","2022","Gobierno","26.65","RICYT"
"MEX","México","2022","Org. priv. sin fines de lucro","1.39","RICYT"
"PAN","Panamá","2022","Educación Superior","24.38","RICYT"
"PAN","Panamá","2022","Empresas (Públicas y Privadas)","1.94","RICYT"
"PAN","Panamá","2022","Gobierno","67.01","RICYT"
"PAN","Panamá","2022","Org. priv. sin fines de lucro","6.67","RICYT"
"PRY","Paraguay","2022","Educación Superior","33.89","RICYT"
"PRY","Paraguay","2022","Empresas (Públicas y Privadas)","0","RICYT"
"PRY","Paraguay","2022","Gobierno","49.18","RICYT"
"PRY","Paraguay","2022","Org. priv. sin fines de lucro","16.93","RICYT"
"PER","Perú","2022","Educación Superior","0","RICYT"
"PER","Perú","2022","Empresas (Públicas y Privadas)","30.03","RICYT"
"PER","Perú","2022","Gobierno","69.97","RICYT"
"PER","Perú","2022","Org. priv. sin fines de lucro","0","RICYT"
"PRI","Puerto Rico","2022","Educación Superior","NaN","RICYT"
"PRI","Puerto Rico","2022","Empresas (Públicas y Privadas)","NaN","RICYT"
"PRI","Puerto Rico","2022","Gobierno","NaN","RICYT"
"PRI","Puerto Rico","2022","Org. priv. sin fines de lucro","NaN","RICYT"
"TTO","Trinidad y Tobago","2022","Educación Superior","11.03","RICYT"
"TTO","Trinidad y Tobago","2022","Empresas (Públicas y Privadas)","0","RICYT"
"TTO","Trinidad y Tobago","2022","Gobierno","88.97","RICYT"
"TTO","Trinidad y Tobago","2022","Org. priv. sin fines de lucro","0","RICYT"
"URY","Uruguay","2022","Educación Superior","29.1029102910291","RICYT"
"URY","Uruguay","2022","Empresas (Públicas y Privadas)","46.9446944694469","RICYT"
"URY","Uruguay","2022","Gobierno","23.6923692369237","RICYT"
"URY","Uruguay","2022","Org. priv. sin fines de lucro","0.26002600260026","RICYT"
