geocodigoFundar,geonombreFundar,ultimo_anio_disponible,gerd_gdp
GEO,Georgia,2023,0.0025283
BFA,Burkina Faso,2021,0.0025126
MUS,Mauricio,2023,0.0023401
BMU,Bermuda,2020,0.0022546
SDN,Sudán,2005,0.00225
MDA,Moldavia,2023,0.0022342
BDI,Burundi,2018,0.0021312
SYC,Seychelles,2016,0.002017
BIH,Bosnia y Herzegovina,2023,0.0019228
TGO,Togo,2014,0.0019074
AZE,Azerbaiyán,2023,0.0018178
ARM,Armenia,2023,0.0018115
MLI,Malí,2021,0.0017385
PAK,Pakistán,2023,0.0016375
PER,Perú,2022,0.0016178
PAN,Panamá,2023,0.0015791
BOL,Bolivia,2009,0.00157
ALB,Albania,2008,0.0015412
KAZ,Kazajstán,2023,0.0014472
SLV,El Salvador,2022,0.001428
TKM,Turkmenistán,2022,0.0014
UZB,Uzbekistán,2023,0.0012527
PRY,Paraguay,2022,0.0011944
KHM,Camboya,2015,0.0011823
VCT,San Vicente y las Granadinas,2002,0.001139
NIC,Nicaragua,2015,0.0010742
LKA,Sri Lanka,2022,0.0010506
BHR,Bahrein,2014,0.0010116
KWT,Kuwait,2023,0.000976
TJK,Tayikistán,2020,0.0008969
MNG,Mongolia,2022,0.0008365
SYR,Siria,2022,0.0007306
CIV,Costa de Marfil,2016,0.0006975
GMB,Gambia,2018,0.0006933
CPV,Cabo Verde,2011,0.0006622
JAM,Jamaica,2002,0.0006096
HND,Honduras,2019,0.0005997
KGZ,Kirguistán,2023,0.0005876
GTM,Guatemala,2021,0.0005863
LSO,Lesotho,2015,0.0005101
TTO,Trinidad y Tobago,2022,0.000478
IRQ,Iraq,2021,0.000407
MCO,Mónaco,2005,0.0003821
LAO,Laos,2002,0.000371
AGO,Angola,2016,0.0003229
PNG,Papúa Nueva Guinea,2016,0.0003158
VIR,Islas Vírgenes de EEUU,2007,0.0002717
MMR,Myanmar,2023,0.0002376
MDG,Madagascar,2017,0.0001275
MRT,Mauritania,2018,0.0001019
