anio,letra,letra_desc_abrev,porc_mujeres,porc_varones
2020,H,Hotelería y restaurantes,0.491582802346439,0.508417197653561
2021,H,Hotelería y restaurantes,0.494255074107361,0.505744925892639
2022,H,Hotelería y restaurantes,0.487592226301729,0.512407773698271
2016,I,Transporte y comunicaciones,0.162188262894696,0.837811737105304
2017,I,Transporte y comunicaciones,0.159337186819314,0.840662813180686
2018,I,Transporte y comunicaciones,0.162271725989554,0.837728274010446
2019,I,Transporte y comunicaciones,0.16123971140673,0.83876028859327
2020,I,Transporte y comunicaciones,0.152919837218199,0.847080162781801
2021,I,Transporte y comunicaciones,0.169499928315754,0.830500071684246
2022,I,Transporte y comunicaciones,0.157884733833651,0.842115266166349
2016,J,Finanzas,0.484204290705165,0.515795709294835
2017,J,Finanzas,0.498885554072827,0.501114445927173
2018,J,Finanzas,0.491889436384582,0.508110563615418
2019,J,Finanzas,0.482001680640812,0.517998319359188
2020,J,Finanzas,0.482859338930095,0.517140661069905
2021,J,Finanzas,0.487786438866341,0.512213561133659
2022,J,Finanzas,0.490468149996261,0.509531850003739
2016,K,Serv. inmobiliarios y profesionales,0.369886474814596,0.630113525185404
2017,K,Serv. inmobiliarios y profesionales,0.371348815651156,0.628651184348844
2018,K,Serv. inmobiliarios y profesionales,0.370030788502293,0.629969211497707
2019,K,Serv. inmobiliarios y profesionales,0.368239150941457,0.631760849058543
2020,K,Serv. inmobiliarios y profesionales,0.361785786878716,0.638214213121284
2021,K,Serv. inmobiliarios y profesionales,0.362458498908064,0.637541501091936
2022,K,Serv. inmobiliarios y profesionales,0.365172866872587,0.634827133127413
2016,L,Adm. pública y defensa,0.498107291199113,0.501892708800887
2017,L,Adm. pública y defensa,0.49958743951514,0.50041256048486
2018,L,Adm. pública y defensa,0.50054950490017,0.49945049509983
2019,L,Adm. pública y defensa,0.50125202630078,0.49874797369922
2020,L,Adm. pública y defensa,0.50397007453419,0.49602992546581
2021,L,Adm. pública y defensa,0.512580242328187,0.487419757671813
2022,L,Adm. pública y defensa,0.515847755217426,0.484152244782574
2016,M,Enseñanza,0.7171868705947,0.2828131294053
2017,M,Enseñanza,0.715173519587319,0.284826480412681
2018,M,Enseñanza,0.715703838183399,0.284296161816601
2019,M,Enseñanza,0.713171612736893,0.286828387263107
2020,M,Enseñanza,0.715602714931603,0.284397285068397
2021,M,Enseñanza,0.698683550612661,0.301316449387339
2022,M,Enseñanza,0.697732267105744,0.302267732894256
2016,N,Salud,0.675312674645916,0.324687325354084
2017,N,Salud,0.671716573472386,0.328283426527614
2018,N,Salud,0.667940966119167,0.332059033880833
2019,N,Salud,0.668272494299412,0.331727505700588
2020,N,Salud,0.666887530827996,0.333112469172004
2021,N,Salud,0.681551443164267,0.318448556835733
2022,N,Salud,0.680669210571635,0.319330789428365
2016,O,"Serv. comunitarios, sociales y personales",0.487079603703528,0.512920396296472
2017,O,"Serv. comunitarios, sociales y personales",0.47958222052687,0.52041777947313
2018,O,"Serv. comunitarios, sociales y personales",0.485147354165656,0.514852645834344
2019,O,"Serv. comunitarios, sociales y personales",0.484582814942103,0.515417185057897
2020,O,"Serv. comunitarios, sociales y personales",0.495761495435054,0.504238504564946
2021,O,"Serv. comunitarios, sociales y personales",0.488322317362065,0.511677682637935
2022,O,"Serv. comunitarios, sociales y personales",0.49130731002721,0.50869268997279
2016,P,Servicio doméstico,0.965722952322582,0.0342770476774182
2017,P,Servicio doméstico,0.966050780330431,0.0339492196695691
2018,P,Servicio doméstico,0.975211705861093,0.0247882941389066
2019,P,Servicio doméstico,0.970150957753705,0.0298490422462949
2020,P,Servicio doméstico,0.975257011292639,0.0247429887073609
2021,P,Servicio doméstico,0.975542579028805,0.0244574209711947
2022,P,Servicio doméstico,0.972356240924774,0.0276437590752263
2016,Z,Total,0.431680998680008,0.568319001319992
2017,Z,Total,0.429182679549277,0.570817320450723
2018,Z,Total,0.433686604899631,0.566313395100369
2019,Z,Total,0.435260171354017,0.564739828645983
2020,Z,Total,0.434626491072547,0.565373508927453
2021,Z,Total,0.430786973528986,0.569213026471014
2022,Z,Total,0.434198945864675,0.565801054135325
