anio,letra,letra_desc_abrev,va_por_trabajador,indice_va_trab
2016,J,Finanzas,1057.20420688412,304.624897021336
2017,J,Finanzas,1373.10599147934,310.622926001512
2018,J,Finanzas,1679.79688166927,276.949972292844
2019,J,Finanzas,2162.57015065956,249.400072038071
2020,J,Finanzas,3452.46281637399,292.647872724541
2021,J,Finanzas,4482.82964326005,238.114204658306
2022,J,Finanzas,7258.95804166739,229.495000414851
2023,J,Finanzas,10952.3937495269,154.54287431844
2016,K,Serv. inmobiliarios y profesionales,594.925385785574,171.422969375465
2017,K,Serv. inmobiliarios y profesionales,774.228125647997,175.145259924434
2018,K,Serv. inmobiliarios y profesionales,1072.62997094476,176.845691270973
2019,K,Serv. inmobiliarios y profesionales,1483.72358162286,171.111567422896
2020,K,Serv. inmobiliarios y profesionales,1947.4348773827,165.074239592879
2021,K,Serv. inmobiliarios y profesionales,2878.9402726641,152.920505090988
2022,K,Serv. inmobiliarios y profesionales,5021.22275436079,158.748061564824
2023,K,Serv. inmobiliarios y profesionales,10971.7672889285,154.816243093642
2016,L,Adm. pública y defensa,415.603369108931,119.752771216891
2017,L,Adm. pública y defensa,520.998228428551,117.859797539537
2018,L,Adm. pública y defensa,656.463503909022,108.231864937265
2019,L,Adm. pública y defensa,920.425294014608,106.148757561873
2020,L,Adm. pública y defensa,1092.36521296821,92.5942936437426
2021,L,Adm. pública y defensa,1759.14328334606,93.4403127327694
2022,L,Adm. pública y defensa,3157.10865022498,99.8133129898469
2023,L,Adm. pública y defensa,7469.57397642492,105.398825010358
2016,M,Enseñanza,216.481620970724,62.3774395389321
2017,M,Enseñanza,276.300007368829,62.5043640299605
2018,M,Enseñanza,362.048117963527,59.691274184909
2019,M,Enseñanza,520.943081313361,60.0781629986252
2020,M,Enseñanza,695.676217171189,58.9689667603795
2021,M,Enseñanza,1006.09324313257,53.4405970034565
2022,M,Enseñanza,1736.39873472196,54.8969736507568
2023,M,Enseñanza,4050.62361628189,57.1559999355755
2016,N,Salud,346.1729800516,99.7469625197457
2017,N,Salud,448.287719793403,101.411285127924
2018,N,Salud,566.377262358604,93.3792465203516
2019,N,Salud,773.865914536991,89.2466839859364
2020,N,Salud,958.387585209417,81.2376853783798
2021,N,Salud,1469.20160725967,78.0394973789207
2022,N,Salud,2479.57443642826,78.3927848942419
2023,N,Salud,5606.18520897551,79.1056271323359
2016,O,"Serv. comunitarios, sociales y personales",225.0418540189,64.8440019057853
2017,O,"Serv. comunitarios, sociales y personales",285.419340681636,64.5673322308024
2018,O,"Serv. comunitarios, sociales y personales",351.594489969203,57.9677729598615
2019,O,"Serv. comunitarios, sociales y personales",486.367137808722,56.0906656227777
2020,O,"Serv. comunitarios, sociales y personales",518.416653744043,43.9435669469451
2021,O,"Serv. comunitarios, sociales y personales",866.160572618053,46.0078013817503
2022,O,"Serv. comunitarios, sociales y personales",1413.93057647657,44.7020076948297
2023,O,"Serv. comunitarios, sociales y personales",3152.21589732692,44.4790898123276
2016,P,Servicio doméstico,34.6936945611218,9.99670930568843
2017,P,Servicio doméstico,45.458183904359,10.2835135690246
2018,P,Servicio doméstico,58.1599468588857,9.5888948520462
2019,P,Servicio doméstico,79.311206183413,9.14662607801958
2020,P,Servicio doméstico,111.327728505529,9.43669045988914
2021,P,Servicio doméstico,155.960624643354,8.28415154048953
2022,P,Servicio doméstico,274.742924814867,8.68611270135987
2023,P,Servicio doméstico,632.024257143726,8.91812763234407
