geocodigoFundar,geonombreFundar,anio,share_expo
ALB,Albania,2016,0.0
ALB,Albania,1963,0.0
ALB,Albania,2009,0.0
ALB,Albania,1991,0.0
ALB,Albania,2011,0.0
ALB,Albania,2004,0.0
ALB,Albania,1977,0.0
ALB,Albania,2012,0.0
ALB,Albania,1998,0.0
ALB,Albania,1992,0.0
AND,Andorra,1985,0.0
AND,Andorra,2009,0.0
AND,Andorra,1979,0.0
AND,Andorra,1970,0.0
AND,Andorra,1975,0.0
AND,Andorra,1978,0.0
AND,Andorra,2002,0.0
AND,Andorra,1980,0.0
AND,Andorra,1997,0.0
AND,Andorra,1984,0.0
AND,Andorra,2008,0.0
AND,Andorra,1992,0.0
AND,Andorra,1991,0.0
AND,Andorra,2001,0.0
AND,Andorra,1986,0.0
AND,Andorra,1999,0.0
AND,Andorra,2004,0.0
AND,Andorra,2021,0.0
AND,Andorra,2010,0.0
AND,Andorra,1983,0.0
AND,Andorra,1998,0.0
AND,Andorra,1987,0.0
AND,Andorra,1989,0.0
AND,Andorra,2007,0.0
AND,Andorra,2017,0.0
AND,Andorra,1990,0.0
AND,Andorra,2018,0.0
AND,Andorra,1994,0.0
AND,Andorra,2000,0.0
AND,Andorra,1972,0.0
AND,Andorra,2011,0.0
AND,Andorra,1988,0.0
AND,Andorra,2006,0.0
AND,Andorra,1982,0.0
AND,Andorra,2005,0.0
AND,Andorra,1973,0.0
AND,Andorra,2003,0.0
AND,Andorra,2012,0.0
ANT,Antillas Holandesas,1975,0.0
ANT,Antillas Holandesas,2007,0.0
ANT,Antillas Holandesas,1997,0.0
ANT,Antillas Holandesas,1988,0.0
ANT,Antillas Holandesas,1965,0.0
ANT,Antillas Holandesas,1994,0.0
ANT,Antillas Holandesas,1998,0.0
ANT,Antillas Holandesas,2008,0.0
ANT,Antillas Holandesas,2000,0.0
ANT,Antillas Holandesas,2001,0.0
ANT,Antillas Holandesas,1981,9.9999997e-05
ANT,Antillas Holandesas,2002,0.0
ANT,Antillas Holandesas,2004,0.0
ANT,Antillas Holandesas,1999,0.0
ANT,Antillas Holandesas,2005,0.0
ANT,Antillas Holandesas,2006,0.0
ANT,Antillas Holandesas,1987,0.0
ANT,Antillas Holandesas,1996,0.0
ANT,Antillas Holandesas,2009,0.0
ANT,Antillas Holandesas,1982,0.0
ANT,Antillas Holandesas,1995,0.0
ANT,Antillas Holandesas,2003,0.0
ANT,Antillas Holandesas,1979,0.0
ARE,Emiratos Árabes Unidos,1992,9.9999997e-05
ARE,Emiratos Árabes Unidos,1980,9.9999997e-05
ARE,Emiratos Árabes Unidos,1987,9.9999997e-05
ARE,Emiratos Árabes Unidos,1981,9.9999997e-05
ARE,Emiratos Árabes Unidos,2005,0.00079999998
ARE,Emiratos Árabes Unidos,2009,0.00019999999
ARE,Emiratos Árabes Unidos,2002,0.00039999999
ARE,Emiratos Árabes Unidos,2004,0.00039999999
ARE,Emiratos Árabes Unidos,2014,0.0017
ARE,Emiratos Árabes Unidos,1976,0.0
ARE,Emiratos Árabes Unidos,1979,0.0
ARE,Emiratos Árabes Unidos,1989,9.9999997e-05
ARE,Emiratos Árabes Unidos,1985,0.00019999999
ARE,Emiratos Árabes Unidos,1990,0.00019999999
ARE,Emiratos Árabes Unidos,2019,0.0096000005
ARE,Emiratos Árabes Unidos,2016,0.00069999998
ARE,Emiratos Árabes Unidos,1994,0.00030000001
ARE,Emiratos Árabes Unidos,1983,0.0
ARE,Emiratos Árabes Unidos,1986,0.00030000001
ARE,Emiratos Árabes Unidos,1977,9.9999997e-05
ARE,Emiratos Árabes Unidos,2013,0.0022
ARE,Emiratos Árabes Unidos,1999,0.0022
ARE,Emiratos Árabes Unidos,2017,0.001
ARE,Emiratos Árabes Unidos,2021,0.0023000001
ARE,Emiratos Árabes Unidos,2020,0.0020999999
ARE,Emiratos Árabes Unidos,1997,0.00089999998
ARE,Emiratos Árabes Unidos,2003,0.00030000001
ARE,Emiratos Árabes Unidos,1988,9.9999997e-05
ARE,Emiratos Árabes Unidos,1978,9.9999997e-05
ARE,Emiratos Árabes Unidos,2000,0.0016
ARE,Emiratos Árabes Unidos,2011,0.0046000001
ARE,Emiratos Árabes Unidos,2012,0.00039999999
ARE,Emiratos Árabes Unidos,1975,0.0
ARE,Emiratos Árabes Unidos,1984,0.0
ARE,Emiratos Árabes Unidos,1993,0.00019999999
ARE,Emiratos Árabes Unidos,1995,0.00089999998
ARE,Emiratos Árabes Unidos,1998,0.0024999999
ARE,Emiratos Árabes Unidos,1996,0.0014
ARE,Emiratos Árabes Unidos,2007,0.00050000002
ARE,Emiratos Árabes Unidos,2008,0.00030000001
ARE,Emiratos Árabes Unidos,2010,0.0041
ARE,Emiratos Árabes Unidos,2015,0.0012000001
ARE,Emiratos Árabes Unidos,2018,0.0026
ARE,Emiratos Árabes Unidos,1991,9.9999997e-05
ARE,Emiratos Árabes Unidos,2001,0.00050000002
ARE,Emiratos Árabes Unidos,1982,0.0
ARE,Emiratos Árabes Unidos,2006,9.9999997e-05
ARG,Argentina,1985,0.023499999
ARG,Argentina,2004,0.041200001
ARG,Argentina,1977,0.059700001
ARG,Argentina,2016,0.0252
ARG,Argentina,1989,0.031399999
ARG,Argentina,1988,0.0263
ARG,Argentina,2013,0.0242
ARG,Argentina,1963,0.25670001
ARG,Argentina,2006,0.045200001
ARG,Argentina,1992,0.0241
ARG,Argentina,2002,0.0222
ARG,Argentina,1969,0.15099999
ARG,Argentina,1968,0.1185
ARG,Argentina,2007,0.045299999
ARG,Argentina,1981,0.056000002
ARG,Argentina,1976,0.045299999
ARG,Argentina,2000,0.032499999
ARG,Argentina,1967,0.189
ARG,Argentina,1970,0.1373
ARG,Argentina,1996,0.044599999
ARG,Argentina,2003,0.0264
ARG,Argentina,1975,0.0244
ARG,Argentina,2009,0.054699998
ARG,Argentina,2017,0.029100001
ARG,Argentina,1986,0.0262
ARG,Argentina,2015,0.020300001
ARG,Argentina,1983,0.044799998
ARG,Argentina,1995,0.041099999
ARG,Argentina,2014,0.0218
ARG,Argentina,1998,0.032099999
ARG,Argentina,2018,0.037
ARG,Argentina,1993,0.024
ARG,Argentina,2011,0.0298
ARG,Argentina,1999,0.032499999
ARG,Argentina,1991,0.029100001
ARG,Argentina,2010,0.032200001
ARG,Argentina,2005,0.0539
ARG,Argentina,1965,0.2149
ARG,Argentina,1973,0.12899999
ARG,Argentina,2012,0.0262
ARG,Argentina,2008,0.041499998
ARG,Argentina,1966,0.22679999
ARG,Argentina,2020,0.057100002
ARG,Argentina,1982,0.062700003
ARG,Argentina,1994,0.0337
ARG,Argentina,1987,0.0274
ARG,Argentina,1984,0.0272
ARG,Argentina,1978,0.060800001
ARG,Argentina,1979,0.075499997
ARG,Argentina,2001,0.0101
ARG,Argentina,1980,0.067100003
ARG,Argentina,1971,0.1088
ARG,Argentina,1997,0.042300001
ARG,Argentina,2021,0.047400001
ARG,Argentina,1972,0.1504
ARG,Argentina,1974,0.077799998
ARG,Argentina,1962,0.2181
ARG,Argentina,1990,0.034899998
ARG,Argentina,2019,0.0572
ARG,Argentina,1964,0.23999999
ARM,Armenia,2009,0.0
ARM,Armenia,1996,0.0
ARM,Armenia,1998,0.0
ARM,Armenia,1997,0.0
ARM,Armenia,2021,0.0
ARM,Armenia,2020,0.0
ARM,Armenia,2016,0.0
ARM,Armenia,2006,0.0
ARM,Armenia,2003,0.0
ARM,Armenia,2008,0.0
ARM,Armenia,2019,0.0
ARM,Armenia,2010,0.0
ARM,Armenia,2005,0.0
ARM,Armenia,2007,0.0
ARM,Armenia,1999,0.0
ARM,Armenia,2004,0.0
ARM,Armenia,2018,0.0
ASM,Samoa Americana,2003,0.0
ASM,Samoa Americana,2002,0.0
ASM,Samoa Americana,2006,0.0
ASM,Samoa Americana,2009,0.0
ASM,Samoa Americana,2010,0.0
ASM,Samoa Americana,2007,0.0
ASM,Samoa Americana,2019,0.0
ATG,Antigua y Barbuda,2021,0.0
ATG,Antigua y Barbuda,1982,0.0
ATG,Antigua y Barbuda,1997,0.0
ATG,Antigua y Barbuda,2002,0.0
ATG,Antigua y Barbuda,1999,0.0
ATG,Antigua y Barbuda,2012,0.0
ATG,Antigua y Barbuda,2006,0.0
ATG,Antigua y Barbuda,2004,0.0
ATG,Antigua y Barbuda,2011,0.0
ATG,Antigua y Barbuda,2000,0.0
ATG,Antigua y Barbuda,2015,0.0
ATG,Antigua y Barbuda,2003,0.0
ATG,Antigua y Barbuda,2017,0.0
ATG,Antigua y Barbuda,2005,0.0
ATG,Antigua y Barbuda,1977,0.0
ATG,Antigua y Barbuda,2007,0.0
ATG,Antigua y Barbuda,1974,0.0
ATG,Antigua y Barbuda,2009,0.0
ATG,Antigua y Barbuda,2016,0.0
ATG,Antigua y Barbuda,2018,0.0
ATG,Antigua y Barbuda,1975,0.0
ATG,Antigua y Barbuda,1996,0.0
ATG,Antigua y Barbuda,2010,0.0
ATG,Antigua y Barbuda,2014,0.0
ATG,Antigua y Barbuda,1978,0.0
ATG,Antigua y Barbuda,2013,0.0
ATG,Antigua y Barbuda,1994,0.0
ATG,Antigua y Barbuda,2019,0.0
ATG,Antigua y Barbuda,2008,0.0
ATG,Antigua y Barbuda,2020,0.0
ATG,Antigua y Barbuda,2001,0.0
AUS,Australia,2008,0.1173
AUS,Australia,2000,0.1323
AUS,Australia,1996,0.1124
AUS,Australia,1980,0.1723
AUS,Australia,1989,0.1226
AUS,Australia,1973,0.2462
AUS,Australia,2005,0.1533
AUS,Australia,1975,0.1269
AUS,Australia,2019,0.1336
AUS,Australia,1985,0.1302
AUS,Australia,1972,0.20819999
AUS,Australia,1962,0.2237
AUS,Australia,2012,0.1173
AUS,Australia,2004,0.1733
AUS,Australia,2001,0.1674
AUS,Australia,1994,0.1374
AUS,Australia,1999,0.1196
AUS,Australia,2002,0.1415
AUS,Australia,1997,0.1175
AUS,Australia,1981,0.13850001
AUS,Australia,1964,0.2123
AUS,Australia,1968,0.1849
AUS,Australia,1992,0.1337
AUS,Australia,1987,0.1194
AUS,Australia,1998,0.1171
AUS,Australia,2014,0.13079999
AUS,Australia,1971,0.1789
AUS,Australia,1990,0.1376
AUS,Australia,2007,0.1327
AUS,Australia,2016,0.1237
AUS,Australia,2003,0.13150001
AUS,Australia,2015,0.1481
AUS,Australia,1974,0.1591
AUS,Australia,2021,0.1049
AUS,Australia,1976,0.17460001
AUS,Australia,1993,0.13779999
AUS,Australia,1963,0.208
AUS,Australia,1979,0.2131
AUS,Australia,1978,0.1794
AUS,Australia,1970,0.1857
AUS,Australia,2020,0.12549999
AUS,Australia,1984,0.13259999
AUS,Australia,2010,0.1128
AUS,Australia,1965,0.20200001
AUS,Australia,1986,0.1168
AUS,Australia,1969,0.18449999
AUS,Australia,2017,0.1121
AUS,Australia,2006,0.141
AUS,Australia,1982,0.1573
AUS,Australia,1966,0.2158
AUS,Australia,2009,0.11
AUS,Australia,1983,0.14749999
AUS,Australia,1977,0.161
AUS,Australia,2011,0.1122
AUS,Australia,1988,0.1285
AUS,Australia,1967,0.18260001
AUS,Australia,2013,0.1118
AUS,Australia,1995,0.122
AUS,Australia,1991,0.13500001
AUS,Australia,2018,0.1135
AUT,Austria,2009,0.0165
AUT,Austria,1981,0.0066999998
AUT,Austria,2013,0.0134
AUT,Austria,1987,0.0137
AUT,Austria,1977,0.0019
AUT,Austria,2007,0.0143
AUT,Austria,1975,0.0020000001
AUT,Austria,1990,0.0132
AUT,Austria,2012,0.0141
AUT,Austria,2005,0.0133
AUT,Austria,2002,0.0115
AUT,Austria,1982,0.0082
AUT,Austria,1962,0.00069999998
AUT,Austria,1972,0.0034
AUT,Austria,1993,0.0087000001
AUT,Austria,2006,0.0136
AUT,Austria,2000,0.0106
AUT,Austria,2016,0.0114
AUT,Austria,1983,0.0096000005
AUT,Austria,2010,0.0143
AUT,Austria,1999,0.0126
AUT,Austria,1995,0.0101
AUT,Austria,1980,0.0062000002
AUT,Austria,1966,0.0035000001
AUT,Austria,1976,0.0016
AUT,Austria,2020,0.0093
AUT,Austria,1998,0.0132
AUT,Austria,1964,0.00050000002
AUT,Austria,2017,0.0114
AUT,Austria,2018,0.0107
AUT,Austria,1984,0.0119
AUT,Austria,1985,0.014
AUT,Austria,1997,0.0109
AUT,Austria,1969,0.0018
AUT,Austria,1994,0.0076000001
AUT,Austria,2019,0.0097000003
AUT,Austria,2004,0.0127
AUT,Austria,2021,0.0088999998
AUT,Austria,1978,0.0046999999
AUT,Austria,1986,0.0144
AUT,Austria,1989,0.0122
AUT,Austria,1968,0.0019
AUT,Austria,2011,0.0139
AUT,Austria,2003,0.0119
AUT,Austria,1970,0.0018
AUT,Austria,1996,0.0119
AUT,Austria,1991,0.0105
AUT,Austria,1967,0.0035999999
AUT,Austria,1971,0.0026
AUT,Austria,2001,0.0109
AUT,Austria,1974,0.0026
AUT,Austria,1992,0.0098000001
AUT,Austria,1973,0.0035000001
AUT,Austria,2008,0.015
AUT,Austria,1979,0.0052
AUT,Austria,1965,0.0014
AUT,Austria,1963,0.0027000001
AUT,Austria,2014,0.012
AUT,Austria,2015,0.0114
AUT,Austria,1988,0.0132
AZE,Azerbaiyán,2005,0.0
AZE,Azerbaiyán,1996,0.0
AZE,Azerbaiyán,2016,0.0
AZE,Azerbaiyán,2008,0.0
AZE,Azerbaiyán,2021,0.0
AZE,Azerbaiyán,2009,0.0
AZE,Azerbaiyán,2020,0.0
AZE,Azerbaiyán,2007,0.0
AZE,Azerbaiyán,2013,0.0
AZE,Azerbaiyán,2015,0.0
AZE,Azerbaiyán,2017,0.0
AZE,Azerbaiyán,2018,0.0
AZE,Azerbaiyán,2019,0.0
AZE,Azerbaiyán,2006,0.0
AZE,Azerbaiyán,2014,0.0
AZE,Azerbaiyán,2004,0.0
BDI,Burundi,1979,0.0
BDI,Burundi,2019,0.0
BDI,Burundi,1965,0.0
BDI,Burundi,1972,0.0
BDI,Burundi,2006,0.0
BDI,Burundi,1968,0.0
BDI,Burundi,2013,0.0
BDI,Burundi,1975,0.0
BDI,Burundi,1998,0.0
BDI,Burundi,1980,0.0
BDI,Burundi,1978,0.0
BEL,Bélgica,1965,0.0027000001
BEL,Bélgica,1968,0.020099999
BEL,Bélgica,2011,0.021500001
BEL,Bélgica,2001,0.021299999
BEL,Bélgica,2017,0.0187
BEL,Bélgica,1966,0.0063
BEL,Bélgica,1962,0.0017
BEL,Bélgica,1996,0.035
BEL,Bélgica,1999,0.0239
BEL,Bélgica,2005,0.0242
BEL,Bélgica,1985,0.0306
BEL,Bélgica,1973,0.0151
BEL,Bélgica,2020,0.0126
BEL,Bélgica,1979,0.0162
BEL,Bélgica,1994,0.034400001
BEL,Bélgica,1978,0.018100001
BEL,Bélgica,2004,0.0266
BEL,Bélgica,1993,0.0449
BEL,Bélgica,1967,0.017200001
BEL,Bélgica,1990,0.046300001
BEL,Bélgica,1971,0.0138
BEL,Bélgica,2021,0.0122
BEL,Bélgica,1982,0.017999999
BEL,Bélgica,1963,0.0093
BEL,Bélgica,1976,0.019099999
BEL,Bélgica,1975,0.017999999
BEL,Bélgica,1984,0.026900001
BEL,Bélgica,1988,0.041200001
BEL,Bélgica,2012,0.02
BEL,Bélgica,1995,0.035
BEL,Bélgica,1986,0.035500001
BEL,Bélgica,1981,0.0253
BEL,Bélgica,1977,0.0175
BEL,Bélgica,1974,0.0162
BEL,Bélgica,1997,0.0317
BEL,Bélgica,2015,0.0164
BEL,Bélgica,2000,0.021400001
BEL,Bélgica,2009,0.022600001
BEL,Bélgica,2018,0.0185
BEL,Bélgica,2003,0.024499999
BEL,Bélgica,2016,0.017999999
BEL,Bélgica,1969,0.0102
BEL,Bélgica,1983,0.020300001
BEL,Bélgica,1964,0.0031000001
BEL,Bélgica,2013,0.019200001
BEL,Bélgica,1970,0.0106
BEL,Bélgica,1972,0.016799999
BEL,Bélgica,1991,0.046399999
BEL,Bélgica,2007,0.024800001
BEL,Bélgica,1987,0.0394
BEL,Bélgica,2008,0.022500001
BEL,Bélgica,2014,0.0184
BEL,Bélgica,1989,0.041099999
BEL,Bélgica,2006,0.023399999
BEL,Bélgica,1992,0.0462
BEL,Bélgica,2002,0.024599999
BEL,Bélgica,1980,0.021199999
BEL,Bélgica,2010,0.0211
BEL,Bélgica,2019,0.0136
BEL,Bélgica,1998,0.0295
BEN,Benin,1970,0.0
BEN,Benin,2015,0.0
BEN,Benin,2006,0.0
BEN,Benin,1994,0.0
BEN,Benin,1988,0.0
BEN,Benin,1996,0.0
BFA,Burkina Faso,1962,0.00039999999
BFA,Burkina Faso,1978,0.0
BFA,Burkina Faso,2004,0.0
BFA,Burkina Faso,2013,0.0
BFA,Burkina Faso,1977,0.0
BFA,Burkina Faso,1998,0.0
BFA,Burkina Faso,2014,0.0
BFA,Burkina Faso,1982,9.9999997e-05
BFA,Burkina Faso,1969,0.0
BFA,Burkina Faso,1972,9.9999997e-05
BFA,Burkina Faso,1983,0.0
BFA,Burkina Faso,1971,0.0
BFA,Burkina Faso,1968,0.00019999999
BFA,Burkina Faso,1964,9.9999997e-05
BFA,Burkina Faso,2002,0.0
BFA,Burkina Faso,2001,0.0
BFA,Burkina Faso,1967,0.00019999999
BFA,Burkina Faso,1976,0.0
BFA,Burkina Faso,1987,0.0
BFA,Burkina Faso,1965,0.0
BFA,Burkina Faso,1975,0.0
BFA,Burkina Faso,1980,9.9999997e-05
BFA,Burkina Faso,1979,9.9999997e-05
BFA,Burkina Faso,1963,9.9999997e-05
BFA,Burkina Faso,1973,0.0
BFA,Burkina Faso,1970,9.9999997e-05
BFA,Burkina Faso,2003,0.0
BFA,Burkina Faso,1981,0.00019999999
BFA,Burkina Faso,1974,0.0
BFA,Burkina Faso,1966,0.00019999999
BFA,Burkina Faso,2008,0.0
BGD,Bangladesh,2009,0.0
BGD,Bangladesh,2012,0.0
BGD,Bangladesh,2015,0.0
BGD,Bangladesh,2014,0.0
BGD,Bangladesh,1987,0.0
BGD,Bangladesh,1998,0.0
BGD,Bangladesh,2004,0.0
BGD,Bangladesh,2007,0.0
BGD,Bangladesh,2019,0.0
BGD,Bangladesh,2006,0.0
BGD,Bangladesh,2002,0.0
BGD,Bangladesh,1981,0.0
BGD,Bangladesh,1982,0.0
BGD,Bangladesh,2017,0.0
BGD,Bangladesh,2010,0.0
BGD,Bangladesh,2011,0.0
BGD,Bangladesh,1991,0.0
BGD,Bangladesh,1994,0.0
BGD,Bangladesh,2008,0.0
BGD,Bangladesh,1980,0.0
BGD,Bangladesh,1997,0.0
BGD,Bangladesh,2001,0.0
BGD,Bangladesh,2003,0.0
BGD,Bangladesh,2021,0.0
BGD,Bangladesh,1983,0.0
BGD,Bangladesh,1992,0.0
BGD,Bangladesh,1996,0.0
BGD,Bangladesh,2020,0.0
BGD,Bangladesh,2013,9.9999997e-05
BGD,Bangladesh,2018,0.0
BGD,Bangladesh,2016,0.0
BGR,Bulgaria,2020,9.9999997e-05
BGR,Bulgaria,1988,0.00039999999
BGR,Bulgaria,2018,9.9999997e-05
BGR,Bulgaria,1993,9.9999997e-05
BGR,Bulgaria,1986,0.0016
BGR,Bulgaria,2021,0.00019999999
BGR,Bulgaria,1982,0.0012000001
BGR,Bulgaria,2009,0.00030000001
BGR,Bulgaria,1968,0.003
BGR,Bulgaria,2006,0.0
BGR,Bulgaria,2003,9.9999997e-05
BGR,Bulgaria,1978,0.0012000001
BGR,Bulgaria,2005,0.0
BGR,Bulgaria,1994,0.0
BGR,Bulgaria,2016,0.00050000002
BGR,Bulgaria,1965,0.0024000001
BGR,Bulgaria,2011,9.9999997e-05
BGR,Bulgaria,1979,0.0012000001
BGR,Bulgaria,1976,0.00060000003
BGR,Bulgaria,2004,0.0
BGR,Bulgaria,1998,0.0
BGR,Bulgaria,1963,9.9999997e-05
BGR,Bulgaria,2012,0.00030000001
BGR,Bulgaria,1997,9.9999997e-05
BGR,Bulgaria,2014,0.00019999999
BGR,Bulgaria,2019,9.9999997e-05
BGR,Bulgaria,1996,0.00019999999
BGR,Bulgaria,1975,0.0019
BGR,Bulgaria,1995,0.0
BGR,Bulgaria,1973,0.0026
BGR,Bulgaria,1985,0.0023000001
BGR,Bulgaria,2008,0.00050000002
BGR,Bulgaria,2007,0.00079999998
BGR,Bulgaria,1977,0.0016
BGR,Bulgaria,2017,0.00030000001
BGR,Bulgaria,1990,0.00050000002
BGR,Bulgaria,1989,0.00030000001
BGR,Bulgaria,1971,0.0035999999
BGR,Bulgaria,1966,0.0027999999
BGR,Bulgaria,2002,9.9999997e-05
BGR,Bulgaria,1992,0.00039999999
BGR,Bulgaria,1970,0.0027000001
BGR,Bulgaria,1969,0.0031999999
BGR,Bulgaria,1981,0.0019
BGR,Bulgaria,2001,0.0
BGR,Bulgaria,1999,0.0
BGR,Bulgaria,1972,0.0027000001
BGR,Bulgaria,2010,9.9999997e-05
BGR,Bulgaria,1974,0.0016
BGR,Bulgaria,2015,0.00019999999
BGR,Bulgaria,1964,9.9999997e-05
BGR,Bulgaria,1991,0.00030000001
BGR,Bulgaria,1984,0.00079999998
BGR,Bulgaria,2000,0.0
BGR,Bulgaria,1980,0.00069999998
BGR,Bulgaria,2013,9.9999997e-05
BGR,Bulgaria,1983,0.0033
BGR,Bulgaria,1987,0.0012000001
BGR,Bulgaria,1967,0.0029
BHR,Bahrein,2020,0.0
BHR,Bahrein,1972,0.0
BHR,Bahrein,1983,0.0
BHR,Bahrein,1990,0.0
BHR,Bahrein,1977,0.0
BHR,Bahrein,1986,0.0
BHR,Bahrein,1985,0.0
BHR,Bahrein,1988,0.0
BHR,Bahrein,2016,0.0
BHR,Bahrein,2001,0.0
BHR,Bahrein,1979,0.0
BHR,Bahrein,2002,0.0
BHR,Bahrein,2012,0.0
BHR,Bahrein,1997,0.0
BHR,Bahrein,2010,0.0
BHR,Bahrein,1999,0.0
BHR,Bahrein,2014,0.0
BHR,Bahrein,1980,0.0
BHR,Bahrein,1974,0.0
BHR,Bahrein,2005,0.0
BHR,Bahrein,2011,0.0
BHR,Bahrein,1976,0.0
BHR,Bahrein,2019,0.0
BHR,Bahrein,2018,0.0
BHR,Bahrein,1991,0.0
BHR,Bahrein,2003,0.0
BHR,Bahrein,1987,0.0
BHR,Bahrein,1993,0.0
BHR,Bahrein,1994,0.0
BHR,Bahrein,2013,0.0
BHR,Bahrein,2021,0.0
BHR,Bahrein,2007,0.0
BHR,Bahrein,2009,0.0
BHR,Bahrein,2015,0.0
BHR,Bahrein,2000,0.0
BHR,Bahrein,1982,0.0
BHR,Bahrein,2006,0.0
BHR,Bahrein,1968,0.0
BHR,Bahrein,2004,0.0
BHR,Bahrein,2008,0.0
BHR,Bahrein,1975,0.0
BHR,Bahrein,2017,0.0
BHR,Bahrein,1981,0.0
BHR,Bahrein,1992,0.0
BHS,Bahamas,2017,0.0
BHS,Bahamas,1990,0.0
BHS,Bahamas,2003,0.0
BHS,Bahamas,2008,0.0
BHS,Bahamas,2018,0.0
BHS,Bahamas,1988,0.0
BHS,Bahamas,2004,0.0
BHS,Bahamas,1992,0.0
BHS,Bahamas,1976,0.0
BHS,Bahamas,2009,0.0
BHS,Bahamas,2002,0.0
BHS,Bahamas,2006,0.0
BHS,Bahamas,1974,0.0
BHS,Bahamas,2001,0.0
BHS,Bahamas,2007,0.0
BHS,Bahamas,2014,0.0
BHS,Bahamas,1998,0.0
BHS,Bahamas,1999,0.0
BIH,Bosnia y Herzegovina,2002,0.0
BIH,Bosnia y Herzegovina,2017,9.9999997e-05
BIH,Bosnia y Herzegovina,1997,0.00060000003
BIH,Bosnia y Herzegovina,2015,0.0016
BIH,Bosnia y Herzegovina,2021,9.9999997e-05
BIH,Bosnia y Herzegovina,1992,0.0
BIH,Bosnia y Herzegovina,2010,0.0
BIH,Bosnia y Herzegovina,2012,0.0
BIH,Bosnia y Herzegovina,2008,0.0
BIH,Bosnia y Herzegovina,2016,0.001
BIH,Bosnia y Herzegovina,2006,0.0
BIH,Bosnia y Herzegovina,2009,0.0
BIH,Bosnia y Herzegovina,1998,0.00060000003
BIH,Bosnia y Herzegovina,2014,9.9999997e-05
BIH,Bosnia y Herzegovina,1996,0.00019999999
BIH,Bosnia y Herzegovina,2001,0.0
BIH,Bosnia y Herzegovina,2007,0.0
BIH,Bosnia y Herzegovina,2013,0.0
BIH,Bosnia y Herzegovina,2003,0.0
BIH,Bosnia y Herzegovina,2019,9.9999997e-05
BIH,Bosnia y Herzegovina,2000,0.0
BIH,Bosnia y Herzegovina,1999,0.00019999999
BIH,Bosnia y Herzegovina,2004,0.0
BIH,Bosnia y Herzegovina,2005,0.0
BIH,Bosnia y Herzegovina,2020,0.00030000001
BIH,Bosnia y Herzegovina,2018,0.00089999998
BIH,Bosnia y Herzegovina,1993,0.0
BIH,Bosnia y Herzegovina,2011,0.0
BLM,San Barthélemy,2017,0.0
BLM,San Barthélemy,2015,0.0
BLM,San Barthélemy,2016,0.0
BLR,Belarús,1992,0.0
BLR,Belarús,2020,0.0103
BLR,Belarús,1993,0.0
BLR,Belarús,2002,0.0016
BLR,Belarús,2018,0.0116
BLR,Belarús,1996,0.0
BLR,Belarús,2001,0.0014
BLR,Belarús,2006,0.0044
BLR,Belarús,2003,0.0018
