"geocodigoFundar","tipo_idh","metrica","valor","geonombreFundar"
"BGD","IDH","Índice","0.67","Bangladesh"
"BGD","IDH-P","Índice","0.656","Bangladesh"
"BGD","IDH","Ranking","104","Bangladesh"
"BGD","IDH-P","Ranking","96","Bangladesh"
"BGR","IDH","Índice","0.799","Bulgaria"
"BGR","IDH-P","Índice","0.72","Bulgaria"
"BGR","IDH","Ranking","59","Bulgaria"
"BGR","IDH-P","Ranking","59","Bulgaria"
"BHR","IDH","Índice","0.888","Bahrein"
"BHR","IDH-P","Índice","0.673","Bahrein"
"BHR","IDH","Ranking","32","Bahrein"
"BHR","IDH-P","Ranking","86","Bahrein"
"BHS","IDH","Índice","0.82","Bahamas"
"BHS","IDH-P","Índice","0.744","Bahamas"
"BHS","IDH","Ranking","50","Bahamas"
"BHS","IDH-P","Ranking","47","Bahamas"
"BIH","IDH","Índice","0.779","Bosnia y Herzegovina"
"BIH","IDH-P","Índice","0.71","Bosnia y Herzegovina"
"BIH","IDH","Ranking","66","Bosnia y Herzegovina"
"BIH","IDH-P","Ranking","63","Bosnia y Herzegovina"
"BLZ","IDH","Índice","0.7","Belice"
"BLZ","IDH-P","Índice","0.668","Belice"
"BLZ","IDH","Ranking","95","Belice"
"BLZ","IDH-P","Ranking","88","Belice"
"BOL","IDH","Índice","0.698","Bolivia"
"BOL","IDH-P","Índice","0.662","Bolivia"
"BOL","IDH","Ranking","97","Bolivia"
"BOL","IDH-P","Ranking","93","Bolivia"
"BRA","IDH","Índice","0.76","Brasil"
"BRA","IDH-P","Índice","0.702","Brasil"
"BRA","IDH","Ranking","74","Brasil"
"BRA","IDH-P","Ranking","66","Brasil"
"BRN","IDH","Índice","0.823","Brunei Darussalam"
"BRN","IDH-P","Índice","0.576","Brunei Darussalam"
"BRN","IDH","Ranking","48","Brunei Darussalam"
"BRN","IDH-P","Ranking","117","Brunei Darussalam"
"BTN","IDH","Índice","0.681","Bhután"
"BTN","IDH-P","Índice","0.615","Bhután"
"BTN","IDH","Ranking","100","Bhután"
"BTN","IDH-P","Ranking","103","Bhután"
"BWA","IDH","Índice","0.708","Botswana"
"BWA","IDH-P","Índice","0.677","Botswana"
"BWA","IDH","Ranking","92","Botswana"
"BWA","IDH-P","Ranking","84","Botswana"
"CAF","IDH","Índice","0.387","República Centroafricana"
"CAF","IDH-P","Índice","0.383","República Centroafricana"
"CAF","IDH","Ranking","152","República Centroafricana"
"CAF","IDH-P","Ranking","151","República Centroafricana"
"CAN","IDH","Índice","0.935","Canadá"
"CAN","IDH-P","Índice","0.726","Canadá"
"CAN","IDH","Ranking","16","Canadá"
"CAN","IDH-P","Ranking","56","Canadá"
"CHE","IDH","Índice","0.967","Suiza"
"CHE","IDH-P","Índice","0.826","Suiza"
"CHE","IDH","Ranking","1","Suiza"
"CHE","IDH-P","Ranking","7","Suiza"
"CHL","IDH","Índice","0.86","Chile"
"CHL","IDH-P","Índice","0.786","Chile"
"CHL","IDH","Ranking","40","Chile"
"CHL","IDH-P","Ranking","24","Chile"
"CHN","IDH","Índice","0.788","China"
"CHN","IDH-P","Índice","0.679","China"
"CHN","IDH","Ranking","61","China"
"CHN","IDH-P","Ranking","83","China"
"CMR","IDH","Índice","0.587","Camerún"
"CMR","IDH-P","Índice","0.577","Camerún"
"CMR","IDH","Ranking","119","Camerún"
"CMR","IDH-P","Ranking","116","Camerún"
"COD","IDH","Índice","0.481","República Democrática del Congo"
"COD","IDH-P","Índice","0.477","República Democrática del Congo"
"COD","IDH","Ranking","141","República Democrática del Congo"
"COD","IDH-P","Ranking","140","República Democrática del Congo"
"COG","IDH","Índice","0.593","Congo"
"COG","IDH-P","Índice","0.58","Congo"
"COG","IDH","Ranking","117","Congo"
"COG","IDH-P","Ranking","113","Congo"
"COL","IDH","Índice","0.758","Colombia"
"COL","IDH-P","Índice","0.725","Colombia"
"COL","IDH","Ranking","75","Colombia"
"COL","IDH-P","Ranking","57","Colombia"
"CRI","IDH","Índice","0.806","Costa Rica"
"CRI","IDH-P","Índice","0.763","Costa Rica"
"CRI","IDH","Ranking","55","Costa Rica"
"CRI","IDH-P","Ranking","39","Costa Rica"
"CUB","IDH","Índice","0.764","Cuba"
"CUB","IDH-P","Índice","0.74","Cuba"
"CUB","IDH","Ranking","70","Cuba"
"CUB","IDH-P","Ranking","48","Cuba"
"CYP","IDH","Índice","0.907","Chipre"
"CYP","IDH-P","Índice","0.803","Chipre"
"CYP","IDH","Ranking","27","Chipre"
"CYP","IDH-P","Ranking","20","Chipre"
"CZE","IDH","Índice","0.895","Chequia"
"CZE","IDH-P","Índice","0.782","Chequia"
"CZE","IDH","Ranking","30","Chequia"
"CZE","IDH-P","Ranking","28","Chequia"
"DEU","IDH","Índice","0.95","Alemania"
"DEU","IDH-P","Índice","0.833","Alemania"
"DEU","IDH","Ranking","6","Alemania"
"DEU","IDH-P","Ranking","5","Alemania"
"DJI","IDH","Índice","0.515","Djibouti"
"DJI","IDH-P","Índice","0.493","Djibouti"
"DJI","IDH","Ranking","133","Djibouti"
"DJI","IDH-P","Ranking","134","Djibouti"
"DNK","IDH","Índice","0.952","Dinamarca"
"DNK","IDH-P","Índice","0.839","Dinamarca"
"DNK","IDH","Ranking","4","Dinamarca"
"DNK","IDH-P","Ranking","2","Dinamarca"
"DOM","IDH","Índice","0.766","República Dominicana"
"DOM","IDH-P","Índice","0.732","República Dominicana"
"DOM","IDH","Ranking","67","República Dominicana"
"DOM","IDH-P","Ranking","53","República Dominicana"
"DZA","IDH","Índice","0.745","Argelia"
"DZA","IDH-P","Índice","0.702","Argelia"
"DZA","IDH","Ranking","77","Argelia"
"DZA","IDH-P","Ranking","67","Argelia"
"ECU","IDH","Índice","0.765","Ecuador"
"ECU","IDH-P","Índice","0.733","Ecuador"
"ECU","IDH","Ranking","68","Ecuador"
"ECU","IDH-P","Ranking","51","Ecuador"
"EGY","IDH","Índice","0.728","Egipto"
"EGY","IDH-P","Índice","0.695","Egipto"
"EGY","IDH","Ranking","84","Egipto"
"EGY","IDH-P","Ranking","70","Egipto"
"ERI","IDH","Índice","0.493","Eritrea"
"ERI","IDH-P","Índice","0.487","Eritrea"
"ERI","IDH","Ranking","137","Eritrea"
"ERI","IDH-P","Ranking","136","Eritrea"
"ESP","IDH","Índice","0.911","España"
"ESP","IDH-P","Índice","0.839","España"
"ESP","IDH","Ranking","25","España"
"ESP","IDH-P","Ranking","3","España"
"EST","IDH","Índice","0.899","Estonia"
"EST","IDH-P","Índice","0.766","Estonia"
"EST","IDH","Ranking","29","Estonia"
"EST","IDH-P","Ranking","37","Estonia"
"ETH","IDH","Índice","0.492","Etiopía"
"ETH","IDH-P","Índice","0.485","Etiopía"
"ETH","IDH","Ranking","138","Etiopía"
"ETH","IDH-P","Ranking","137","Etiopía"
"FIN","IDH","Índice","0.942","Finlandia"
"FIN","IDH-P","Índice","0.787","Finlandia"
"FIN","IDH","Ranking","12","Finlandia"
"FIN","IDH-P","Ranking","23","Finlandia"
"FRA","IDH","Índice","0.91","Francia"
"FRA","IDH-P","Índice","0.823","Francia"
"FRA","IDH","Ranking","26","Francia"
"FRA","IDH-P","Ranking","9","Francia"
"GAB","IDH","Índice","0.693","Gabón"
"GAB","IDH-P","Índice","0.667","Gabón"
"GAB","IDH","Ranking","99","Gabón"
"GAB","IDH-P","Ranking","89","Gabón"
"GBR","IDH","Índice","0.94","Reino Unido"
"GBR","IDH-P","Índice","0.846","Reino Unido"
"GBR","IDH","Ranking","13","Reino Unido"
"GBR","IDH-P","Ranking","1","Reino Unido"
"GEO","IDH","Índice","0.814","Georgia"
"GEO","IDH-P","Índice","0.767","Georgia"
"GEO","IDH","Ranking","53","Georgia"
"GEO","IDH-P","Ranking","36","Georgia"
"GHA","IDH","Índice","0.602","Ghana"
"GHA","IDH-P","Índice","0.586","Ghana"
"GHA","IDH","Ranking","113","Ghana"
"GHA","IDH-P","Ranking","109","Ghana"
"GIN","IDH","Índice","0.471","Guinea"
"GIN","IDH-P","Índice","0.462","Guinea"
"GIN","IDH","Ranking","142","Guinea"
"GIN","IDH-P","Ranking","141","Guinea"
"GMB","IDH","Índice","0.495","Gambia"
"GMB","IDH-P","Índice","0.489","Gambia"
"GMB","IDH","Ranking","136","Gambia"
"GMB","IDH-P","Ranking","135","Gambia"
"GNQ","IDH","Índice","0.65","Guinea Ecuatorial"
"GNQ","IDH-P","Índice","0.624","Guinea Ecuatorial"
"GNQ","IDH","Ranking","106","Guinea Ecuatorial"
"GNQ","IDH-P","Ranking","101","Guinea Ecuatorial"
"GRC","IDH","Índice","0.893","Grecia"
"GRC","IDH-P","Índice","0.809","Grecia"
"GRC","IDH","Ranking","31","Grecia"
"GRC","IDH-P","Ranking","12","Grecia"
"GTM","IDH","Índice","0.629","Guatemala"
"GTM","IDH-P","Índice","0.604","Guatemala"
"GTM","IDH","Ranking","108","Guatemala"
"GTM","IDH-P","Ranking","105","Guatemala"
"HND","IDH","Índice","0.624","Honduras"
"HND","IDH-P","Índice","0.606","Honduras"
"HND","IDH","Ranking","109","Honduras"
"HND","IDH-P","Ranking","104","Honduras"
"HRV","IDH","Índice","0.878","Croacia"
"HRV","IDH-P","Índice","0.807","Croacia"
"HRV","IDH","Ranking","36","Croacia"
"HRV","IDH-P","Ranking","15","Croacia"
"HTI","IDH","Índice","0.552","Haití"
"HTI","IDH-P","Índice","0.546","Haití"
"HTI","IDH","Ranking","122","Haití"
"HTI","IDH-P","Ranking","121","Haití"
"HUN","IDH","Índice","0.851","Hungría"
"HUN","IDH-P","Índice","0.769","Hungría"
"HUN","IDH","Ranking","43","Hungría"
"HUN","IDH-P","Ranking","35","Hungría"
"IDN","IDH","Índice","0.713","Indonesia"
"IDN","IDH-P","Índice","0.685","Indonesia"
"IDN","IDH","Ranking","90","Indonesia"
"IDN","IDH-P","Ranking","76","Indonesia"
"IND","IDH","Índice","0.644","India"
"IND","IDH-P","Índice","0.625","India"
"IND","IDH","Ranking","107","India"
"IND","IDH-P","Ranking","100","India"
"IRL","IDH","Índice","0.95","Irlanda"
"IRL","IDH-P","Índice","0.814","Irlanda"
"IRL","IDH","Ranking","7","Irlanda"
"IRL","IDH-P","Ranking","10","Irlanda"
"IRN","IDH","Índice","0.78","Irán"
"IRN","IDH-P","Índice","0.715","Irán"
"IRN","IDH","Ranking","64","Irán"
"IRN","IDH-P","Ranking","61","Irán"
"IRQ","IDH","Índice","0.673","Iraq"
"IRQ","IDH-P","Índice","0.643","Iraq"
"IRQ","IDH","Ranking","103","Iraq"
"IRQ","IDH-P","Ranking","98","Iraq"
"ISL","IDH","Índice","0.959","Islandia"
"ISL","IDH-P","Índice","0.806","Islandia"
"ISL","IDH","Ranking","3","Islandia"
"ISL","IDH-P","Ranking","17","Islandia"
"ISR","IDH","Índice","0.915","Israel"
"ISR","IDH-P","Índice","0.78","Israel"
"ISR","IDH","Ranking","23","Israel"
"ISR","IDH-P","Ranking","30","Israel"
"ITA","IDH","Índice","0.906","Italia"
"ITA","IDH-P","Índice","0.825","Italia"
"ITA","IDH","Ranking","28","Italia"
"ITA","IDH-P","Ranking","8","Italia"
"JAM","IDH","Índice","0.706","Jamaica"
"JAM","IDH-P","Índice","0.676","Jamaica"
"JAM","IDH","Ranking","93","Jamaica"
"JAM","IDH-P","Ranking","85","Jamaica"
"JOR","IDH","Índice","0.736","Jordania"
"JOR","IDH-P","Índice","0.706","Jordania"
"JOR","IDH","Ranking","80","Jordania"
"JOR","IDH-P","Ranking","64","Jordania"
"JPN","IDH","Índice","0.92","Japón"
"JPN","IDH-P","Índice","0.809","Japón"
"JPN","IDH","Ranking","22","Japón"
"JPN","IDH-P","Ranking","13","Japón"
"KAZ","IDH","Índice","0.802","Kazajstán"
"KAZ","IDH-P","Índice","0.688","Kazajstán"
"KAZ","IDH","Ranking","58","Kazajstán"
"KAZ","IDH-P","Ranking","74","Kazajstán"
"KEN","IDH","Índice","0.601","Kenia"
"KEN","IDH-P","Índice","0.59","Kenia"
"KEN","IDH","Ranking","114","Kenia"
"KEN","IDH-P","Ranking","108","Kenia"
"KGZ","IDH","Índice","0.701","Kirguistán"
"KGZ","IDH-P","Índice","0.683","Kirguistán"
"KGZ","IDH","Ranking","94","Kirguistán"
"KGZ","IDH-P","Ranking","80","Kirguistán"
"KHM","IDH","Índice","0.6","Camboya"
"KHM","IDH-P","Índice","0.572","Camboya"
"KHM","IDH","Ranking","116","Camboya"
"KHM","IDH-P","Ranking","118","Camboya"
"KOR","IDH","Índice","0.929","Corea del Sur"
"KOR","IDH-P","Índice","0.775","Corea del Sur"
"KOR","IDH","Ranking","17","Corea del Sur"
"KOR","IDH-P","Ranking","33","Corea del Sur"
"KWT","IDH","Índice","0.847","Kuwait"
"KWT","IDH-P","Índice","0.58","Kuwait"
"KWT","IDH","Ranking","45","Kuwait"
"KWT","IDH-P","Ranking","114","Kuwait"
"LAO","IDH","Índice","0.62","Lao"
"LAO","IDH-P","Índice","0.58","Lao"
"LAO","IDH","Ranking","110","Lao"
"LAO","IDH-P","Ranking","115","Lao"
"LBN","IDH","Índice","0.723","Líbano"
"LBN","IDH-P","Índice","0.68","Líbano"
"LBN","IDH","Ranking","87","Líbano"
"LBN","IDH-P","Ranking","82","Líbano"
"LBR","IDH","Índice","0.487","Liberia"
"LBR","IDH-P","Índice","0.482","Liberia"
"LBR","IDH","Ranking","139","Liberia"
"LBR","IDH-P","Ranking","139","Liberia"
"LBY","IDH","Índice","0.746","Libia"
"LBY","IDH-P","Índice","0.661","Libia"
"LBY","IDH","Ranking","76","Libia"
"LBY","IDH-P","Ranking","95","Libia"
"LKA","IDH","Índice","0.78","Sri Lanka"
"LKA","IDH-P","Índice","0.762","Sri Lanka"
"LKA","IDH","Ranking","65","Sri Lanka"
"LKA","IDH-P","Ranking","40","Sri Lanka"
"LTU","IDH","Índice","0.879","Lituania"
"LTU","IDH-P","Índice","0.748","Lituania"
"LTU","IDH","Ranking","34","Lituania"
"LTU","IDH-P","Ranking","44","Lituania"
"LUX","IDH","Índice","0.927","Luxemburgo"
"LUX","IDH-P","Índice","0.685","Luxemburgo"
"LUX","IDH","Ranking","18","Luxemburgo"
"LUX","IDH-P","Ranking","77","Luxemburgo"
"LVA","IDH","Índice","0.879","Letonia"
"LVA","IDH-P","Índice","0.782","Letonia"
"LVA","IDH","Ranking","35","Letonia"
"LVA","IDH-P","Ranking","29","Letonia"
"MAR","IDH","Índice","0.698","Marruecos"
"MAR","IDH-P","Índice","0.672","Marruecos"
"MAR","IDH","Ranking","98","Marruecos"
"MAR","IDH-P","Ranking","87","Marruecos"
"MDA","IDH","Índice","0.763","Moldavia"
"MDA","IDH-P","Índice","0.731","Moldavia"
"MDA","IDH","Ranking","71","Moldavia"
"MDA","IDH-P","Ranking","55","Moldavia"
"MDG","IDH","Índice","0.487","Madagascar"
"MDG","IDH-P","Índice","0.483","Madagascar"
"MDG","IDH","Ranking","140","Madagascar"
"MDG","IDH-P","Ranking","138","Madagascar"
"MEX","IDH","Índice","0.781","México"
"MEX","IDH-P","Índice","0.734","México"
"MEX","IDH","Ranking","63","México"
"MEX","IDH-P","Ranking","50","México"
"MKD","IDH","Índice","0.765","Macedonia del Norte"
"MKD","IDH-P","Índice","0.715","Macedonia del Norte"
"MKD","IDH","Ranking","69","Macedonia del Norte"
"MKD","IDH-P","Ranking","62","Macedonia del Norte"
"MLI","IDH","Índice","0.41","Malí"
"MLI","IDH-P","Índice","0.404","Malí"
"MLI","IDH","Ranking","149","Malí"
"MLI","IDH-P","Ranking","149","Malí"
"MLT","IDH","Índice","0.915","Malta"
"MLT","IDH-P","Índice","0.806","Malta"
"MLT","IDH","Ranking","24","Malta"
"MLT","IDH-P","Ranking","18","Malta"
"MMR","IDH","Índice","0.608","Myanmar"
"MMR","IDH-P","Índice","0.596","Myanmar"
"MMR","IDH","Ranking","112","Myanmar"
"MMR","IDH-P","Ranking","106","Myanmar"
"MNG","IDH","Índice","0.741","Mongolia"
"MNG","IDH-P","Índice","0.619","Mongolia"
"MNG","IDH","Ranking","79","Mongolia"
"MNG","IDH-P","Ranking","102","Mongolia"
"MOZ","IDH","Índice","0.461","Mozambique"
"MOZ","IDH-P","Índice","0.456","Mozambique"
"MOZ","IDH","Ranking","144","Mozambique"
"MOZ","IDH-P","Ranking","143","Mozambique"
"MRT","IDH","Índice","0.54","Mauritania"
"MRT","IDH-P","Índice","0.52","Mauritania"
"MRT","IDH","Ranking","128","Mauritania"
"MRT","IDH-P","Ranking","129","Mauritania"
"MWI","IDH","Índice","0.508","Malawi"
"MWI","IDH-P","Índice","0.501","Malawi"
"MWI","IDH","Ranking","134","Malawi"
"MWI","IDH-P","Ranking","132","Malawi"
"MYS","IDH","Índice","0.807","Malasia"
"MYS","IDH-P","Índice","0.704","Malasia"
"MYS","IDH","Ranking","54","Malasia"
"MYS","IDH-P","Ranking","65","Malasia"
"NAM","IDH","Índice","0.61","Namibia"
"NAM","IDH-P","Índice","0.584","Namibia"
"NAM","IDH","Ranking","111","Namibia"
"NAM","IDH-P","Ranking","110","Namibia"
"NER","IDH","Índice","0.394","Níger"
"NER","IDH-P","Índice","0.389","Níger"
"NER","IDH","Ranking","150","Níger"
"NER","IDH-P","Ranking","150","Níger"
"NGA","IDH","Índice","0.548","Nigeria"
"NGA","IDH-P","Índice","0.539","Nigeria"
"NGA","IDH","Ranking","125","Nigeria"
"NGA","IDH-P","Ranking","126","Nigeria"
"NIC","IDH","Índice","0.669","Nicaragua"
"NIC","IDH-P","Índice","0.642","Nicaragua"
"NIC","IDH","Ranking","105","Nicaragua"
"NIC","IDH-P","Ranking","99","Nicaragua"
"NLD","IDH","Índice","0.946","Países Bajos"
"NLD","IDH-P","Índice","0.796","Países Bajos"
"NLD","IDH","Ranking","10","Países Bajos"
"NLD","IDH-P","Ranking","21","Países Bajos"
"NOR","IDH","Índice","0.966","Noruega"
"NOR","IDH-P","Índice","0.808","Noruega"
"NOR","IDH","Ranking","2","Noruega"
"NOR","IDH-P","Ranking","14","Noruega"
"NPL","IDH","Índice","0.601","Nepal"
"NPL","IDH-P","Índice","0.581","Nepal"
"NPL","IDH","Ranking","115","Nepal"
"NPL","IDH-P","Ranking","112","Nepal"
"NZL","IDH","Índice","0.939","Nueva Zelanda"
"NZL","IDH-P","Índice","0.814","Nueva Zelanda"
"NZL","IDH","Ranking","14","Nueva Zelanda"
"NZL","IDH-P","Ranking","11","Nueva Zelanda"
"OMN","IDH","Índice","0.819","Omán"
"OMN","IDH-P","Índice","0.593","Omán"
"OMN","IDH","Ranking","52","Omán"
"OMN","IDH-P","Ranking","107","Omán"
"PAK","IDH","Índice","0.54","Pakistán"
"PAK","IDH-P","Índice","0.528","Pakistán"
"PAK","IDH","Ranking","129","Pakistán"
"PAK","IDH-P","Ranking","127","Pakistán"
"PAN","IDH","Índice","0.82","Panamá"
"PAN","IDH-P","Índice","0.773","Panamá"
"PAN","IDH","Ranking","51","Panamá"
"PAN","IDH-P","Ranking","34","Panamá"
"PER","IDH","Índice","0.762","Perú"
"PER","IDH-P","Índice","0.733","Perú"
"PER","IDH","Ranking","72","Perú"
"PER","IDH-P","Ranking","52","Perú"
"PHL","IDH","Índice","0.71","Filipinas"
"PHL","IDH-P","Índice","0.687","Filipinas"
"PHL","IDH","Ranking","91","Filipinas"
"PHL","IDH-P","Ranking","75","Filipinas"
"PNG","IDH","Índice","0.568","Papua Nueva Guinea"
"PNG","IDH-P","Índice","0.558","Papua Nueva Guinea"
"PNG","IDH","Ranking","121","Papua Nueva Guinea"
"PNG","IDH-P","Ranking","120","Papua Nueva Guinea"
"POL","IDH","Índice","0.881","Polonia"
"POL","IDH-P","Índice","0.78","Polonia"
"POL","IDH","Ranking","33","Polonia"
"POL","IDH-P","Ranking","31","Polonia"
"PRT","IDH","Índice","0.874","Portugal"
"PRT","IDH-P","Índice","0.807","Portugal"
"PRT","IDH","Ranking","39","Portugal"
"PRT","IDH-P","Ranking","16","Portugal"
"PRY","IDH","Índice","0.731","Paraguay"
"PRY","IDH-P","Índice","0.684","Paraguay"
"PRY","IDH","Ranking","83","Paraguay"
"PRY","IDH-P","Ranking","79","Paraguay"
"PSE","IDH","Índice","0.716","Palestina"
"PSE","IDH-P","Índice","0.695","Palestina"
"PSE","IDH","Ranking","89","Palestina"
"PSE","IDH-P","Ranking","71","Palestina"
"QAT","IDH","Índice","0.875","Qatar"
"QAT","IDH-P","Índice","0.45","Qatar"
"QAT","IDH","Ranking","37","Qatar"
"QAT","IDH-P","Ranking","145","Qatar"
"ROU","IDH","Índice","0.827","Rumania"
"ROU","IDH-P","Índice","0.759","Rumania"
"ROU","IDH","Ranking","47","Rumania"
"ROU","IDH-P","Ranking","41","Rumania"
"RUS","IDH","Índice","0.821","Rusia"
"RUS","IDH-P","Índice","0.725","Rusia"
"RUS","IDH","Ranking","49","Rusia"
"RUS","IDH-P","Ranking","58","Rusia"
"RWA","IDH","Índice","0.548","Ruanda"
"RWA","IDH-P","Índice","0.541","Ruanda"
"RWA","IDH","Ranking","126","Ruanda"
"RWA","IDH-P","Ranking","123","Ruanda"
"SAU","IDH","Índice","0.875","Arabia Saudita"
"SAU","IDH-P","Índice","0.69","Arabia Saudita"
"SAU","IDH","Ranking","38","Arabia Saudita"
"SAU","IDH-P","Ranking","72","Arabia Saudita"
"SDN","IDH","Índice","0.516","Sudán"
"SDN","IDH-P","Índice","0.506","Sudán"
"SDN","IDH","Ranking","132","Sudán"
"SDN","IDH-P","Ranking","130","Sudán"
"SEN","IDH","Índice","0.517","Senegal"
"SEN","IDH-P","Índice","0.503","Senegal"
"SEN","IDH","Ranking","131","Senegal"
"SEN","IDH-P","Ranking","131","Senegal"
"SGP","IDH","Índice","0.949","Singapur"
"SGP","IDH-P","Índice","0.745","Singapur"
"SGP","IDH","Ranking","8","Singapur"
"SGP","IDH-P","Ranking","46","Singapur"
"SLE","IDH","Índice","0.458","Sierra Leona"
"SLE","IDH-P","Índice","0.452","Sierra Leona"
"SLE","IDH","Ranking","145","Sierra Leona"
"SLE","IDH-P","Ranking","144","Sierra Leona"
"SLV","IDH","Índice","0.674","El Salvador"
"SLV","IDH-P","Índice","0.649","El Salvador"
"SLV","IDH","Ranking","102","El Salvador"
"SLV","IDH-P","Ranking","97","El Salvador"
"SOM","IDH","Índice","0.38","Somalia"
"SOM","IDH-P","Índice","0.376","Somalia"
"SOM","IDH","Ranking","154","Somalia"
"SOM","IDH-P","Ranking","153","Somalia"
"SRB","IDH","Índice","0.805","Serbia"
"SRB","IDH-P","Índice","0.732","Serbia"
"SRB","IDH","Ranking","56","Serbia"
"SRB","IDH-P","Ranking","54","Serbia"
"SSD","IDH","Índice","0.381","Sudán del Sur"
"SSD","IDH-P","Índice","0.376","Sudán del Sur"
"SSD","IDH","Ranking","153","Sudán del Sur"
"SSD","IDH-P","Ranking","154","Sudán del Sur"
"SVK","IDH","Índice","0.855","Eslovaquia"
"SVK","IDH-P","Índice","0.776","Eslovaquia"
"SVK","IDH","Ranking","41","Eslovaquia"
"SVK","IDH-P","Ranking","32","Eslovaquia"
"SVN","IDH","Índice","0.926","Eslovenia"
"SVN","IDH-P","Índice","0.832","Eslovenia"
"SVN","IDH","Ranking","21","Eslovenia"
"SVN","IDH-P","Ranking","6","Eslovenia"
"SWE","IDH","Índice","0.952","Suecia"
"SWE","IDH-P","Índice","0.839","Suecia"
"SWE","IDH","Ranking","5","Suecia"
"SWE","IDH-P","Ranking","4","Suecia"
"TCD","IDH","Índice","0.394","Chad"
"TCD","IDH-P","Índice","0.382","Chad"
"TCD","IDH","Ranking","151","Chad"
"TCD","IDH-P","Ranking","152","Chad"
"TGO","IDH","Índice","0.547","Togo"
"TGO","IDH-P","Índice","0.541","Togo"
"TGO","IDH","Ranking","127","Togo"
"TGO","IDH-P","Ranking","124","Togo"
"THA","IDH","Índice","0.803","Tailandia"
"THA","IDH-P","Índice","0.75","Tailandia"
"THA","IDH","Ranking","57","Tailandia"
"THA","IDH-P","Ranking","43","Tailandia"
"TJK","IDH","Índice","0.679","Tayikistán"
"TJK","IDH-P","Índice","0.664","Tayikistán"
"TJK","IDH","Ranking","101","Tayikistán"
"TJK","IDH-P","Ranking","91","Tayikistán"
"TKM","IDH","Índice","0.744","Turkmenistán"
"TKM","IDH-P","Índice","0.662","Turkmenistán"
"TKM","IDH","Ranking","78","Turkmenistán"
"TKM","IDH-P","Ranking","94","Turkmenistán"
"TUN","IDH","Índice","0.732","Túnez"
"TUN","IDH-P","Índice","0.701","Túnez"
"TUN","IDH","Ranking","82","Túnez"
"TUN","IDH-P","Ranking","68","Túnez"
"TUR","IDH","Índice","0.855","Turquía"
"TUR","IDH-P","Índice","0.783","Turquía"
"TUR","IDH","Ranking","42","Turquía"
"TUR","IDH-P","Ranking","26","Turquía"
"TZA","IDH","Índice","0.532","Tanzanía"
"TZA","IDH-P","Índice","0.525","Tanzanía"
"TZA","IDH","Ranking","130","Tanzanía"
"TZA","IDH-P","Ranking","128","Tanzanía"
"UGA","IDH","Índice","0.55","Uganda"
"UGA","IDH-P","Índice","0.543","Uganda"
"UGA","IDH","Ranking","123","Uganda"
