geocodigoFundar,geonombreFundar,anio,idha_subdimension,valor
AGO,Angola,1900,Años de escolarización,0.0024700384609097
AGO,Angola,1900,Democracia liberal,0.035
AGO,Angola,1900,PIB per cápita,0.3143699514684274
AGO,Angola,1900,Esperanza de vida,0.0191747201441465
AGO,Angola,1900,Total,0.0268680071717636
AGO,Angola,1913,Años de escolarización,0.0024700384609097
AGO,Angola,1913,Democracia liberal,0.035
AGO,Angola,1913,PIB per cápita,0.3126422294441221
AGO,Angola,1913,Esperanza de vida,0.0191747201441465
AGO,Angola,1913,Total,0.0268310153847963
AGO,Angola,1925,Años de escolarización,0.0024700384609097
AGO,Angola,1925,Democracia liberal,0.035
AGO,Angola,1925,PIB per cápita,0.3099536903314555
AGO,Angola,1925,Esperanza de vida,0.0191747201441465
AGO,Angola,1925,Total,0.0267731456980051
AGO,Angola,1929,Años de escolarización,0.0024700384609097
AGO,Angola,1929,Democracia liberal,0.035
AGO,Angola,1929,PIB per cápita,0.317543052892379
AGO,Angola,1929,Esperanza de vida,0.0191747201441465
AGO,Angola,1929,Total,0.0269355502864254
AGO,Angola,1933,Años de escolarización,0.0024700384609097
AGO,Angola,1933,Democracia liberal,0.036
AGO,Angola,1933,PIB per cápita,0.3123326597363633
AGO,Angola,1933,Esperanza de vida,0.0191747201441465
AGO,Angola,1933,Total,0.0270139544062407
AGO,Angola,1938,Años de escolarización,0.0024700384609097
AGO,Angola,1938,Democracia liberal,0.034
AGO,Angola,1938,PIB per cápita,0.3263085374699613
AGO,Angola,1938,Esperanza de vida,0.0272960441813695
AGO,Angola,1938,Total,0.0294088265183664
AGO,Angola,1950,Años de escolarización,0.0024700384609097
AGO,Angola,1950,Democracia liberal,0.034
AGO,Angola,1950,PIB per cápita,0.3824494048450129
AGO,Angola,1950,Esperanza de vida,0.0402367049787897
AGO,Angola,1950,Total,0.0337166763971895
AGO,Angola,1955,Años de escolarización,0.0024700384609097
AGO,Angola,1955,Democracia liberal,0.034
AGO,Angola,1955,PIB per cápita,0.396738792309659
AGO,Angola,1955,Esperanza de vida,0.0491183938124043
AGO,Angola,1955,Total,0.0357670287772534
AGO,Angola,1960,Años de escolarización,0.0029660350070301
AGO,Angola,1960,Democracia liberal,0.034
AGO,Angola,1960,PIB per cápita,0.4108928359250824
AGO,Angola,1960,Esperanza de vida,0.0543041034419238
AGO,Angola,1960,Total,0.0387305890055157
AGO,Angola,1965,Años de escolarización,0.0052063009665637
AGO,Angola,1965,Democracia liberal,0.034
AGO,Angola,1965,PIB per cápita,0.4501971741415801
AGO,Angola,1965,Esperanza de vida,0.0636351635636271
AGO,Angola,1965,Total,0.0474544592771557
AGO,Angola,1970,Años de escolarización,0.007460241065434
AGO,Angola,1970,Democracia liberal,0.035
AGO,Angola,1970,PIB per cápita,0.4668263573778715
AGO,Angola,1970,Esperanza de vida,0.0735936759540356
AGO,Angola,1970,Total,0.0547273214322319
AGO,Angola,1975,Años de escolarización,0.0158444259983853
AGO,Angola,1975,Democracia liberal,0.047
AGO,Angola,1975,PIB per cápita,0.3856612253349697
AGO,Angola,1975,Esperanza de vida,0.0839331780097097
AGO,Angola,1975,Total,0.0700694168542273
AGO,Angola,1980,Años de escolarización,0.0244234034057513
AGO,Angola,1980,Democracia liberal,0.05
AGO,Angola,1980,PIB per cápita,0.3678449524221141
AGO,Angola,1980,Esperanza de vida,0.0910205005150662
AGO,Angola,1980,Total,0.0799640996833379
AGO,Angola,1985,Años de escolarización,0.0371327145081679
AGO,Angola,1985,Democracia liberal,0.051
AGO,Angola,1985,PIB per cápita,0.3337160851687143
AGO,Angola,1985,Esperanza de vida,0.0945601345065191
AGO,Angola,1985,Total,0.0879231064720262
AGO,Angola,1990,Años de escolarización,0.0502950872642486
AGO,Angola,1990,Democracia liberal,0.056
AGO,Angola,1990,PIB per cápita,0.3512418708795485
AGO,Angola,1990,Esperanza de vida,0.0983878126002157
AGO,Angola,1990,Total,0.0993265371964056
AGO,Angola,1995,Años de escolarización,0.0571283315567835
AGO,Angola,1995,Democracia liberal,0.084
AGO,Angola,1995,PIB per cápita,0.2994012202315759
AGO,Angola,1995,Esperanza de vida,0.1214462929382169
AGO,Angola,1995,Total,0.1149323174861076
AGO,Angola,2000,Años de escolarización,0.0640904112688682
AGO,Angola,2000,Democracia liberal,0.084
AGO,Angola,2000,PIB per cápita,0.3239761812409253
AGO,Angola,2000,Esperanza de vida,0.1225164082938267
AGO,Angola,2000,Total,0.1209051835650274
AGO,Angola,2005,Años de escolarización,0.0999889973175395
AGO,Angola,2005,Democracia liberal,0.099
AGO,Angola,2005,PIB per cápita,0.3791996847249792
AGO,Angola,2005,Esperanza de vida,0.1592881865413436
AGO,Angola,2005,Total,0.1563722682566492
AGO,Angola,2010,Años de escolarización,0.1397570119256107
AGO,Angola,2010,Democracia liberal,0.149
AGO,Angola,2010,PIB per cápita,0.4500165716195195
AGO,Angola,2010,Esperanza de vida,0.1994155041250088
AGO,Angola,2010,Total,0.2079154802045855
AGO,Angola,2015,Años de escolarización,0.1489828278804335
AGO,Angola,2015,Democracia liberal,0.148
AGO,Angola,2015,PIB per cápita,0.4646336124664548
AGO,Angola,2015,Esperanza de vida,0.2352547299575216
AGO,Angola,2015,Total,0.2215703936490792
AGO,Angola,2020,Años de escolarización,0.1654697129834675
AGO,Angola,2020,Democracia liberal,0.2
AGO,Angola,2020,PIB per cápita,0.420935071697884
AGO,Angola,2020,Esperanza de vida,0.2516092747284714
AGO,Angola,2020,Total,0.2433170636695323
DESHUM_AHDI.EAS,Asia Oriental,1870,Años de escolarización,0.0080678803383462
DESHUM_AHDI.EAS,Asia Oriental,1870,Democracia liberal,0.0264523797378163
DESHUM_AHDI.EAS,Asia Oriental,1870,PIB per cápita,0.2767400063801233
DESHUM_AHDI.EAS,Asia Oriental,1870,Esperanza de vida,0.0191747201441465
DESHUM_AHDI.EAS,Asia Oriental,1870,Total,0.0326216778334975
DESHUM_AHDI.EAS,Asia Oriental,1880,Años de escolarización,0.008054969868289
DESHUM_AHDI.EAS,Asia Oriental,1880,Democracia liberal,0.0266796612197676
DESHUM_AHDI.EAS,Asia Oriental,1880,PIB per cápita,0.3015602984829462
DESHUM_AHDI.EAS,Asia Oriental,1880,Esperanza de vida,0.0191747201441465
DESHUM_AHDI.EAS,Asia Oriental,1880,Total,0.0333877272748704
DESHUM_AHDI.EAS,Asia Oriental,1890,Años de escolarización,0.0081369022595519
DESHUM_AHDI.EAS,Asia Oriental,1890,Democracia liberal,0.0343918507170391
DESHUM_AHDI.EAS,Asia Oriental,1890,PIB per cápita,0.3093640997448859
DESHUM_AHDI.EAS,Asia Oriental,1890,Esperanza de vida,0.0191747201441465
DESHUM_AHDI.EAS,Asia Oriental,1890,Total,0.0358945405478517
DESHUM_AHDI.EAS,Asia Oriental,1900,Años de escolarización,0.0089219133941037
DESHUM_AHDI.EAS,Asia Oriental,1900,Democracia liberal,0.0429921442594452
DESHUM_AHDI.EAS,Asia Oriental,1900,PIB per cápita,0.3247629926794244
DESHUM_AHDI.EAS,Asia Oriental,1900,Esperanza de vida,0.0196716664117481
DESHUM_AHDI.EAS,Asia Oriental,1900,Total,0.0395652303780473
DESHUM_AHDI.EAS,Asia Oriental,1913,Años de escolarización,0.0103958994937652
DESHUM_AHDI.EAS,Asia Oriental,1913,Democracia liberal,0.0470979681503149
DESHUM_AHDI.EAS,Asia Oriental,1913,PIB per cápita,0.3439689303577976
DESHUM_AHDI.EAS,Asia Oriental,1913,Esperanza de vida,0.0273964186724583
DESHUM_AHDI.EAS,Asia Oriental,1913,Total,0.0463467530178126
DESHUM_AHDI.EAS,Asia Oriental,1925,Años de escolarización,0.0194346776206858
DESHUM_AHDI.EAS,Asia Oriental,1925,Democracia liberal,0.0539090830733261
DESHUM_AHDI.EAS,Asia Oriental,1925,PIB per cápita,0.3682465190032012
DESHUM_AHDI.EAS,Asia Oriental,1925,Esperanza de vida,0.0412050039516331
DESHUM_AHDI.EAS,Asia Oriental,1925,Total,0.0631439831789489
DESHUM_AHDI.EAS,Asia Oriental,1929,Años de escolarización,0.0224923719973271
DESHUM_AHDI.EAS,Asia Oriental,1929,Democracia liberal,0.0541142378536819
DESHUM_AHDI.EAS,Asia Oriental,1929,PIB per cápita,0.3833524681719991
DESHUM_AHDI.EAS,Asia Oriental,1929,Esperanza de vida,0.0479907900166503
DESHUM_AHDI.EAS,Asia Oriental,1929,Total,0.0687900684687065
DESHUM_AHDI.EAS,Asia Oriental,1933,Años de escolarización,0.028652944428535
DESHUM_AHDI.EAS,Asia Oriental,1933,Democracia liberal,0.0571276976653907
DESHUM_AHDI.EAS,Asia Oriental,1933,PIB per cápita,0.3753936373352059
DESHUM_AHDI.EAS,Asia Oriental,1933,Esperanza de vida,0.0586487838782637
DESHUM_AHDI.EAS,Asia Oriental,1933,Total,0.077480153850801
DESHUM_AHDI.EAS,Asia Oriental,1938,Años de escolarización,0.0343480179831693
DESHUM_AHDI.EAS,Asia Oriental,1938,Democracia liberal,0.0661054790585253
DESHUM_AHDI.EAS,Asia Oriental,1938,PIB per cápita,0.3901270027923809
DESHUM_AHDI.EAS,Asia Oriental,1938,Esperanza de vida,0.0714855167179707
DESHUM_AHDI.EAS,Asia Oriental,1938,Total,0.0892053296805261
DESHUM_AHDI.EAS,Asia Oriental,1950,Años de escolarización,0.0513835435189072
DESHUM_AHDI.EAS,Asia Oriental,1950,Democracia liberal,0.158149942572593
DESHUM_AHDI.EAS,Asia Oriental,1950,PIB per cápita,0.3425799428419011
DESHUM_AHDI.EAS,Asia Oriental,1950,Esperanza de vida,0.1020972618170038
DESHUM_AHDI.EAS,Asia Oriental,1950,Total,0.1298426226775739
DESHUM_AHDI.EAS,Asia Oriental,1955,Años de escolarización,0.0618714270922003
DESHUM_AHDI.EAS,Asia Oriental,1955,Democracia liberal,0.1810789367709761
DESHUM_AHDI.EAS,Asia Oriental,1955,PIB per cápita,0.3717757273788884
DESHUM_AHDI.EAS,Asia Oriental,1955,Esperanza de vida,0.1195757510798486
DESHUM_AHDI.EAS,Asia Oriental,1955,Total,0.14938966543623
DESHUM_AHDI.EAS,Asia Oriental,1960,Años de escolarización,0.0730905826667689
DESHUM_AHDI.EAS,Asia Oriental,1960,Democracia liberal,0.1503414961166464
DESHUM_AHDI.EAS,Asia Oriental,1960,PIB per cápita,0.3860885583546539
DESHUM_AHDI.EAS,Asia Oriental,1960,Esperanza de vida,0.1314989399030334
DESHUM_AHDI.EAS,Asia Oriental,1960,Total,0.1536870833794348
DESHUM_AHDI.EAS,Asia Oriental,1965,Años de escolarización,0.0886869184242564
DESHUM_AHDI.EAS,Asia Oriental,1965,Democracia liberal,0.1125211259679641
DESHUM_AHDI.EAS,Asia Oriental,1965,PIB per cápita,0.4033497401543285
DESHUM_AHDI.EAS,Asia Oriental,1965,Esperanza de vida,0.1528221986972078
DESHUM_AHDI.EAS,Asia Oriental,1965,Total,0.1574854605634924
DESHUM_AHDI.EAS,Asia Oriental,1970,Años de escolarización,0.1087813010357939
DESHUM_AHDI.EAS,Asia Oriental,1970,Democracia liberal,0.0991096382080772
DESHUM_AHDI.EAS,Asia Oriental,1970,PIB per cápita,0.4335577344540249
DESHUM_AHDI.EAS,Asia Oriental,1970,Esperanza de vida,0.1731362426627093
DESHUM_AHDI.EAS,Asia Oriental,1970,Total,0.1686655032747799
DESHUM_AHDI.EAS,Asia Oriental,1975,Años de escolarización,0.1254221330903452
DESHUM_AHDI.EAS,Asia Oriental,1975,Democracia liberal,0.0859643886213448
DESHUM_AHDI.EAS,Asia Oriental,1975,PIB per cápita,0.4686095734718716
DESHUM_AHDI.EAS,Asia Oriental,1975,Esperanza de vida,0.1946014028558903
DESHUM_AHDI.EAS,Asia Oriental,1975,Total,0.1770771286819364
DESHUM_AHDI.EAS,Asia Oriental,1980,Años de escolarización,0.1478902739942855
DESHUM_AHDI.EAS,Asia Oriental,1980,Democracia liberal,0.0834296652410811
DESHUM_AHDI.EAS,Asia Oriental,1980,PIB per cápita,0.5096956455964625
DESHUM_AHDI.EAS,Asia Oriental,1980,Esperanza de vida,0.2231050996443986
DESHUM_AHDI.EAS,Asia Oriental,1980,Total,0.1935397313199452
DESHUM_AHDI.EAS,Asia Oriental,1985,Años de escolarización,0.1629099172046726
DESHUM_AHDI.EAS,Asia Oriental,1985,Democracia liberal,0.0908134937175335
DESHUM_AHDI.EAS,Asia Oriental,1985,PIB per cápita,0.5305856494217855
DESHUM_AHDI.EAS,Asia Oriental,1985,Esperanza de vida,0.2532661535145821
DESHUM_AHDI.EAS,Asia Oriental,1985,Total,0.2111580487935825
DESHUM_AHDI.EAS,Asia Oriental,1990,Años de escolarización,0.1779260084395599
DESHUM_AHDI.EAS,Asia Oriental,1990,Democracia liberal,0.1788713610793794
DESHUM_AHDI.EAS,Asia Oriental,1990,PIB per cápita,0.5761163888681585
DESHUM_AHDI.EAS,Asia Oriental,1990,Esperanza de vida,0.2947933080716398
DESHUM_AHDI.EAS,Asia Oriental,1990,Total,0.2711452648508496
DESHUM_AHDI.EAS,Asia Oriental,1995,Años de escolarización,0.1996503986239477
DESHUM_AHDI.EAS,Asia Oriental,1995,Democracia liberal,0.1960665057794375
DESHUM_AHDI.EAS,Asia Oriental,1995,PIB per cápita,0.6212555391783904
DESHUM_AHDI.EAS,Asia Oriental,1995,Esperanza de vida,0.3180187261766524
DESHUM_AHDI.EAS,Asia Oriental,1995,Total,0.2965508270648252
DESHUM_AHDI.EAS,Asia Oriental,2000,Años de escolarización,0.2197963690945617
DESHUM_AHDI.EAS,Asia Oriental,2000,Democracia liberal,0.396326033135307
DESHUM_AHDI.EAS,Asia Oriental,2000,PIB per cápita,0.6372001193378432
DESHUM_AHDI.EAS,Asia Oriental,2000,Esperanza de vida,0.3378305785292934
DESHUM_AHDI.EAS,Asia Oriental,2000,Total,0.3700513389194438
DESHUM_AHDI.EAS,Asia Oriental,2005,Años de escolarización,0.252283424935263
DESHUM_AHDI.EAS,Asia Oriental,2005,Democracia liberal,0.3962647669086394
DESHUM_AHDI.EAS,Asia Oriental,2005,PIB per cápita,0.6668272122041035
DESHUM_AHDI.EAS,Asia Oriental,2005,Esperanza de vida,0.3579884341528972
DESHUM_AHDI.EAS,Asia Oriental,2005,Total,0.3930421456667552
DESHUM_AHDI.EAS,Asia Oriental,2010,Años de escolarización,0.2842805776651632
DESHUM_AHDI.EAS,Asia Oriental,2010,Democracia liberal,0.3915855765671249
DESHUM_AHDI.EAS,Asia Oriental,2010,PIB per cápita,0.6969345733142769
DESHUM_AHDI.EAS,Asia Oriental,2010,Esperanza de vida,0.3782364468385013
DESHUM_AHDI.EAS,Asia Oriental,2010,Total,0.4138875046567035
DESHUM_AHDI.EAS,Asia Oriental,2015,Años de escolarización,0.2981678774855692
DESHUM_AHDI.EAS,Asia Oriental,2015,Democracia liberal,0.3748071230247293
DESHUM_AHDI.EAS,Asia Oriental,2015,PIB per cápita,0.7221052079674196
DESHUM_AHDI.EAS,Asia Oriental,2015,Esperanza de vida,0.3976591455879366
DESHUM_AHDI.EAS,Asia Oriental,2015,Total,0.4232481178180789
DESHUM_AHDI.EAS,Asia Oriental,2020,Años de escolarización,0.3308115551530537
DESHUM_AHDI.EAS,Asia Oriental,2020,Democracia liberal,0.3529763402961641
DESHUM_AHDI.EAS,Asia Oriental,2020,PIB per cápita,0.7380797870480437
DESHUM_AHDI.EAS,Asia Oriental,2020,Esperanza de vida,0.4047725012494014
DESHUM_AHDI.EAS,Asia Oriental,2020,Total,0.4321755017042772
DESHUM_AHDI.EEU,Europa Oriental,1870,Años de escolarización,0.0399497147717899
DESHUM_AHDI.EEU,Europa Oriental,1870,Democracia liberal,0.1156595216311593
DESHUM_AHDI.EEU,Europa Oriental,1870,PIB per cápita,0.3665048699346223
DESHUM_AHDI.EEU,Europa Oriental,1870,Esperanza de vida,0.0476168016947805
DESHUM_AHDI.EEU,Europa Oriental,1870,Total,0.0947619003545525
DESHUM_AHDI.EEU,Europa Oriental,1880,Años de escolarización,0.0445173986782429
DESHUM_AHDI.EEU,Europa Oriental,1880,Democracia liberal,0.1286358485201286
DESHUM_AHDI.EEU,Europa Oriental,1880,PIB per cápita,0.3930758925815173
DESHUM_AHDI.EEU,Europa Oriental,1880,Esperanza de vida,0.0503443862735375
DESHUM_AHDI.EEU,Europa Oriental,1880,Total,0.1031762677079134
DESHUM_AHDI.EEU,Europa Oriental,1890,Años de escolarización,0.0510347410385671
DESHUM_AHDI.EEU,Europa Oriental,1890,Democracia liberal,0.125184428059049
DESHUM_AHDI.EEU,Europa Oriental,1890,PIB per cápita,0.4158441992854929
DESHUM_AHDI.EEU,Europa Oriental,1890,Esperanza de vida,0.0551427298592993
DESHUM_AHDI.EEU,Europa Oriental,1890,Total,0.1100167430046926
DESHUM_AHDI.EEU,Europa Oriental,1900,Años de escolarización,0.0589864667585788
DESHUM_AHDI.EEU,Europa Oriental,1900,Democracia liberal,0.1301323933345541
DESHUM_AHDI.EEU,Europa Oriental,1900,PIB per cápita,0.4392651031748298
DESHUM_AHDI.EEU,Europa Oriental,1900,Esperanza de vida,0.0733531477116724
DESHUM_AHDI.EEU,Europa Oriental,1900,Total,0.1254067215592654
DESHUM_AHDI.EEU,Europa Oriental,1913,Años de escolarización,0.0739296110805805
DESHUM_AHDI.EEU,Europa Oriental,1913,Democracia liberal,0.1441355023261662
DESHUM_AHDI.EEU,Europa Oriental,1913,PIB per cápita,0.4586086688246348
DESHUM_AHDI.EEU,Europa Oriental,1913,Esperanza de vida,0.0884599730858466
DESHUM_AHDI.EEU,Europa Oriental,1913,Total,0.1441931443989964
DESHUM_AHDI.EEU,Europa Oriental,1925,Años de escolarización,0.0942165113287827
DESHUM_AHDI.EEU,Europa Oriental,1925,Democracia liberal,0.3623399882055188
DESHUM_AHDI.EEU,Europa Oriental,1925,PIB per cápita,0.4699420304275039
DESHUM_AHDI.EEU,Europa Oriental,1925,Esperanza de vida,0.1188145358886629
DESHUM_AHDI.EEU,Europa Oriental,1925,Total,0.2089485142732425
DESHUM_AHDI.EEU,Europa Oriental,1929,Años de escolarización,0.1010257629380792
DESHUM_AHDI.EEU,Europa Oriental,1929,Democracia liberal,0.2655185020375661
DESHUM_AHDI.EEU,Europa Oriental,1929,PIB per cápita,0.4808751816256261
DESHUM_AHDI.EEU,Europa Oriental,1929,Esperanza de vida,0.1349620683309326
DESHUM_AHDI.EEU,Europa Oriental,1929,Total,0.2042644336384995
DESHUM_AHDI.EEU,Europa Oriental,1933,Años de escolarización,0.109931808270739
DESHUM_AHDI.EEU,Europa Oriental,1933,Democracia liberal,0.2454251078188196
DESHUM_AHDI.EEU,Europa Oriental,1933,PIB per cápita,0.4542728138110244
DESHUM_AHDI.EEU,Europa Oriental,1933,Esperanza de vida,0.1370761955656813
DESHUM_AHDI.EEU,Europa Oriental,1933,Total,0.2024558302394084
DESHUM_AHDI.EEU,Europa Oriental,1938,Años de escolarización,0.121625423175307
DESHUM_AHDI.EEU,Europa Oriental,1938,Democracia liberal,0.2233713517705932
DESHUM_AHDI.EEU,Europa Oriental,1938,PIB per cápita,0.4836785243205032
DESHUM_AHDI.EEU,Europa Oriental,1938,Esperanza de vida,0.1616987556477132
DESHUM_AHDI.EEU,Europa Oriental,1938,Total,0.2146984108256873
DESHUM_AHDI.EEU,Europa Oriental,1950,Años de escolarización,0.1447844974044785
DESHUM_AHDI.EEU,Europa Oriental,1950,Democracia liberal,0.0698548888648376
DESHUM_AHDI.EEU,Europa Oriental,1950,PIB per cápita,0.4939222594839632
DESHUM_AHDI.EEU,Europa Oriental,1950,Esperanza de vida,0.2387115811666022
DESHUM_AHDI.EEU,Europa Oriental,1950,Total,0.1858286788595809
DESHUM_AHDI.EEU,Europa Oriental,1955,Años de escolarización,0.1595884281030402
DESHUM_AHDI.EEU,Europa Oriental,1955,Democracia liberal,0.0723715893855005
DESHUM_AHDI.EEU,Europa Oriental,1955,PIB per cápita,0.5217634374261695
DESHUM_AHDI.EEU,Europa Oriental,1955,Esperanza de vida,0.2848682392859341
DESHUM_AHDI.EEU,Europa Oriental,1955,Total,0.2035503227681755
DESHUM_AHDI.EEU,Europa Oriental,1960,Años de escolarización,0.1789754289292678
DESHUM_AHDI.EEU,Europa Oriental,1960,Democracia liberal,0.0849417386125886
DESHUM_AHDI.EEU,Europa Oriental,1960,PIB per cápita,0.555769009664248
DESHUM_AHDI.EEU,Europa Oriental,1960,Esperanza de vida,0.3064631363142414
DESHUM_AHDI.EEU,Europa Oriental,1960,Total,0.2255780206118027
DESHUM_AHDI.EEU,Europa Oriental,1965,Años de escolarización,0.198974788979104
DESHUM_AHDI.EEU,Europa Oriental,1965,Democracia liberal,0.0914559666283018
DESHUM_AHDI.EEU,Europa Oriental,1965,PIB per cápita,0.585662876119185
