"anio","geocodigoFundar","geonombreFundar","share_tourism_gdp"
"2010","DNK","Dinamarca","1.97473"
"2011","DNK","Dinamarca","1.45256"
"2012","DNK","Dinamarca","1.47303"
"2013","DNK","Dinamarca","1.68546"
"2014","DNK","Dinamarca","1.88571"
"2015","DNK","Dinamarca","1.87378"
"2016","DNK","Dinamarca","1.93069"
"2017","DNK","Dinamarca","2.3387"
"2018","DNK","Dinamarca","2.25813"
"2019","DNK","Dinamarca","2.33104"
"2020","DNK","Dinamarca","1.44157"
"2021","DNK","Dinamarca","1.52862"
"2022","DNK","Dinamarca","1.82626"
"2008","ECU","Ecuador","1.82"
"2009","ECU","Ecuador","1.66"
"2010","ECU","Ecuador","1.72"
"2011","ECU","Ecuador","1.86"
"2012","ECU","Ecuador","1.9"
"2013","ECU","Ecuador","1.89"
"2014","ECU","Ecuador","1.96"
"2015","ECU","Ecuador","1.9"
"2016","ECU","Ecuador","1.87"
"2017","ECU","Ecuador","2.07"
"2018","ECU","Ecuador","2.31"
"2019","ECU","Ecuador","2.28"
"2014","SLV","El Salvador","2.95787"
"2015","SLV","El Salvador","3.04613"
"2016","SLV","El Salvador","3.23593"
"2017","SLV","El Salvador","3.49848"
"2018","SLV","El Salvador","3.51677"
"2008","GNQ","Guinea Ecuatorial","2.06047"
"2009","GNQ","Guinea Ecuatorial","3.3102"
"2010","GNQ","Guinea Ecuatorial","3.02377"
"2011","GNQ","Guinea Ecuatorial","3.42152"
"2012","GNQ","Guinea Ecuatorial","3.33852"
"2013","GNQ","Guinea Ecuatorial","4.0366"
"2014","GNQ","Guinea Ecuatorial","4.20741"
"2015","GNQ","Guinea Ecuatorial","5.55118"
"2016","GNQ","Guinea Ecuatorial","6.57985"
"2017","GNQ","Guinea Ecuatorial","5.90738"
"2018","GNQ","Guinea Ecuatorial","5.76993"
"2019","GNQ","Guinea Ecuatorial","6.63587"
"2020","GNQ","Guinea Ecuatorial","7.28841"
"2019","ETH","Etiopía","2.60604"
"2008","EST","Estonia","4.20903"
"2009","EST","Estonia","4.6858"
"2010","EST","Estonia","4.54803"
"2011","EST","Estonia","4.39623"
"2012","EST","Estonia","4.34115"
"2013","EST","Estonia","4.78008"
"2014","EST","Estonia","5.46358"
"2015","EST","Estonia","5.48218"
"2016","EST","Estonia","5.4584"
"2017","EST","Estonia","5.4"
"2008","FJI","Fiji","13"
"2011","FJI","Fiji","11.5"
"2012","FJI","Fiji","11.5"
"2013","FJI","Fiji","12.1"
"2014","FJI","Fiji","13.3"
"2015","FJI","Fiji","13.7"
"2016","FJI","Fiji","12.6"
"2017","FJI","Fiji","13.5"
"2018","FJI","Fiji","12.6"
"2019","FJI","Fiji","11.8"
"2020","FJI","Fiji","0.1"
"2021","FJI","Fiji","-0.1"
"2022","FJI","Fiji","9.9"
"2011","FIN","Finlandia","2.43096"
"2012","FIN","Finlandia","2.51347"
"2013","FIN","Finlandia","2.46268"
"2014","FIN","Finlandia","2.44454"
"2015","FIN","Finlandia","2.45168"
"2016","FIN","Finlandia","2.45966"
"2017","FIN","Finlandia","2.67135"
"2018","FIN","Finlandia","2.69921"
"2019","FIN","Finlandia","2.72993"
"2020","FIN","Finlandia","1.42479"
"2021","FIN","Finlandia","1.50954"
"2022","FIN","Finlandia","1.76731"
"2019","FRA","Francia","3.90442"
"2020","FRA","Francia","2.83936"
"2021","FRA","Francia","3.02301"
"2022","FRA","Francia","3.5561"
"2018","PYF","Polinesia Francesa","7.3"
"2019","PYF","Polinesia Francesa","7.3"
"2022","PYF","Polinesia Francesa","8"
"2009","PSE","Palestina","2.18179"
"2010","PSE","Palestina","2.54769"
"2011","PSE","Palestina","1.9277"
"2012","PSE","Palestina","2.67194"
"2013","PSE","Palestina","2.06816"
"2014","PSE","Palestina","2.59985"
"2015","PSE","Palestina","1.72538"
"2016","PSE","Palestina","2.2035"
"2017","PSE","Palestina","2.55702"
"2018","PSE","Palestina","2.50622"
"2019","PSE","Palestina","2.92609"
"2020","PSE","Palestina","0.66226"
"2010","DEU","Alemania","4.20699"
"2015","DEU","Alemania","4.05767"
"2016","DEU","Alemania","3.99537"
"2017","DEU","Alemania","3.9861"
"2018","DEU","Alemania","3.97426"
"2019","DEU","Alemania","3.85284"
"2020","DEU","Alemania","2.35015"
"2021","DEU","Alemania","2.16005"
"2008","KIR","Kiribati","0.57"
"2009","KIR","Kiribati","0.61"
"2010","KIR","Kiribati","0.52"
"2011","KIR","Kiribati","0.58"
"2012","KIR","Kiribati","0.51"
"2013","KIR","Kiribati","0.53"
"2014","KIR","Kiribati","0.5"
"2015","KIR","Kiribati","0.51"
"2016","KIR","Kiribati","0.6"
"2017","KIR","Kiribati","0.76"
"2018","KIR","Kiribati","0.69"
"2019","KIR","Kiribati","0.72"
"2008","GRC","Grecia","5.38938"
"2009","GRC","Grecia","4.97559"
"2010","GRC","Grecia","5.14477"
"2011","GRC","Grecia","4.94311"
"2012","GRC","Grecia","5.15725"
"2013","GRC","Grecia","6.58306"
"2014","GRC","Grecia","6.5154"
"2015","GRC","Grecia","6.5367"
"2016","GRC","Grecia","6.22253"
"2017","GRC","Grecia","6.68551"
"2018","GRC","Grecia","6.9626"
"2019","GRC","Grecia","7.23507"
"2020","GRC","Grecia","4.32655"
"2021","GRC","Grecia","5.24736"
"2022","GRC","Grecia","6.38193"
"2023","GRC","Grecia","7.14452"
"2010","GUM","Guam","12"
"2015","GUM","Guam","11.2"
"2016","GUM","Guam","12.1"
"2019","GUM","Guam","22"
"2020","GUM","Guam","10.7"
"2021","GUM","Guam","6.3"
"2011","GIN","Guinea","1.67929"
"2012","GIN","Guinea","1.64244"
"2013","GIN","Guinea","1.42904"
"2014","GIN","Guinea","1.24268"
"2015","GIN","Guinea","1.06877"
"2016","GIN","Guinea","1.00476"
"2017","GIN","Guinea","0.9236"
"2008","GUY","Guyana","1.8"
"2009","GUY","Guyana","3.6"
"2010","GUY","Guyana","4.1"
"2011","GUY","Guyana","5.2"
"2012","GUY","Guyana","5.3"
"2013","GUY","Guyana","3.7"
"2014","GUY","Guyana","1.7"
"2015","GUY","Guyana","0.7"
"2016","GUY","Guyana","3.8"
"2017","GUY","Guyana","3.7"
"2018","GUY","Guyana","4.4"
"2019","GUY","Guyana","5.4"
"2020","GUY","Guyana","43.5"
"2021","GUY","Guyana","20"
"2022","GUY","Guyana","63.4"
"2023","GUY","Guyana","33"
"2008","HND","Honduras","6.01026"
"2009","HND","Honduras","6.15837"
"2010","HND","Honduras","6.11338"
"2011","HND","Honduras","6.1221"
"2012","HND","Honduras","6.41284"
"2013","HND","Honduras","6.52312"
"2008","HKG","Hong Kong","2.75619"
"2009","HKG","Hong Kong","3.22415"
"2010","HKG","Hong Kong","4.29704"
"2011","HKG","Hong Kong","4.53393"
"2012","HKG","Hong Kong","4.69859"
"2013","HKG","Hong Kong","5.04638"
"2014","HKG","Hong Kong","5.09956"
"2015","HKG","Hong Kong","5.004"
"2016","HKG","Hong Kong","4.65011"
"2017","HKG","Hong Kong","4.47827"
"2018","HKG","Hong Kong","4.46233"
"2019","HKG","Hong Kong","3.59847"
"2020","HKG","Hong Kong","0.35806"
"2021","HKG","Hong Kong","0.08267"
"2022","HKG","Hong Kong","0.40542"
"2008","HUN","Hungría","2.39971"
"2009","HUN","Hungría","2.37601"
"2010","HUN","Hungría","2.44332"
"2011","HUN","Hungría","2.45379"
"2012","HUN","Hungría","2.56138"
"2013","HUN","Hungría","2.5767"
"2014","HUN","Hungría","2.81388"
"2015","HUN","Hungría","2.72914"
"2016","HUN","Hungría","2.75277"
"2017","HUN","Hungría","2.68701"
"2018","HUN","Hungría","3.04249"
"2019","HUN","Hungría","3.37803"
"2020","HUN","Hungría","1.52213"
"2021","HUN","Hungría","1.6435"
"2009","ISL","Islandia","3.51117"
"2010","ISL","Islandia","3.42677"
"2011","ISL","Islandia","3.68263"
"2012","ISL","Islandia","4.16666"
"2013","ISL","Islandia","4.67865"
"2014","ISL","Islandia","5.47964"
"2015","ISL","Islandia","6.5"
"2016","ISL","Islandia","8.1984"
"2017","ISL","Islandia","7.9837"
"2018","ISL","Islandia","8.08922"
"2019","ISL","Islandia","8.1"
"2020","ISL","Islandia","2.8"
"2021","ISL","Islandia","3.9"
"2022","ISL","Islandia","6.1"
"2009","IND","India","3.68213"
"2010","IND","India","3.67259"
"2011","IND","India","3.04754"
"2012","IND","India","3.10496"
"2013","IND","India","3.06495"
"2014","IND","India","3.13708"
"2015","IND","India","2.64705"
"2016","IND","India","2.62134"
"2017","IND","India","2.61394"
"2018","IND","India","2.60518"
"2019","IND","India","2.69189"
"2020","IND","India","0.77549"
"2021","IND","India","0.90541"
"2022","IND","India","2.5962"
"2008","IDN","Indonesia","4.7"
"2009","IDN","Indonesia","4.17"
"2010","IDN","Indonesia","4.06"
"2011","IDN","Indonesia","4"
"2012","IDN","Indonesia","3.96"
"2013","IDN","Indonesia","4.02"
"2014","IDN","Indonesia","4.13"
"2015","IDN","Indonesia","4.31"
"2016","IDN","Indonesia","4.65054"
"2017","IDN","Indonesia","4.67497"
"2018","IDN","Indonesia","4.91219"
"2019","IDN","Indonesia","4.96633"
"2020","IDN","Indonesia","2.2414"
"2019","IRL","Irlanda","4.76468"
"2008","ISR","Israel","2.6838"
"2009","ISR","Israel","2.52894"
"2010","ISR","Israel","2.76008"
"2011","ISR","Israel","2.69689"
"2012","ISR","Israel","2.74042"
"2013","ISR","Israel","2.61832"
"2014","ISR","Israel","2.52843"
"2015","ISR","Israel","2.59238"
"2016","ISR","Israel","2.5233"
"2017","ISR","Israel","2.55346"
"2018","ISR","Israel","2.64084"
"2019","ISR","Israel","2.58317"
"2020","ISR","Israel","0.7"
"2021","ISR","Israel","1.06784"
"2022","ISR","Israel","1.86797"
"2023","ISR","Israel","1.87597"
"2010","ITA","Italia","5.14858"
"2015","ITA","Italia","5.41026"
"2017","ITA","Italia","5.49858"
"2019","ITA","Italia","5.7128"
"2012","CIV","Costa de Marfil","2.4"
"2013","CIV","Costa de Marfil","3.6"
"2014","CIV","Costa de Marfil","4.8"
"2015","CIV","Costa de Marfil","5.16"
"2016","CIV","Costa de Marfil","5.52"
"2017","CIV","Costa de Marfil","5.89"
"2018","CIV","Costa de Marfil","6.25"
"2019","CIV","Costa de Marfil","7.3"
"2020","CIV","Costa de Marfil","1.5"
"2008","JAM","Jamaica","7.05903"
"2009","JAM","Jamaica","7.2"
"2010","JAM","Jamaica","6.9"
"2011","JAM","Jamaica","6.5"
"2012","JAM","Jamaica","6.4"
"2013","JAM","Jamaica","6.9"
"2014","JAM","Jamaica","7.5"
"2015","JAM","Jamaica","7.8"
"2016","JAM","Jamaica","8.4"
"2017","JAM","Jamaica","9"
"2018","JAM","Jamaica","9.2"
"2019","JAM","Jamaica","9.8"
"2008","JPN","Japón","1.9"
"2009","JPN","Japón","1.8"
"2010","JPN","Japón","1.7"
"2011","JPN","Japón","1.7"
"2012","JPN","Japón","1.7"
"2013","JPN","Japón","1.8"
"2014","JPN","Japón","1.7"
"2015","JPN","Japón","1.8"
"2016","JPN","Japón","2"
"2017","JPN","Japón","2"
"2018","JPN","Japón","1.9"
"2019","JPN","Japón","2"
"2020","JPN","Japón","0.8"
"2021","JPN","Japón","0.6"
"2022","JPN","Japón","1.2"
"2008","KAZ","Kazajstán","1.5"
"2009","KAZ","Kazajstán","1.4"
"2010","KAZ","Kazajstán","1.3"
"2011","KAZ","Kazajstán","1.4"
"2012","KAZ","Kazajstán","1.5"
"2013","KAZ","Kazajstán","1"
"2014","KAZ","Kazajstán","0.9"
"2015","KAZ","Kazajstán","1"
"2016","KAZ","Kazajstán","1.3"
"2017","KAZ","Kazajstán","1.3"
"2018","KAZ","Kazajstán","1.4"
"2019","KAZ","Kazajstán","1.3"
"2020","KAZ","Kazajstán","0.6"
"2021","KAZ","Kazajstán","0.7"
"2022","KAZ","Kazajstán","1"
"2008","JOR","Jordania","6.52815"
"2010","JOR","Jordania","7"
"2012","JOR","Jordania","6.5"
"2016","JOR","Jordania","6"
"2018","JOR","Jordania","5.9"
"2019","KEN","Kenia","4.4"
"2019","KOR","Corea del Sur","2.5"
"2010","KWT","Kuwait","0.72516"
"2011","KWT","Kuwait","0.7041"
"2012","KWT","Kuwait","0.67374"
"2013","KWT","Kuwait","0.72353"
"2014","KWT","Kuwait","0.75628"
"2015","KWT","Kuwait","0.75995"
"2016","KWT","Kuwait","0.71703"
"2017","KWT","Kuwait","0.67344"
"2018","KWT","Kuwait","0.65095"
"2019","KWT","Kuwait","0.63484"
"2020","KWT","Kuwait","0.52313"
"2021","KWT","Kuwait","0.39951"
"2022","KWT","Kuwait","0.46999"
"2023","KWT","Kuwait","0.59416"
"2008","KGZ","Kirguistán","4.2"
"2009","KGZ","Kirguistán","4"
"2010","KGZ","Kirguistán","3.7"
"2011","KGZ","Kirguistán","4.5"
"2012","KGZ","Kirguistán","4.6"
"2013","KGZ","Kirguistán","4.6"
"2014","KGZ","Kirguistán","4.3"
"2015","KGZ","Kirguistán","4.7"
"2016","KGZ","Kirguistán","4.6"
"2017","KGZ","Kirguistán","5"
"2018","KGZ","Kirguistán","5"
"2019","KGZ","Kirguistán","4.4"
"2020","KGZ","Kirguistán","2.9"
"2021","KGZ","Kirguistán","3.2"
"2022","KGZ","Kirguistán","3.6"
"2008","LBN","Líbano","2.2"
"2009","LBN","Líbano","2.9"
"2010","LBN","Líbano","2.9"
"2011","LBN","Líbano","2.8"
"2012","LBN","Líbano","2.6"
"2013","LBN","Líbano","2.6"
"2014","LBN","Líbano","2.8"
"2015","LBN","Líbano","3"
"2016","LBN","Líbano","3"
"2017","LBN","Líbano","3.1"
"2018","LBN","Líbano","3"
"2019","LBN","Líbano","3"
"2020","LBN","Líbano","2"
"2023","LBN","Líbano","9.1"
"2008","LVA","Letonia","4.2"
"2009","LVA","Letonia","3.1"
"2010","LVA","Letonia","3.1"
"2011","LVA","Letonia","3.4"
"2012","LVA","Letonia","4.4"
"2013","LVA","Letonia","4.2"
"2014","LVA","Letonia","4.3"
"2015","LVA","Letonia","4.2"
"2016","LVA","Letonia","4.5"
"2017","LVA","Letonia","4.6"
"2018","LVA","Letonia","4.9"
"2019","LVA","Letonia","4.8"
"2020","LVA","Letonia","3.5"
"2021","LVA","Letonia","2.6"
"2009","LTU","Lituania","2.84"
"2010","LTU","Lituania","2.76"
"2011","LTU","Lituania","2.74"
"2012","LTU","Lituania","2.88"
"2013","LTU","Lituania","2.98"
"2014","LTU","Lituania","3.07"
"2015","LTU","Lituania","3.06"
"2016","LTU","Lituania","3.07"
"2017","LTU","Lituania","3.02"
"2018","LTU","Lituania","2.9"
"2019","LTU","Lituania","2.89"
"2020","LTU","Lituania","1.65"
"2021","LTU","Lituania","1.77"
"2022","LTU","Lituania","2.17"
"2023","LTU","Lituania","2.74"
"2014","LUX","Luxemburgo","1.22728"
"2015","LUX","Luxemburgo","1.16862"
"2016","LUX","Luxemburgo","1.223"
"2017","LUX","Luxemburgo","1.24989"
"2018","LUX","Luxemburgo","1.25069"
"2019","LUX","Luxemburgo","1.24847"
"2020","LUX","Luxemburgo","0.75275"
"2021","LUX","Luxemburgo","0.73459"
"2022","LUX","Luxemburgo","0.79521"
"2010","MAC","Macao","54.97003"
"2011","MAC","Macao","58.82189"
"2012","MAC","Macao","58.78054"
"2013","MAC","Macao","59.65649"
"2014","MAC","Macao","56.2537"
"2015","MAC","Macao","47.8616"
"2016","MAC","Macao","46.97152"
"2017","MAC","Macao","49.98982"
"2018","MAC","Macao","52.27629"
"2019","MAC","Macao","52.58599"
"2020","MAC","Macao","21.49786"
"2021","MAC","Macao","28.00115"
"2022","MAC","Macao","16.64292"
"2013","MWI","Malawi","4.5"
"2014","MWI","Malawi","3.5"
"2015","MWI","Malawi","3.4"
"2016","MWI","Malawi","3.4"
"2017","MWI","Malawi","3.5"
"2018","MWI","Malawi","3.4"
"2019","MWI","Malawi","2.7"
"2020","MWI","Malawi","1.6"
"2008","MYS","Malasia","4.8609"
"2009","MYS","Malasia","5.41632"
"2010","MYS","Malasia","5.56932"
"2011","MYS","Malasia","5.59573"
"2012","MYS","Malasia","5.64891"
"2013","MYS","Malasia","5.9618"
"2014","MYS","Malasia","6.27953"
"2015","MYS","Malasia","6.36879"
"2016","MYS","Malasia","6.56906"
"2017","MYS","Malasia","6.4049"
"2018","MYS","Malasia","6.53253"
"2019","MYS","Malasia","6.76074"
"2020","MYS","Malasia","1.99866"
"2021","MYS","Malasia","0.7529"
"2022","MYS","Malasia","2.67476"
"2023","MYS","Malasia","4.45398"
"2010","MLT","Malta","5.9"
"2008","MTQ","Martinica","4.66594"
"2009","MTQ","Martinica","4.86705"
"2010","MTQ","Martinica","5.20199"
"2011","MTQ","Martinica","5.22271"
"2012","MTQ","Martinica","5.1136"
"2013","MTQ","Martinica","5.18047"
"2014","MTQ","Martinica","4.7"
"2015","MTQ","Martinica","5"
"2016","MTQ","Martinica","5.2"
"2017","MTQ","Martinica","5.64481"
"2018","MTQ","Martinica","5.3"
"2019","MTQ","Martinica","5.4"
"2010","MUS","Mauricio","9.6"
"2011","MUS","Mauricio","10"
"2012","MUS","Mauricio","9.9"
"2013","MUS","Mauricio","9"
"2014","MUS","Mauricio","9.1"
"2015","MUS","Mauricio","9.2"
"2016","MUS","Mauricio","9.2"
"2017","MUS","Mauricio","9.1"
"2018","MUS","Mauricio","9.3"
"2019","MUS","Mauricio","9.2"
"2020","MUS","Mauricio","2.7"
"2021","MUS","Mauricio","2.3"
"2022","MUS","Mauricio","8.6"
"2008","MEX","México","8.87931"
"2009","MEX","México","9.15453"
"2010","MEX","México","8.86699"
"2011","MEX","México","8.60889"
"2012","MEX","México","8.64592"
"2013","MEX","México","8.99466"
"2014","MEX","México","8.91677"
"2015","MEX","México","8.83817"
"2016","MEX","México","8.4518"
"2017","MEX","México","8.48726"
"2018","MEX","México","8.53957"
"2019","MEX","México","8.61168"
"2020","MEX","México","6.76612"
"2021","MEX","México","7.62444"
"2022","MEX","México","8.4629"
"2015","MNG","Mongolia","0.17729"
"2016","MNG","Mongolia","0.20944"
"2017","MNG","Mongolia","0.20183"
"2018","MNG","Mongolia","0.15283"
"2019","MNG","Mongolia","0.15863"
"2020","MNG","Mongolia","0.0424"
"2014","MDA","Moldavia","0.47593"
"2015","MDA","Moldavia","0.50265"
"2016","MDA","Moldavia","0.44885"
"2017","MDA","Moldavia","0.50052"
"2018","MDA","Moldavia","0.56154"
"2019","MDA","Moldavia","0.67554"
"2020","MDA","Moldavia","0.1796"
"2021","MDA","Moldavia","0.58281"
"2022","MDA","Moldavia","0.7411"
"2023","MDA","Moldavia","0.51553"
"2009","MNE","Montenegro","10"
"2008","MSR","Montserrat","2.34"
"2009","MSR","Montserrat","1.98"
"2010","MSR","Montserrat","2.13"
"2011","MSR","Montserrat","1.8"
"2012","MSR","Montserrat","2.04"
"2013","MSR","Montserrat","2.01"
"2014","MSR","Montserrat","2.2"
"2015","MSR","Montserrat","2.27"
"2016","MSR","Montserrat","1.75"
"2017","MSR","Montserrat","2.3"
"2018","MSR","Montserrat","2.24"
"2019","MSR","Montserrat","1.76"
"2020","MSR","Montserrat","0.87"
"2021","MSR","Montserrat","0.5"
"2009","MAR","Marruecos","6.92133"
"2010","MAR","Marruecos","7.12698"
"2011","MAR","Marruecos","6.91691"
"2012","MAR","Marruecos","6.72653"
"2013","MAR","Marruecos","6.58754"
