"decil","codigo","desagregacion","gran_categoria","categoria","subcategoria","rubro","instrumento","variable","valor"
"7","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0107542636936272"
"8","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0150109702887609"
"9","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0183464733716521"
"10","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.03867052799377"
"1","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.00000621120022117595"
"2","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.00106691133583267"
"3","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.00532448148013455"
"4","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.0111087460469557"
"5","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.0210422372565218"
"6","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.0319531408744077"
"7","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.0519000828608022"
"8","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.0932342292474098"
"9","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.156298298264467"
"10","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Participación en la concentración","0.628065661433247"
"1","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.180845917028559"
"2","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.148030217504696"
"3","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.229548507775805"
"4","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.315716748736984"
"5","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.410490300342017"
"6","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.506437798617591"
"7","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.597668892517588"
"8","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-0.854881438016276"
"9","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-1.1843615459027"
"10","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Concentración per cápita (en dólares PPP 2011)","-2.51225610369846"
"1","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.109112459116634"
"2","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0228544753898165"
"3","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.022894963595393"
"4","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0233117315159819"
"5","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0237135962452298"
"6","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0232503628350709"
"7","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0219081905449761"
"8","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0243888068276598"
"9","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0246113054816414"
"10","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.027384235820347"
"1","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0260511778365517"
"2","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0213294905203365"
"3","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0330719081737521"
"4","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0453821778509114"
"5","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0592788762697975"
"6","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0729477082847222"
"7","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.0860476019724511"
"8","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.123282679628335"
"9","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.170640139600431"
"10","2.1.2.01","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto a los ingresos brutos","Participación en la concentración","0.361968239862711"
"1","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.140279512837287"
"2","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.0911245458717332"
"3","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.0983880674742105"
"4","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.114266445791568"
"5","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.123498210202263"
"6","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.146686151697712"
"7","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.18573973145307"
"8","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.188801747083047"
"9","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.328125428247133"
"10","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Concentración per cápita (en dólares PPP 2011)","-0.455806268238402"
"1","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0846369266215873"
"2","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0140687741066629"
"3","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00981313816791688"
"4","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00843714727278417"
"5","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.007134362715282"
"6","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0067343043097526"
"7","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00680848790925955"
"8","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0053863016946748"
"9","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00681852191066329"
"10","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00496840521929962"
"1","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.0748931533881442"
"2","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.048662531092218"
"3","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.0525359297301537"
"4","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.0608745331038904"
"5","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.0660977900073765"
"6","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.0783075917424"
"7","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.0991087834469705"
"8","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.100909347835278"
"9","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.175212868469215"
"10","2.1.2.02","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuesto al combustible","Participación en la concentración","0.243397471184354"
"1","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.122848945864944"
"2","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.129215450395282"
"3","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.180781482851927"
"4","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.223950491972821"
"5","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.247991758584414"
"6","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.277506165911432"
"7","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.320466551376303"
"8","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.379765613383792"
"9","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.481275955298363"
"10","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Concentración per cápita (en dólares PPP 2011)","-0.748483052412979"
"1","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0741202831861194"
"2","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0199496520428294"
"3","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.018030983989922"
"4","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0165359416712215"
"5","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0143262250784379"
"6","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0127402004037265"
"7","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0117470431517177"
"8","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0108342862211364"
"9","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0100010251074041"
"10","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00815865722632167"
"1","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.0394639544598066"
"2","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.0415197817484532"
"3","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.058083026183097"
"4","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.0717877338608725"
"5","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.0798628533593779"
"6","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.0891391911744247"
"7","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.102889566582954"
"8","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.122129991762828"
"9","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.154632784310115"
"10","2.1.2.03","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","Impuestos internos","Participación en la concentración","0.24049111655807"
"1","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-0.794395417569522"
"2","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-0.789195339632197"
"3","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-1.10896886136196"
"4","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-1.37993514582661"
"5","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-1.62701732655459"
"6","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-1.97538917396842"
"7","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-2.37051173377286"
"8","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-2.92405013952456"
"9","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-3.84781560417527"
"10","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Concentración per cápita (en dólares PPP 2011)","-6.92541873013578"
"1","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.479294412316246"
"2","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.121844348886469"
"3","2.1.2.04","9","Impuestos y contribuciones","Impuestos","Impuestos indirectos","","IVA","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.110607565935928"
