"anio","finalidad","gasto_publico_consolidado"
"2003","servicios_de_la_deuda_publica","2.41876"
"2004","funcionamiento_del_estado","4.99307"
"2004","gasto_publico_servicios_economicos","2.36320"
"2004","gasto_publico_social","17.66656"
"2004","servicios_de_la_deuda_publica","1.57734"
"2005","funcionamiento_del_estado","5.16861"
"2005","gasto_publico_servicios_economicos","3.26925"
"2005","gasto_publico_social","18.40836"
"2005","servicios_de_la_deuda_publica","2.21083"
"2006","funcionamiento_del_estado","5.19707"
"2006","gasto_publico_servicios_economicos","3.40193"
"2006","gasto_publico_social","19.17342"
"2006","servicios_de_la_deuda_publica","1.87306"
"2007","funcionamiento_del_estado","5.42867"
"2007","gasto_publico_servicios_economicos","4.08976"
"2007","gasto_publico_social","20.88065"
"2007","servicios_de_la_deuda_publica","2.08474"
"2008","funcionamiento_del_estado","5.48781"
"2008","gasto_publico_servicios_economicos","5.09931"
"2008","gasto_publico_social","21.70968"
"2008","servicios_de_la_deuda_publica","2.01548"
"2009","funcionamiento_del_estado","6.45831"
"2009","gasto_publico_servicios_economicos","5.21951"
"2009","gasto_publico_social","25.93141"
"2009","servicios_de_la_deuda_publica","2.25533"
"2010","funcionamiento_del_estado","6.19766"
"2010","gasto_publico_servicios_economicos","5.71771"
"2010","gasto_publico_social","24.76405"
"2010","servicios_de_la_deuda_publica","1.59070"
"2011","funcionamiento_del_estado","6.23070"
"2011","gasto_publico_servicios_economicos","6.07026"
"2011","gasto_publico_social","25.61635"
"2011","servicios_de_la_deuda_publica","2.08939"
"2012","funcionamiento_del_estado","6.37354"
"2012","gasto_publico_servicios_economicos","5.80358"
"2012","gasto_publico_social","27.06842"
"2012","servicios_de_la_deuda_publica","2.03367"
"2013","funcionamiento_del_estado","6.71436"
"2013","gasto_publico_servicios_economicos","6.36574"
"2013","gasto_publico_social","28.21948"
"2013","servicios_de_la_deuda_publica","1.55665"
"2014","funcionamiento_del_estado","6.89701"
"2014","gasto_publico_servicios_economicos","7.78735"
"2014","gasto_publico_social","28.15910"
"2014","servicios_de_la_deuda_publica","2.14998"
"2015","funcionamiento_del_estado","7.35299"
"2015","gasto_publico_servicios_economicos","6.57568"
"2015","gasto_publico_social","30.26704"
"2015","servicios_de_la_deuda_publica","2.10375"
"2016","funcionamiento_del_estado","7.36883"
"2016","gasto_publico_servicios_economicos","6.19405"
"2016","gasto_publico_social","29.68021"
"2016","servicios_de_la_deuda_publica","4.06492"
"2017","funcionamiento_del_estado","7.31176"
"2017","gasto_publico_servicios_economicos","4.87773"
"2017","gasto_publico_social","30.64744"
"2017","servicios_de_la_deuda_publica","3.41088"
"2018","funcionamiento_del_estado","6.59365"
"2018","gasto_publico_servicios_economicos","4.58465"
"2018","gasto_publico_social","28.09238"
"2018","servicios_de_la_deuda_publica","4.31895"
"2019","funcionamiento_del_estado","6.41411"
"2019","gasto_publico_servicios_economicos","4.10163"
"2019","gasto_publico_social","27.90224"
"2019","servicios_de_la_deuda_publica","5.04541"
"2020","funcionamiento_del_estado","6.54626"
"2020","gasto_publico_servicios_economicos","5.20940"
"2020","gasto_publico_social","32.81868"
"2020","servicios_de_la_deuda_publica","2.77897"
"2021","funcionamiento_del_estado","6.17321"
"2021","gasto_publico_servicios_economicos","5.56298"
"2021","gasto_publico_social","29.05182"
"2021","servicios_de_la_deuda_publica","2.02088"
"2022","funcionamiento_del_estado","6.22661"
"2022","gasto_publico_servicios_economicos","5.61648"
"2022","gasto_publico_social","28.16431"
"2022","servicios_de_la_deuda_publica","2.24905"
"2023","funcionamiento_del_estado","6.56488"
"2023","gasto_publico_servicios_economicos","4.93150"
"2023","gasto_publico_social","28.19182"
"2023","servicios_de_la_deuda_publica","2.17834"
