"anio","codigo","finalidades","funciones","subfunciones","gasto_publico_consolidado"
"1985","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.05245792032394"
"1986","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.45488056658578"
"1987","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.57444137054034"
"1988","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.43909509981478"
"1989","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.11838162595678"
"1990","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"1.99403820462599"
"1991","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.31714475329742"
"1992","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.29123956845996"
"1993","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.30380461596371"
"1994","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.30711673576614"
"1995","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.36821747610953"
"1996","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.18683466977385"
"1997","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.12309162875838"
"1998","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.19455858875018"
"1999","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.40580173593606"
"2000","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.36366298158445"
"2001","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.44764565468691"
"2002","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.1979348553583"
"2003","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.164981379013"
"2004","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"1.98633804495098"
"2005","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.02889715095205"
"2006","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"1.98661850085726"
"2007","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.00217176608921"
"2008","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.03545162422917"
"2009","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.40546443574886"
"2010","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.3783410746721"
"2011","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.39659922600498"
"2012","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.50234453879113"
"2013","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.58282350527393"
"2014","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.8630045939216"
"2015","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"3.04745725550102"
"2016","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"3.18341657063278"
"2017","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"3.07542298905713"
"2018","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.73206964872273"
"2019","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.55446822635101"
"2020","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.6407202256993"
"2021","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.42720108362089"
"2022","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.47966401355572"
"2023","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.56439351000323"
"1980","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.02497873277005"
"1981","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","1.84122222589511"
"1982","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","1.33411566212678"
"1983","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","1.58591575930755"
"1984","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.09235210663944"
"1985","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.05230702385169"
"1986","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.54323305810903"
"1987","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.69466617485523"
"1988","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.43606472485941"
"1989","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.11985669257887"
"1990","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.35174244970782"
"1991","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.53454730845462"
"1992","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.53441446271828"
"1993","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.73255268880991"
"1994","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.77175672845932"
"1995","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.79524259298847"
"1996","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.67072795570632"
"1997","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.84150035959537"
"1998","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.844556331575"
"1999","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.21962048720464"
"2000","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.30969737574952"
"2001","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.48685260816442"
"2002","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.91396926335605"
"2003","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.63322094259698"
"2004","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.54007001761107"
"2005","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","2.85793190710685"
"2006","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.06400002177611"
"2007","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.20616057419102"
"2008","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.37383135930142"
"2009","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.80999962793811"
"2010","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.48812956054585"
"2011","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.79508143173663"
"2012","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.78578322909151"
"2013","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.92883555795355"
"2014","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.84417236953944"
"2015","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","4.14883274236227"
"2016","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.92444713661509"
"2017","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.86901752104739"
"2018","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.47423580480619"
"2019","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.43473747747339"
"2020","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.66754927336669"
"2021","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.26038215473319"
"2022","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.25236123267311"
"2023","1.2.1.1","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación básica","3.45927897594366"
"1980","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.453309991488945"
"1981","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.475915366539898"
"1982","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.345840238311565"
"1983","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.361014844150238"
"1984","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.435118971861181"
"1985","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.45205871521223"
"1986","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.504947337501551"
"1987","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.625493639537422"
"1988","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.608139009726066"
"1989","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.480600939200329"
"1990","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.552168355789566"
"1991","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.53788231179"
"1992","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.629605024058444"
"1993","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.711439135086647"
"1994","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.715315897214328"
"1995","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.842992727587052"
"1996","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.832353214639969"
"1997","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.807516147356856"
"1998","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.845364376467524"
"1999","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.917519776266689"
"2000","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.924082889798269"
"2001","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.95553218101721"
"2002","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.805739470352617"
"2003","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.796707283399212"
"2004","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.686631306500538"
"2005","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.776437795176918"
"2006","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.87364521197202"
"2007","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.936365273918497"
"2008","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","0.994412973274662"
"2009","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.20885333733866"
"2010","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.15325165046778"
"2011","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.17579132661574"
"2012","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.22036220820971"
"2013","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.23515274795896"
"2014","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.24012165317016"
"2015","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.2958420233838"
"2016","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.21602087729615"
"2017","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.26249289024357"
"2018","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.19688968791896"
"2019","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.08072261252813"
"2020","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.17789684323751"
"2021","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.05786444097303"
"2022","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.04926585923017"
"2023","1.2.1.2","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación superior y universitaria","1.1274565845377"
"1980","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.251231805850852"
"1981","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.268635772723716"
"1982","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.223356732045419"
"1983","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.220879961958737"
"1984","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.188317124265616"
"1985","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.244116144555823"
"1986","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.285517458537226"
"1987","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.309424126097291"
"1988","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.292567100677603"
"1989","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.249122195673402"
"1990","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.25358324201955"
"1991","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.234647880232021"
"1992","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.200412438611682"
"1993","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.219151962334487"
"1994","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.233262122327227"
"1995","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.228699739460934"
"1996","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.195548711021083"
"1997","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.217694301264436"
"1998","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.228857782203424"
"1999","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.223492326923443"
"2000","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.204782772906078"
"2001","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.190361071670332"
"2002","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.182512636992075"
"2003","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.202405582331511"
"2004","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.186908452574094"
"2005","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.203972411323231"
"2006","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.222223108508478"
