"geocodigoFundar","geonombreFundar","componente_egresos_del_gobierno","porcentaje_del_pib"
"SVN","Eslovenia","Formación bruta de capital","4"
"SVN","Eslovenia","TOTAL","47"
"TUR","Turquía","Consumo del gobierno","14"
"TUR","Turquía","Subvenciones económicas","1"
"TUR","Turquía","Rentas / Intereses","3"
"TUR","Turquía","Prestaciones sociales","9"
"TUR","Turquía","Otras transferencias corrientes y de capital","2"
"TUR","Turquía","Formación bruta de capital","4"
"TUR","Turquía","TOTAL","33"
"BEL","Bélgica","Consumo del gobierno","24"
"BEL","Bélgica","Subvenciones económicas","4"
"BEL","Bélgica","Rentas / Intereses","3"
"BEL","Bélgica","Prestaciones sociales","17"
"BEL","Bélgica","Otras transferencias corrientes y de capital","3"
"BEL","Bélgica","Formación bruta de capital","3"
"BEL","Bélgica","TOTAL","54"
"SWE","Suecia","Consumo del gobierno","26"
"SWE","Suecia","Subvenciones económicas","2"
"SWE","Suecia","Rentas / Intereses","1"
"SWE","Suecia","Prestaciones sociales","13"
"SWE","Suecia","Otras transferencias corrientes y de capital","3"
"SWE","Suecia","Formación bruta de capital","5"
"SWE","Suecia","TOTAL","50"
"DNK","Dinamarca","Consumo del gobierno","26"
"DNK","Dinamarca","Subvenciones económicas","2"
"DNK","Dinamarca","Rentas / Intereses","1"
"DNK","Dinamarca","Prestaciones sociales","16"
"DNK","Dinamarca","Otras transferencias corrientes y de capital","4"
"DNK","Dinamarca","Formación bruta de capital","3"
"DNK","Dinamarca","TOTAL","52"
"NLD","Países Bajos","Consumo del gobierno","25"
"NLD","Países Bajos","Subvenciones económicas","2"
"NLD","Países Bajos","Rentas / Intereses","1"
"NLD","Países Bajos","Prestaciones sociales","11"
"NLD","Países Bajos","Otras transferencias corrientes y de capital","2"
"NLD","Países Bajos","Formación bruta de capital","4"
"NLD","Países Bajos","TOTAL","45"
"FIN","Finlandia","Consumo del gobierno","24"
"FIN","Finlandia","Subvenciones económicas","1"
"FIN","Finlandia","Rentas / Intereses","1"
"FIN","Finlandia","Prestaciones sociales","18"
"FIN","Finlandia","Otras transferencias corrientes y de capital","3"
"FIN","Finlandia","Formación bruta de capital","4"
"FIN","Finlandia","TOTAL","51"
"NOR","Noruega","Consumo del gobierno","23"
"NOR","Noruega","Subvenciones económicas","2"
"NOR","Noruega","Rentas / Intereses","1"
"NOR","Noruega","Prestaciones sociales","14"
"NOR","Noruega","Otras transferencias corrientes y de capital","3"
"NOR","Noruega","Formación bruta de capital","5"
"NOR","Noruega","TOTAL","48"
"ZAF","Sudáfrica","Consumo del gobierno","20"
"ZAF","Sudáfrica","Subvenciones económicas","1"
"ZAF","Sudáfrica","Rentas / Intereses","4"
"ZAF","Sudáfrica","Prestaciones sociales","4"
"ZAF","Sudáfrica","Otras transferencias corrientes y de capital","3"
"ZAF","Sudáfrica","Formación bruta de capital","3"
"ZAF","Sudáfrica","TOTAL","35"
"NZL","Nueva Zelanda","Consumo del gobierno","19"
"NZL","Nueva Zelanda","Subvenciones económicas","1"
"NZL","Nueva Zelanda","Rentas / Intereses","2"
"NZL","Nueva Zelanda","Prestaciones sociales","10"
"NZL","Nueva Zelanda","Otras transferencias corrientes y de capital","4"
"NZL","Nueva Zelanda","Formación bruta de capital","4"
"NZL","Nueva Zelanda","TOTAL","40"
"CHN","China","Consumo del gobierno","16"
"CHN","China","Subvenciones económicas","0"
"CHN","China","Rentas / Intereses","1"
"CHN","China","Prestaciones sociales","5"
"CHN","China","Otras transferencias corrientes y de capital","1"
"CHN","China","Formación bruta de capital","4"
"CHN","China","TOTAL","27"
"KOR","Corea del Sur","Consumo del gobierno","15"
"KOR","Corea del Sur","Subvenciones económicas","0"
"KOR","Corea del Sur","Rentas / Intereses","2"
"KOR","Corea del Sur","Prestaciones sociales","4"
"KOR","Corea del Sur","Otras transferencias corrientes y de capital","4"
"KOR","Corea del Sur","Formación bruta de capital","5"
"KOR","Corea del Sur","TOTAL","30"
"JPN","Japón","Consumo del gobierno","20"
"JPN","Japón","Subvenciones económicas","1"
"JPN","Japón","Rentas / Intereses","2"
"JPN","Japón","Prestaciones sociales","12"
"JPN","Japón","Otras transferencias corrientes y de capital","3"
"JPN","Japón","Formación bruta de capital","4"
"JPN","Japón","TOTAL","42"
"ISR","Israel","Consumo del gobierno","23"
"ISR","Israel","Subvenciones económicas","1"
"ISR","Israel","Rentas / Intereses","3"
"ISR","Israel","Prestaciones sociales","6"
"ISR","Israel","Otras transferencias corrientes y de capital","5"
"ISR","Israel","Formación bruta de capital","3"
"ISR","Israel","TOTAL","41"
