"anio","finalidad_desc","total_credito_devengado"
"2010","ADMINISTRACION GUBERNAMENTAL","1.55881403402775"
"2010","DEUDA PUBLICA","1.43035973302732"
"2011","SERVICIOS SOCIALES","11.6555906186082"
"2011","SERVICIOS ECONOMICOS","4.65723563272688"
"2011","SERVICIOS DE DEFENSA Y SEGURIDAD","1.11715583868203"
"2011","DEUDA PUBLICA","1.90313434031783"
"2011","ADMINISTRACION GUBERNAMENTAL","1.343578804439"
"2012","SERVICIOS DE DEFENSA Y SEGURIDAD","1.15416498611566"
"2012","SERVICIOS SOCIALES","12.531500876104"
"2012","SERVICIOS ECONOMICOS","4.54863854182229"
"2012","ADMINISTRACION GUBERNAMENTAL","1.24425803451478"
"2012","DEUDA PUBLICA","1.81987668143426"
"2013","ADMINISTRACION GUBERNAMENTAL","1.3496707414772"
"2013","DEUDA PUBLICA","1.33793442741349"
"2013","SERVICIOS DE DEFENSA Y SEGURIDAD","1.22397336279187"
"2013","SERVICIOS SOCIALES","13.4205425688814"
"2013","SERVICIOS ECONOMICOS","5.09521379525958"
"2014","DEUDA PUBLICA","1.90030095342013"
"2014","ADMINISTRACION GUBERNAMENTAL","1.3189043051222"
"2014","SERVICIOS SOCIALES","13.4119847922503"
"2014","SERVICIOS ECONOMICOS","6.81279098094465"
"2014","SERVICIOS DE DEFENSA Y SEGURIDAD","1.32876293101524"
"2015","ADMINISTRACION GUBERNAMENTAL","1.39681593428891"
"2015","DEUDA PUBLICA","1.84083492196306"
"2015","SERVICIOS DE DEFENSA Y SEGURIDAD","1.32715135439872"
"2015","SERVICIOS SOCIALES","14.4733056517448"
"2015","SERVICIOS ECONOMICOS","5.00522879579594"
"2016","SERVICIOS ECONOMICOS","4.7202472598075"
"2016","SERVICIOS SOCIALES","14.5348098779871"
"2016","SERVICIOS DE DEFENSA Y SEGURIDAD","1.29674924588985"
"2016","DEUDA PUBLICA","3.72884313790764"
"2016","ADMINISTRACION GUBERNAMENTAL","1.6196060137669"
"2017","DEUDA PUBLICA","3.04550142764865"
"2017","ADMINISTRACION GUBERNAMENTAL","1.65702709924112"
"2017","SERVICIOS SOCIALES","14.9709988184327"
"2017","SERVICIOS ECONOMICOS","3.18142190071409"
"2017","SERVICIOS DE DEFENSA Y SEGURIDAD","1.19711636633444"
"2018","SERVICIOS SOCIALES","13.6259887629331"
"2018","SERVICIOS ECONOMICOS","2.86972693825367"
"2018","SERVICIOS DE DEFENSA Y SEGURIDAD","1.0343017576695"
"2018","DEUDA PUBLICA","3.75838382146498"
"2018","ADMINISTRACION GUBERNAMENTAL","1.08543679198788"
"2019","DEUDA PUBLICA","4.35000952531527"
"2019","ADMINISTRACION GUBERNAMENTAL","1.06572923078273"
"2019","SERVICIOS SOCIALES","13.1192378328697"
"2019","SERVICIOS ECONOMICOS","2.64238244215375"
"2019","SERVICIOS DE DEFENSA Y SEGURIDAD","0.911850765479703"
"2020","DEUDA PUBLICA","2.32523372878708"
"2020","ADMINISTRACION GUBERNAMENTAL","1.5624437887051"
"2020","SERVICIOS SOCIALES","17.328067711786"
"2020","SERVICIOS ECONOMICOS","3.58578986192999"
"2020","SERVICIOS DE DEFENSA Y SEGURIDAD","0.929731495657449"
"2021","DEUDA PUBLICA","1.67899554483161"
"2021","ADMINISTRACION GUBERNAMENTAL","1.22412395925996"
"2021","SERVICIOS SOCIALES","15.1802974899661"
"2021","SERVICIOS ECONOMICOS","4.32835612059251"
"2021","SERVICIOS DE DEFENSA Y SEGURIDAD","0.875501098825965"
"2022","SERVICIOS SOCIALES","13.8002056085522"
"2022","SERVICIOS ECONOMICOS","3.46579145140806"
"2022","SERVICIOS DE DEFENSA Y SEGURIDAD","0.870885064225472"
"2022","DEUDA PUBLICA","1.93715197848402"
"2022","ADMINISTRACION GUBERNAMENTAL","1.13258681625775"
"2023","ADMINISTRACION GUBERNAMENTAL","1.22727231287003"
"2023","DEUDA PUBLICA","1.81437313278063"
"2023","SERVICIOS DE DEFENSA Y SEGURIDAD","0.893833423086799"
"2023","SERVICIOS SOCIALES","12.9804383149939"
"2023","SERVICIOS ECONOMICOS","2.95059136137858"
"2024","ADMINISTRACION GUBERNAMENTAL","0.750022164638503"
"2024","DEUDA PUBLICA","1.62673542758133"
"2024","SERVICIOS DE DEFENSA Y SEGURIDAD","0.769188280021644"
"2024","SERVICIOS ECONOMICOS","1.79755938288218"
"2024","SERVICIOS SOCIALES","10.6280340040782"
